,Date,Open,High,Low,Close,Volume
4,14.0,14.15,13.78,"27,419,850",04/18/2019,14.05
5,14.2,14.675,14.09,"31,683,220",04/17/2019,14.37
6,14.16,14.18,13.6466,"20,290,090",04/16/2019,13.67
7,13.69,13.72,13.4504,"15,426,880",04/15/2019,13.63
8,13.7,13.98,13.61,"26,893,470",04/12/2019,13.63
9,13.41,13.47,13.15,"16,529,020",04/11/2019,13.34
10,13.49,13.57,13.34,"12,390,240",04/10/2019,13.41
11,13.38,13.71,13.21,"15,997,840",04/09/2019,13.71
12,13.74,13.74,13.45,"17,940,620",04/08/2019,13.45
13,13.33,13.6,13.32,"14,637,500",04/05/2019,13.57
14,13.56,13.6,12.99,"20,711,330",04/04/2019,13.07
15,13.16,13.48,13.095,"20,933,200",04/03/2019,13.33
16,13.12,13.2754,12.86,"17,948,150",04/02/2019,13.15
17,13.1,13.37,13.035,"18,844,410",04/01/2019,13.16
18,12.89,13.2,12.75,"16,889,290",03/29/2019,13.05
19,12.73,12.87,12.584,"9,592,307",03/28/2019,12.66
20,12.71,12.93,12.53,"12,660,600",03/27/2019,12.74
21,12.7,12.72,12.46,"14,309,280",03/26/2019,12.49
22,12.38,12.595,12.15,"13,194,570",03/25/2019,12.21
23,12.18,12.76,12.11,"20,572,600",03/22/2019,12.73
24,12.92,12.995,12.62,"18,396,530",03/21/2019,12.71
25,12.82,12.97,12.32,"22,577,150",03/20/2019,12.63
26,12.68,13.04,12.63,"14,643,270",03/19/2019,12.8
27,12.62,12.63,12.43,"12,639,460",03/18/2019,12.53
28,12.35,12.54,12.29,"15,386,910",03/15/2019,12.32
29,12.32,12.665,12.3,"15,131,440",03/14/2019,12.5
30,12.66,12.83,12.55,"12,661,030",03/13/2019,12.8
31,12.65,12.8,12.47,"13,266,450",03/12/2019,12.54
32,12.36,12.37,12.06,"13,002,520",03/11/2019,12.13
33,12.09,12.105,11.78,"16,282,180",03/08/2019,12.09
34,12.31,12.53,12.13,"12,671,120",03/07/2019,12.5
35,12.54,12.91,12.505,"13,681,920",03/06/2019,12.88
36,12.84,12.9,12.59,"17,433,120",03/05/2019,12.87
37,12.78,12.9,12.49,"18,443,620",03/04/2019,12.87
38,12.87,13.15,12.79,"15,988,490",03/01/2019,12.98
39,12.9,13.12,12.82,"20,886,270",02/28/2019,13.06
40,13.16,13.28,13.09,"17,653,840",02/27/2019,13.25
41,13.18,13.2858,13.02,"13,446,620",02/26/2019,13.18
42,13.26,13.31,13.11,"20,070,170",02/25/2019,13.25
43,13.22,13.4,13.08,"23,869,730",02/22/2019,13.4
44,13.02,13.27,12.88,"20,083,850",02/21/2019,13.19
45,13.35,13.86,13.285,"38,173,530",02/20/2019,13.64
46,13.09,13.26,12.53,"35,365,800",02/19/2019,12.63
47,12.28,12.62,12.23,"16,542,960",02/15/2019,12.38
48,12.16,12.3,12.05,"15,311,870",02/14/2019,12.14
49,12.29,12.36,11.9,"36,165,510",02/13/2019,12.02
50,11.49,11.7,11.47,"15,573,150",02/12/2019,11.55
51,11.53,11.615,11.45,"15,561,550",02/11/2019,11.5
52,11.61,11.95,11.4,"23,717,120",02/08/2019,11.85
53,11.86,12.14,11.8,"25,153,020",02/07/2019,11.85
54,11.91,12.05,11.775,"18,132,210",02/06/2019,11.86
55,11.87,12.01,11.77,"18,496,110",02/05/2019,11.9
56,11.86,11.97,11.42,"21,240,190",02/04/2019,11.44
57,11.51,11.63,11.395,"24,239,070",02/01/2019,11.56
58,11.64,11.76,11.21,"31,829,640",01/31/2019,11.23
59,11.27,11.345,10.6,"37,703,780",01/30/2019,10.62
60,10.45,10.59,10.26,"38,217,130",01/29/2019,10.43
61,10.28,11.05,10.2,"54,769,940",01/28/2019,11.02
62,11.24,11.48,10.96,"36,134,460",01/25/2019,10.97
63,10.7,11.88,10.6,"66,342,480",01/24/2019,11.47
64,12.31,12.55,12.18,"25,717,020",01/23/2019,12.4
65,12.38,12.41,12.11,"26,421,990",01/22/2019,12.27
66,12.56,12.645,12.28,"31,354,960",01/18/2019,12.32
