,Date,Open,High,Low,Close,Volume
4,40.5,40.8,40.15,"4,477,140",04/18/2019,40.23
5,40.23,40.51,40.08,"3,114,963",04/17/2019,40.51
6,40.46,41.4,40.43,"3,910,361",04/16/2019,41.19
7,41.28,41.55,41.18,"2,854,394",04/15/2019,41.35
8,41.37,41.405,40.89,"2,557,794",04/12/2019,41.02
9,41.21,41.22,40.72,"4,060,914",04/11/2019,40.79
10,40.83,41.19,40.72,"4,799,580",04/10/2019,40.84
11,40.85,40.87,40.15,"3,467,263",04/09/2019,40.32
12,40.42,41.0,40.275,"5,707,242",04/08/2019,40.95
13,40.97,41.05,40.0,"13,492,240",04/05/2019,40.4
14,39.44,41.21,39.27,"12,161,220",04/04/2019,41.19
15,41.09,41.4,40.94,"4,049,229",04/03/2019,41.24
16,41.34,41.555,41.13,"3,392,364",04/02/2019,41.51
17,41.45,41.605,41.09,"3,618,884",04/01/2019,41.53
18,41.61,41.62,41.22,"5,481,621",03/29/2019,41.42
19,41.4,41.95,41.155,"4,550,660",03/28/2019,41.78
20,41.72,42.07,41.54,"4,849,259",03/27/2019,42.05
21,42.0,42.13,41.76,"3,284,298",03/26/2019,41.93
22,41.86,41.88,41.58,"3,407,096",03/25/2019,41.77
23,41.77,42.0,41.15,"3,792,225",03/22/2019,41.28
24,41.24,41.3,40.55,"2,979,996",03/21/2019,40.59
25,40.59,40.955,40.27,"6,252,585",03/20/2019,40.53
26,40.41,41.2,40.17,"5,082,674",03/19/2019,41.2
27,41.24,41.3,41.01,"3,814,764",03/18/2019,41.23
28,41.23,41.33,40.75,"10,690,420",03/15/2019,41.33
29,41.21,41.75,41.19,"4,062,402",03/14/2019,41.7
30,41.62,41.78,41.49,"3,784,076",03/13/2019,41.52
31,41.58,41.72,41.36,"3,561,835",03/12/2019,41.43
32,41.36,41.38,40.97,"3,555,150",03/11/2019,41.0
33,40.89,40.935,40.48,"3,332,826",03/08/2019,40.83
34,40.78,41.23,40.635,"3,492,395",03/07/2019,40.82
35,40.72,40.875,40.33,"3,737,835",03/06/2019,40.53
36,40.42,40.9,40.37,"4,946,293",03/05/2019,40.71
37,40.74,41.09,40.46,"6,495,164",03/04/2019,41.0
38,40.9,40.98,40.48,"5,018,184",03/01/2019,40.69
39,40.75,40.9,40.42,"6,837,624",02/28/2019,40.76
40,40.72,40.81,40.48,"6,164,650",02/27/2019,40.48
41,40.78,40.96,40.25,"6,306,920",02/26/2019,40.53
42,40.43,40.84,40.3,"4,906,752",02/25/2019,40.69
43,40.72,40.73,40.04,"3,804,346",02/22/2019,40.05
44,40.05,40.095,39.22,"4,806,296",02/21/2019,39.47
45,39.59,39.65,38.64,"6,189,212",02/20/2019,39.03
46,39.6,39.655,39.3972,"4,475,268",02/19/2019,39.59
47,39.59,39.79,39.27,"6,653,902",02/15/2019,39.68
48,39.45,39.685,39.18,"3,397,838",02/14/2019,39.55
49,39.51,39.64,39.37,"5,048,679",02/13/2019,39.51
50,39.52,39.78,39.2,"3,809,631",02/12/2019,39.43
51,39.35,39.59,39.19,"3,528,126",02/11/2019,39.42
52,39.49,39.55,39.13,"4,231,211",02/08/2019,39.18
53,39.31,39.36,38.45,"6,999,862",02/07/2019,38.67
54,38.66,38.82,38.28,"6,429,353",02/06/2019,38.32
55,38.69,38.75,38.34,"10,002,500",02/05/2019,38.54
56,38.54,38.595,38.111,"8,701,673",02/04/2019,38.15
57,38.78,39.32,38.56,"7,879,478",02/01/2019,39.14
58,39.2,39.29,38.46,"7,394,472",01/31/2019,38.75
59,38.75,38.86,38.41,"3,547,117",01/30/2019,38.44
60,38.56,38.95,38.38,"3,123,505",01/29/2019,38.71
61,38.59,38.92,38.175,"5,494,979",01/28/2019,38.66
62,38.79,39.38,38.73,"3,054,493",01/25/2019,39.11
63,39.28,39.43,39.01,"3,442,803",01/24/2019,39.37
64,39.37,39.4,38.77,"5,007,294",01/23/2019,38.93
65,38.75,39.07,38.445,"2,972,224",01/22/2019,38.99
66,38.87,39.18,38.55,"3,806,437",01/18/2019,38.8
