,Date,Open,High,Low,Close,Volume
4,110.9,111.87,110.5,"3,044,649",04/26/2019,111.87
5,111.55,112.28,110.94,"3,692,100",04/25/2019,111.98
6,112.04,113.11,112.03,"2,350,547",04/24/2019,112.76
7,112.8,113.195,111.82,"2,779,808",04/23/2019,112.49
8,112.21,112.21,110.5,"2,954,036",04/22/2019,110.88
9,110.89,111.51,110.27,"2,079,071",04/18/2019,111.07
10,111.1,111.8,110.85,"1,879,073",04/17/2019,111.72
11,111.58,113.725,111.22,"4,615,362",04/16/2019,113.51
12,113.14,113.19,112.24,"1,934,819",04/15/2019,113.03
13,113.16,113.7,112.84,"2,983,484",04/12/2019,113.67
14,112.9,113.295,111.74,"3,348,263",04/11/2019,112.62
15,112.38,114.41,111.98,"3,674,773",04/10/2019,114.41
16,113.76,114.04,112.75,"2,863,032",04/09/2019,113.17
17,113.65,113.82,112.16,"5,314,741",04/08/2019,113.37
18,113.39,114.57,113.25,"2,537,387",04/05/2019,114.24
19,114.03,115.08,113.5,"2,506,813",04/04/2019,115.01
20,114.93,115.559,113.89,"3,899,107",04/03/2019,114.55
21,114.12,114.215,113.24,"2,536,331",04/02/2019,114
22,113.78,114.01,112.72,"2,903,819",04/01/2019,113.48
23,113.1,113.3,111.2099,"5,454,626",03/29/2019,111.61
24,111.18,111.23,109.69,"3,116,886",03/28/2019,110.5
25,109.97,110.47,108.785,"3,890,489",03/27/2019,110
26,109.91,109.99,108.64,"2,948,053",03/26/2019,108.9
27,108.42,110.47,108.33,"3,464,532",03/25/2019,110.41
28,110.41,111.33,109.48,"6,863,806",03/22/2019,110.16
29,110.16,110.31,106.04,"5,331,027",03/21/2019,106.25
30,106.75,107.6,104.87,"10,711,080",03/20/2019,106.53
31,106.6,107.49,105.76,"6,620,239",03/19/2019,107.49
32,108.12,112.1689,106.5,"16,710,940",03/18/2019,111.79
33,108.88,109.17,107.55,"3,613,283",03/15/2019,107.6
34,107.78,108.245,106.91,"1,893,114",03/14/2019,107.5
35,107.6,108.4,106.92,"2,068,415",03/13/2019,107.03
36,107.37,107.76,106.8646,"1,415,303",03/12/2019,107.39
37,107.04,107.11,105.8671,"2,322,064",03/11/2019,106.22
38,105.71,105.735,104.73,"1,768,233",03/08/2019,104.99
39,105.65,106.67,105.43,"1,875,046",03/07/2019,106.67
40,106.6,107.19,106.42,"1,245,498",03/06/2019,107.19
41,106.89,107.689,106.81,"1,501,831",03/05/2019,107.28
42,107.32,109.43,106.8,"1,749,159",03/04/2019,108.95
43,108.39,109.48,107.83,"1,756,011",03/01/2019,109
44,108.15,108.445,106.89,"3,075,806",02/28/2019,107.2
45,107.21,107.36,106.27,"2,177,844",02/27/2019,106.5
46,106.81,107.27,106.42,"2,759,692",02/26/2019,106.93
47,106.79,107.72,106.62,"1,304,328",02/25/2019,107.72
48,107.09,107.605,106.78,"1,762,008",02/22/2019,107.47
49,107.12,107.72,106.53,"2,283,260",02/21/2019,107.14
50,107.06,108.68,106.951,"3,715,524",02/20/2019,108.59
51,108.71,109.17,107.95,"2,224,091",02/19/2019,108.9
52,108.93,109.245,106.68,"3,211,824",02/15/2019,107.26
53,106.3,106.93,105.72,"3,246,758",02/14/2019,106.72
54,106.79,109.1,106.33,"3,539,826",02/13/2019,107.44
55,106.55,108.43,104.965,"3,920,035",02/12/2019,106.8
56,109.1,110.05,108.98,"1,574,239",02/11/2019,109.61
57,109,109.22,107.86,"2,602,133",02/08/2019,107.91
58,108.67,108.995,107.51,"2,819,338",02/07/2019,108.8
59,109.7,109.794,109.05,"1,032,971",02/06/2019,109.73
60,109.9,109.94,108.87,"1,185,119",02/05/2019,109
61,108.97,108.97,106.918,"1,281,899",02/04/2019,107.4
62,107.2,107.25,104.54,"1,811,874",02/01/2019,104.54
63,104.53,105.9,104.3,"1,632,243",01/31/2019,105.26
64,105.52,105.82,103.75,"1,376,114",01/30/2019,103.97
65,103.59,104.45,103.41,"993,899",01/29/2019,104.35
66,104.29,104.625,103.68,"903,651",01/28/2019,104.17
