,Date,Open,High,Low,Close,Volume
4,85.37,86.74,84.96,"2,587,555",04/26/2019,86.41
5,86.3,86.76,85.67,"3,051,161",04/25/2019,86.54
6,86.53,87.075,85.87,"2,621,566",04/24/2019,86.92
7,87.08,87.35,85.26,"3,410,281",04/23/2019,85.76
8,85.73,85.79,84.52,"3,857,014",04/22/2019,84.61
9,85.06,85.92,85.01,"3,588,577",04/18/2019,85.92
10,85.29,85.58,84.96,"2,984,279",04/17/2019,85.26
11,85.01,86.7092,84.95,"5,085,388",04/16/2019,86.66
12,86.55,87.06,85.65,"3,938,511",04/15/2019,86.45
13,86.3,86.82,85.25,"5,757,972",04/12/2019,86.04
14,85.54,87.17,85.32,"9,131,067",04/11/2019,87.09
15,86.75,88.38,86.3,"6,414,306",04/10/2019,88.12
16,88.23,88.56,87.68,"4,726,324",04/09/2019,87.85
17,88.33,89.63,87.98,"7,082,332",04/08/2019,89.63
18,89.86,90.6,89.62,"1,924,928",04/05/2019,90.39
19,90.08,90.84,89.41,"2,617,931",04/04/2019,90.67
20,90.64,91.19,89.7,"3,156,102",04/03/2019,90.36
21,89.78,90.175,89.265,"3,515,005",04/02/2019,89.535
22,89.31,89.48,88.12,"2,747,554",04/01/2019,88.98
23,88.28,88.65,87.55,"4,294,811",03/29/2019,88.45
24,87.78,88.09,87.01,"2,413,490",03/28/2019,87.81
25,87.65,88.03,86.63,"4,377,111",03/27/2019,87.01
26,86.93,86.94,85.42,"3,296,817",03/26/2019,85.64
27,85.26,85.615,84.86,"2,078,813",03/25/2019,85.37
28,85.58,86.29,85.15,"4,052,424",03/22/2019,85.78
29,86.07,86.105,83.53,"5,076,199",03/21/2019,83.65
30,83.73,84.63,83.31,"6,126,982",03/20/2019,84.45
31,84.6,85.49,84.13,"5,069,263",03/19/2019,85.27
32,85.09,87.03,84.58,"5,706,227",03/18/2019,86.81
33,86.24,87.26,85.57,"5,867,610",03/15/2019,85.57
34,85.5,86.32,85.19,"4,278,067",03/14/2019,86.24
35,86.08,87,85.73,"3,574,106",03/13/2019,86.48
36,86.08,86.42,85.5,"3,561,772",03/12/2019,86.36
37,86.03,86.26,84.92,"2,874,412",03/11/2019,84.99
38,84.88,85.16,84.02,"2,230,314",03/08/2019,84.25
39,85.01,85.65,84.53,"3,318,965",03/07/2019,85.21
40,85.37,86.09,84.95,"2,101,736",03/06/2019,85.7
41,85.61,85.94,85.25,"1,948,126",03/05/2019,85.63
42,85.55,87.22,85.1,"2,761,777",03/04/2019,87.03
43,86.39,86.67,84.94,"3,614,613",03/01/2019,85.11
44,84.69,85.38,84.66,"2,578,545",02/28/2019,84.89
45,85.05,85.14,84.2,"2,595,166",02/27/2019,84.27
46,84.72,84.95,84.09,"3,060,370",02/26/2019,84.32
47,84.24,85.5,84.18,"2,578,802",02/25/2019,85.46
48,85.03,85.45,84.75,"2,206,682",02/22/2019,84.94
49,84.75,85.43,84.076,"3,057,168",02/21/2019,84.49
50,84.73,85.47,84.46,"2,884,502",02/20/2019,85.47
51,85.62,85.88,85.42,"3,349,700",02/19/2019,85.59
52,85.78,86.115,84.55,"6,168,263",02/15/2019,85.03
53,84.35,84.77,83.81,"3,541,184",02/14/2019,84.28
54,84.39,84.86,83.93,"5,322,901",02/13/2019,84.57
55,84.38,85.3,83.87,"4,154,027",02/12/2019,85.3
56,84.56,86.29,84.2783,"5,934,102",02/11/2019,86.26
57,85.7,85.73,82.9,"5,730,153",02/08/2019,83.89
58,84.01,84.34,83,"5,727,950",02/07/2019,84.12
59,84.61,85.12,83.9,"3,846,278",02/06/2019,84.82
60,85.11,85.21,83.55,"5,589,278",02/05/2019,83.8
61,84.09,84.1,82.43,"4,234,028",02/04/2019,82.88
62,82.92,83.66,82.29,"5,911,645",02/01/2019,82.63
63,82.93,84.79,82.65,"8,094,710",01/31/2019,84.79
64,84.66,84.88,83.8,"6,486,491",01/30/2019,84.2
65,83.63,85.06,83.1,"5,509,409",01/29/2019,85.02
66,85.21,85.65,83.82,"8,733,912",01/28/2019,84.67
