,Date,Open,High,Low,Close,Volume
4,49.98,50.0,49.09,"683,028",04/18/2019,49.42
5,49.52,49.99,49.4,"588,690",04/17/2019,49.79
6,49.6,49.78,49.55,"444,952",04/16/2019,49.61
7,49.5,50.0,49.2,"433,784",04/15/2019,49.81
8,49.84,50.03,49.48,"1,014,611",04/12/2019,49.63
9,49.29,49.56,48.67,"710,932",04/11/2019,48.85
10,48.76,48.79,48.15,"598,027",04/10/2019,48.39
11,48.45,49.21,48.265,"495,290",04/09/2019,48.82
12,49.01,49.04,48.17,"650,225",04/08/2019,48.23
13,48.34,49.4,47.87,"654,358",04/05/2019,48.23
14,47.95,48.78,47.89,"637,911",04/04/2019,48.4
15,48.45,49.09,48.35,"543,843",04/03/2019,48.85
16,48.58,48.91,48.44,"636,379",04/02/2019,48.78
17,48.76,49.0,47.875,"986,309",04/01/2019,47.99
18,47.58,47.79,47.2601,"902,669",03/29/2019,47.68
19,47.33,47.52,46.89,"917,061",03/28/2019,46.9
20,46.74,47.29,46.51,"1,140,027",03/27/2019,47.07
21,46.94,47.5,46.78,"813,342",03/26/2019,47.5
22,47.22,47.78,47.135,"1,097,753",03/25/2019,47.47
23,47.54,48.8,47.2,"1,043,889",03/22/2019,48.68
24,48.79,48.96,48.17,"1,427,687",03/21/2019,48.17
25,48.18,48.61,47.52,"1,956,109",03/20/2019,48.43
26,48.43,49.51,48.3,"1,623,133",03/19/2019,49.34
27,49.24,50.46,49.1,"1,305,584",03/18/2019,50.15
28,50.14,50.8,50.054,"1,272,736",03/15/2019,50.66
29,50.54,50.82,50.3002,"997,013",03/14/2019,50.69
30,50.65,51.29,50.22,"1,363,886",03/13/2019,50.86
31,50.51,50.84,50.36,"703,647",03/12/2019,50.69
32,50.55,50.58,49.4456,"805,255",03/11/2019,49.56
33,49.51,49.7254,49.11,"706,837",03/08/2019,49.64
34,50.04,50.54,49.85,"701,490",03/07/2019,50.36
35,50.53,51.08,50.48,"484,268",03/06/2019,51.02
36,50.86,51.27,50.36,"641,698",03/05/2019,50.36
37,51.27,51.96,50.89,"681,729",03/04/2019,51.76
38,51.51,51.9,51.03,"636,110",03/01/2019,51.81
39,51.45,51.83,51.43,"752,623",02/28/2019,51.58
40,51.75,51.93,51.62,"728,510",02/27/2019,51.74
41,52.07,52.698,51.97,"768,510",02/26/2019,52.59
42,52.63,53.2,52.58,"1,117,096",02/25/2019,52.86
43,52.6,52.8,52.22,"576,115",02/22/2019,52.5
44,52.25,52.79,51.946,"666,942",02/21/2019,52.48
45,52.8,52.83,51.73,"1,348,414",02/20/2019,52.07
46,52.04,52.66,51.93,"807,441",02/19/2019,52.41
47,52.41,52.57,51.5,"1,265,255",02/15/2019,51.82
48,51.48,52.19,51.36,"1,433,609",02/14/2019,51.98
49,51.68,52.6,51.0,"1,664,995",02/13/2019,51.0
50,50.84,50.96,49.8,"1,422,178",02/12/2019,50.0
51,49.58,49.98,49.43,"747,886",02/11/2019,49.84
52,49.78,49.79,49.14,"1,043,755",02/08/2019,49.41
53,49.6,49.8,49.11,"881,816",02/07/2019,49.46
54,49.77,49.87,49.21,"673,689",02/06/2019,49.36
55,49.37,49.97,48.84,"630,244",02/05/2019,49.14
56,48.96,48.97,48.435,"573,788",02/04/2019,48.76
57,48.62,49.27,48.27,"702,926",02/01/2019,48.95
58,48.88,49.02,48.1,"1,085,660",01/31/2019,48.49
59,48.52,48.78,46.81,"1,533,169",01/30/2019,47.31
60,46.98,47.62,46.81,"1,090,499",01/29/2019,47.31
61,47.14,47.24,46.45,"1,395,946",01/28/2019,46.58
62,46.91,47.45,46.6,"1,145,975",01/25/2019,47.02
63,45.6,46.0,44.78,"752,186",01/24/2019,44.89
64,44.7,45.4063,44.65,"780,356",01/23/2019,44.85
65,44.73,45.3497,44.44,"736,518",01/22/2019,45.26
66,45.39,45.4,44.87,"910,687",01/18/2019,45.21
