,Date,Open,High,Low,Close,Volume
4,10/30/2018,125.9,128.32,125.12,126.91,"614,933"
5,10/29/2018,123.27,125.83,123.27,125.31,"416,001"
6,10/26/2018,123.26,123.36,120.77,122.52,"514,169"
7,10/25/2018,120.91,123.78,120.75,123.21,"520,632"
8,10/24/2018,120.48,121.75,119.83,121.0,"609,397"
9,10/23/2018,119.47,120.78,118.49,120.19,"374,635"
10,10/22/2018,122.91,123.79,119.98,120.01,"452,047"
11,10/19/2018,122.02,123.28,121.79,122.9,"257,258"
12,10/18/2018,121.94,122.94,121.5563,121.81,"275,014"
13,10/17/2018,121.82,122.51,120.82,122.0,"376,745"
14,10/16/2018,120.22,122.2955,119.01,121.86,"335,880"
15,10/15/2018,118.18,120.4856,118.18,119.23,"606,829"
16,10/12/2018,120.07,120.97,118.07,118.4,"693,044"
17,10/11/2018,122.49,122.73,119.1,119.21,"1,009,144"
18,10/10/2018,123.73,124.5,121.75,121.89,"514,001"
19,10/09/2018,124.89,125.2,123.06,124.1,"374,994"
20,10/08/2018,122.97,125.48,122.97,124.98,"520,414"
21,10/05/2018,122.83,123.44,122.47,122.72,"229,230"
22,10/04/2018,122.37,123.16,121.12,122.75,"513,257"
23,10/03/2018,124.82,125.34,121.81,122.57,"250,962"
24,10/02/2018,125.29,125.74,124.39,124.68,"236,878"
25,10/01/2018,126.69,127.07,125.09,125.12,"238,446"
26,09/28/2018,124.24,126.49,124.24,126.47,"409,313"
27,09/27/2018,124.67,125.69,124.06,124.21,"273,697"
28,09/26/2018,126.04,126.34,124.15,124.27,"283,540"
29,09/25/2018,125.45,126.53,125.28,125.93,"266,773"
30,09/24/2018,127.6,127.65,124.68,125.39,"414,575"
31,09/21/2018,127.74,128.77,127.665,127.87,"875,687"
32,09/20/2018,126.84,127.91,126.16,127.87,"516,884"
33,09/19/2018,130.12,130.47,127.67,127.81,"694,599"
34,09/18/2018,130.57,130.8,129.34,130.01,"192,605"
35,09/17/2018,129.74,130.9,129.24,130.57,"317,059"
36,09/14/2018,131.02,131.02,128.04,129.61,"345,624"
37,09/13/2018,131.5,131.72,130.74,131.42,"338,879"
38,09/12/2018,130.56,131.1,129.95,130.94,"328,985"
39,09/11/2018,129.65,130.95,129.64,130.31,"189,206"
40,09/10/2018,130.43,131.165,130.02,130.11,"270,080"
41,09/07/2018,130.56,131.03,129.59,129.7,"296,814"
42,09/06/2018,130.56,131.51,130.56,131.24,"239,709"
43,09/05/2018,128.73,130.86,128.43,130.13,"325,681"
44,09/04/2018,130.32,130.97,128.88,129.28,"293,175"
45,08/31/2018,130.09,130.86,129.99,130.61,"352,497"
46,08/30/2018,131.08,131.295,129.71,130.09,"231,893"
47,08/29/2018,131.14,131.285,130.29,130.82,"318,216"
48,08/28/2018,129.14,130.82,128.46,130.82,"381,371"
49,08/27/2018,129.75,129.88,128.69,129.38,"295,164"
50,08/24/2018,129.76,130.23,129.4901,130.09,"239,499"
51,08/23/2018,129.39,130.54,129.231,129.84,"294,734"
52,08/22/2018,128.89,129.72,128.82,129.19,"314,838"
53,08/21/2018,130.37,130.3837,128.52,128.95,"345,451"
54,08/20/2018,129.58,131.37,129.44,130.5,"432,347"
55,08/17/2018,127.15,129.49,127.01,129.36,"1,178,570"
56,08/16/2018,126.41,127.28,125.85,127.09,"320,334"
57,08/15/2018,125.63,126.605,125.095,126.41,"345,381"
58,08/14/2018,125.0,125.9,124.82,125.64,"315,775"
59,08/13/2018,125.25,125.74,124.61,124.87,"282,807"
60,08/10/2018,125.67,126.43,124.74,125.04,"254,927"
61,08/09/2018,125.76,126.31,125.24,125.97,"258,361"
62,08/08/2018,125.32,125.83,124.36,125.65,"247,448"
63,08/07/2018,125.82,126.02,124.64,125.15,"405,380"
64,08/06/2018,128.05,128.61,125.96,126.24,"282,155"
65,08/03/2018,126.51,128.43,126.205,128.22,"334,130"
66,08/02/2018,125.13,127.0,124.32,126.04,"614,815"
67,08/01/2018,124.25,125.61,122.05,124.98,"592,746"
68,07/31/2018,122.95,126.78,122.24,125.5,"1,001,613"
69,07/30/2018,120.7,122.57,120.0,122.44,"569,655"
