,Date,Open,High,Low,Close,Volume
4,39.68,40.1,39.44,"11,688,090",04/26/2019,40.05
5,39.11,39.72,38.95,"8,151,227",04/25/2019,39.52
6,39.72,39.885,39.37,"5,563,010",04/24/2019,39.51
7,39.83,39.84,39.18,"9,286,681",04/23/2019,39.4
8,39.5,40.1,39.49,"6,327,178",04/22/2019,40
9,40.3,40.45,39.98,"10,677,960",04/18/2019,40
10,39.99,40.26,39.88,"8,261,474",04/17/2019,40.1
11,39.66,39.91,39.4629,"5,985,300",04/16/2019,39.56
12,39.57,40.01,39.35,"5,179,393",04/15/2019,39.9
13,39.71,40.05,39.53,"4,929,125",04/12/2019,39.6
14,39.33,39.59,39.13,"4,581,538",04/11/2019,39.38
15,39.25,39.415,38.78,"5,470,806",04/10/2019,38.89
16,38.86,39.08,38.7,"6,527,194",04/09/2019,38.85
17,39.06,39.0889,38.76,"5,992,393",04/08/2019,38.77
18,38.94,39.01,38.58,"4,495,851",04/05/2019,38.85
19,38.79,38.94,38.39,"7,115,602",04/04/2019,38.4
20,38.39,38.64,38.23,"8,815,324",04/03/2019,38.25
21,37.81,38.01,37.61,"5,614,324",04/02/2019,37.83
22,37.76,37.82,37.33,"7,008,929",04/01/2019,37.4
23,37.1,37.4,36.92,"9,428,632",03/29/2019,37.31
24,37.06,37.225,36.655,"5,543,121",03/28/2019,36.7
25,36.61,37.24,36.47,"6,953,984",03/27/2019,36.92
26,36.87,36.98,36.555,"6,816,084",03/26/2019,36.93
27,36.75,37.0311,36.26,"6,716,361",03/25/2019,36.48
28,36.44,37.3,36.285,"9,968,408",03/22/2019,37.09
29,37.35,37.38,36.78,"8,054,917",03/21/2019,37
30,37,37.94,36.78,"11,677,880",03/20/2019,37.74
31,38.27,38.75,38.04,"8,790,057",03/19/2019,38.31
32,37.98,38.24,37.615,"7,310,863",03/18/2019,38.18
33,38.07,38.29,37.88,"16,854,720",03/15/2019,38.04
34,38.03,38.82,37.94,"8,507,330",03/14/2019,38.76
35,38.8,39.03,38.6,"6,488,442",03/13/2019,38.74
36,38.62,39.03,38.5,"6,272,501",03/12/2019,38.7
37,38.62,38.79,38,"12,217,050",03/11/2019,38.08
38,37.99,38.04,37.5,"6,459,778",03/08/2019,37.63
39,38.04,38.34,37.64,"8,998,280",03/07/2019,38.1
40,38.67,39.29,38.49,"9,413,135",03/06/2019,39.24
41,39.28,39.42,39.015,"4,762,852",03/05/2019,39.28
42,39.25,41.5,39.03,"7,520,405",03/04/2019,39.7
43,39.53,39.97,39.0514,"7,682,895",03/01/2019,39.85
44,39.48,39.91,39.2,"9,047,760",02/28/2019,39.82
45,40,40.16,39.78,"8,671,885",02/27/2019,40.09
46,40.11,40.36,39.83,"7,599,635",02/26/2019,39.91
47,40.14,40.46,40.09,"7,870,690",02/25/2019,40.25
48,39.99,40.01,39.44,"6,206,497",02/22/2019,39.84
49,39.62,40.2,39.54,"7,397,315",02/21/2019,40
50,39.95,40.105,39.52,"8,792,165",02/20/2019,39.64
51,39.53,39.68,38.91,"9,122,174",02/19/2019,38.98
52,39.09,39.19,38.74,"8,581,968",02/15/2019,39.06
53,38.89,39.09,38.71,"6,450,004",02/14/2019,38.81
54,39,39.39,38.82,"5,909,416",02/13/2019,39.28
55,39.03,39.32,38.8,"9,200,297",02/12/2019,38.8
56,38.63,38.69,38.215,"8,819,282",02/11/2019,38.31
57,38.7,38.71,38.005,"7,199,256",02/08/2019,38.5
58,38.65,39.41,38.34,"15,686,810",02/07/2019,39.23
59,39.91,40.74,39.53,"16,876,500",02/06/2019,40.17
60,39.3,39.36,38.73,"11,584,790",02/05/2019,39.08
61,38.93,38.94,38.35,"9,942,391",02/04/2019,38.65
62,38.78,39.145,38.52,"7,972,813",02/01/2019,38.91
63,39.02,39.05,38.485,"11,126,340",01/31/2019,38.81
64,39.09,39.14,38.12,"10,913,320",01/30/2019,38.5
65,38.47,38.54,38.09,"5,745,149",01/29/2019,38.31
66,38.46,38.6,38.055,"11,323,250",01/28/2019,38.23
