,Date,Open,High,Low,Close,Volume
4,10/26/2018,113.5,114.5,111.05,112.04,"1,238,236"
5,10/25/2018,111.55,114.69,110.62,114.14,"1,919,148"
6,10/24/2018,115.2,116.84,110.28,110.39,"1,103,555"
7,10/23/2018,114.74,115.46,112.3,114.94,"1,154,545"
8,10/22/2018,116.71,117.74,115.57,116.83,"1,140,206"
9,10/19/2018,118.47,119.54,115.92,116.5,"962,682"
10,10/18/2018,119.82,120.2,117.09,117.94,"990,639"
11,10/17/2018,120.08,120.24,118.34,119.89,"728,728"
12,10/16/2018,116.56,120.16,116.48,119.89,"1,395,990"
13,10/15/2018,116.75,117.05,115.07,115.45,"1,514,287"
14,10/12/2018,115.52,117.93,115.01,117.36,"2,076,996"
15,10/11/2018,112.43,115.99,111.485,112.78,"2,378,972"
16,10/10/2018,117.56,117.71,113.065,113.11,"1,639,947"
17,10/09/2018,117.64,119.05,116.68,117.63,"882,239"
18,10/08/2018,121.65,121.65,116.45,117.86,"1,483,771"
19,10/05/2018,121.98,122.22,119.89,121.8,"1,331,696"
20,10/04/2018,124.74,124.74,120.92,122.09,"1,180,932"
21,10/03/2018,126.16,126.78,125.36,125.49,"894,795"
22,10/02/2018,126.44,126.66,125.29,125.71,"1,106,204"
23,10/01/2018,128.22,128.38,125.9,126.52,"1,714,854"
24,09/28/2018,126.61,128.89,126.24,127.4,"2,869,878"
25,09/27/2018,127.43,127.69,126.59,126.71,"780,176"
26,09/26/2018,127.74,128.23,126.91,127.11,"940,259"
27,09/25/2018,127.89,128.67,127.39,127.86,"697,055"
28,09/24/2018,126.98,127.44,125.86,127.29,"556,990"
29,09/21/2018,127.58,128.57,126.98,127.19,"1,504,140"
30,09/20/2018,127.66,127.66,126.17,127.15,"922,815"
31,09/19/2018,128.98,129.18,126.7,126.82,"825,219"
32,09/18/2018,126.97,128.85,126.85,128.55,"693,306"
33,09/17/2018,128.35,128.73,126.7596,126.97,"433,068"
34,09/14/2018,128.88,129.2,128.14,128.59,"424,316"
35,09/13/2018,128.37,129.25,127.79,128.33,"763,342"
36,09/12/2018,126.87,128.42,126.84,127.95,"880,085"
37,09/11/2018,125.05,126.87,124.62,126.81,"794,499"
38,09/10/2018,124.52,125.72,123.775,125.58,"831,553"
39,09/07/2018,123.81,125.23,123.1105,123.73,"981,057"
40,09/06/2018,124,124.5907,122.69,124.28,"675,585"
41,09/05/2018,125.27,125.27,122.96,123.69,"1,053,173"
42,09/04/2018,124.38,125.78,124.07,125.51,"758,570"
43,08/31/2018,123.42,124.845,122.56,124.58,"907,319"
44,08/30/2018,124.7,124.98,122.53,123.67,"999,097"
45,08/29/2018,124.69,125.55,124.62,125.01,"709,771"
46,08/28/2018,123.5,124.65,123.47,124.37,"1,042,943"
47,08/27/2018,122.54,123.46,122.48,123.23,"962,260"
48,08/24/2018,120.48,122.2,120.48,122.15,"534,886"
49,08/23/2018,120.43,121.43,120.09,120.38,"512,783"
50,08/22/2018,119,120.53,118.96,120.34,"520,529"
51,08/21/2018,119.3,119.8,118.89,119.03,"621,788"
52,08/20/2018,119.01,119.68,118.41,119.29,"637,003"
53,08/17/2018,118.02,118.91,117.5902,118.67,"688,590"
54,08/16/2018,117.78,118.18,116.86,118.02,"815,450"
55,08/15/2018,118.1,118.63,115.66,116.92,"974,538"
56,08/14/2018,117.09,118.75,115.99,118.35,"713,808"
57,08/13/2018,116.14,118.06,115.98,116.94,"1,072,494"
58,08/10/2018,116.01,117.14,115.71,116.14,"864,231"
59,08/09/2018,116.49,117.95,116.28,116.61,"1,159,536"
60,08/08/2018,117.91,118.23,116,116.17,"1,343,293"
61,08/07/2018,118.81,119,117.51,118.06,"989,983"
62,08/06/2018,118.73,119.23,117.22,118.44,"1,225,146"
63,08/03/2018,119.75,119.75,116.43,118.77,"1,503,221"
64,08/02/2018,115.25,121,115.13,119.18,"3,221,733"
65,08/01/2018,112.16,113.8,111.72,111.9,"1,776,497"
66,07/31/2018,112.98,113.37,111.77,112.57,"941,462"
67,07/30/2018,115.25,115.91,111.58,112.26,"768,902"
68,07/27/2018,118.03,118.03,114.5,115.25,"594,578"
69,07/26/2018,117.61,118.36,116.02,117.68,"735,206"
