,Date,Open,High,Low,Close,Volume
4,10/12/2018,217,217.98,211.46,213.87,"4,159,038"
5,10/11/2018,214.2,216.03,210.95,212.97,"6,214,321"
6,10/10/2018,223.24,223.64,214.56,214.89,"3,923,539"
7,10/09/2018,224.99,225.12,222.53,222.91,"1,862,829"
8,10/08/2018,224.26,226.917,222.5,225.35,"2,522,510"
9,10/05/2018,228,228.41,224.21,225.71,"1,722,399"
10,10/04/2018,229.26,231.4,225.39,227.48,"2,903,563"
11,10/03/2018,227.75,229.77,226.58,227.78,"2,573,739"
12,10/02/2018,225.28,226.33,223.97,226.07,"2,272,226"
13,10/01/2018,226.22,227.59,225,225.33,"2,451,283"
14,09/28/2018,225.75,227.4,223.8,224.24,"3,096,236"
15,09/27/2018,228.77,229.85,227.52,227.74,"2,450,842"
16,09/26/2018,232.96,233,228.24,228.88,"2,370,204"
17,09/25/2018,234.64,234.64,232.225,232.5,"2,003,248"
18,09/24/2018,234.74,235.74,232.24,232.9,"2,056,334"
19,09/21/2018,238.06,238.52,234.83,235.34,"3,759,794"
20,09/20/2018,237,238.51,236.03,237.4,"2,501,636"
21,09/19/2018,229.9,236.28,229.52,235.58,"3,715,088"
22,09/18/2018,228.35,229.4,226.57,228.89,"2,496,282"
23,09/17/2018,229.4,230.16,227.3,227.89,"1,917,774"
24,09/14/2018,229.08,230.55,228.76,229.24,"2,174,722"
25,09/13/2018,229.5,229.85,227.57,228.33,"2,997,423"
26,09/12/2018,230.91,231.99,227.3017,228.15,"3,576,517"
27,09/11/2018,230.67,231.65,228.66,230.21,"2,719,422"
28,09/10/2018,235.01,235.5,231.74,231.91,"1,947,771"
29,09/07/2018,235.05,235.64,232.68,233.91,"1,952,820"
30,09/06/2018,237,238.63,233.88,234.52,"2,651,375"
31,09/05/2018,237.01,239.4497,236.17,237.56,"2,091,991"
32,09/04/2018,237.76,238.12,234.59,237.66,"2,083,423"
33,08/31/2018,238.94,239.35,237.12,237.81,"1,965,271"
34,08/30/2018,240.8,241.12,238.68,239.4,"1,963,697"
35,08/29/2018,242.05,242.79,240.31,241.4,"1,911,601"
36,08/28/2018,243.06,245.08,241.59,242.37,"2,950,916"
37,08/27/2018,236.99,243.65,236.56,242.6,"4,105,355"
38,08/24/2018,237.36,237.8,234.7,235.11,"1,948,096"
39,08/23/2018,239.05,239.28,235.84,236.34,"2,064,737"
40,08/22/2018,237.89,239.67,237.58,239.34,"1,870,840"
41,08/21/2018,235.29,239.53,235.29,238.65,"2,433,182"
42,08/20/2018,234.13,235.975,234.075,235.78,"2,604,859"
43,08/17/2018,232.51,233.72,231.64,233.38,"2,107,175"
44,08/16/2018,230.67,233.29,230.45,233,"2,435,844"
45,08/15/2018,229.35,231.54,228.31,229.25,"3,218,434"
46,08/14/2018,227.35,230.37,227.3,229.56,"2,355,535"
47,08/13/2018,229.49,229.89,226.57,226.86,"2,662,652"
48,08/10/2018,230.97,231.455,228.11,229.61,"3,862,371"
49,08/09/2018,236.35,236.845,233.39,233.78,"2,951,918"
50,08/08/2018,238.12,239.16,236.23,236.37,"2,522,203"
51,08/07/2018,237.25,239.46,236.49,237.83,"2,399,530"
52,08/06/2018,234.14,236.98,234.03,235.93,"2,259,594"
53,08/03/2018,234.44,235.52,233.49,234.09,"3,053,060"
54,08/02/2018,233.93,235.21,232.77,233.99,"2,579,701"
55,08/01/2018,238.5,239.4,235.78,236.04,"2,510,502"
56,07/31/2018,239.5,239.5,236.55,237.43,"2,503,693"
57,07/30/2018,238,239.73,236.89,238.95,"2,454,099"
58,07/27/2018,237.96,238.8,235.99,237.64,"1,998,179"
59,07/26/2018,237,238.335,236.43,237.11,"1,884,749"
60,07/25/2018,235.01,236.85,233.95,236.69,"2,176,071"
61,07/24/2018,234.75,237.48,234.34,235.88,"2,887,267"
62,07/23/2018,231.8,234.86,231.72,233.76,"2,788,420"
63,07/20/2018,229.01,232.05,228.8,231.69,"2,683,069"
64,07/19/2018,231.11,231.99,228.98,229.63,"4,638,340"
65,07/18/2018,232.34,233.72,230.15,231.24,"6,146,231"
66,07/17/2018,231.48,233.23,226.87,231.02,"9,276,300"
67,07/16/2018,227.2,231.44,226.74,231.44,"3,266,628"
68,07/13/2018,226.63,228.62,223.93,226.41,"2,541,475"
69,07/12/2018,227.64,227.8,225.7701,227.22,"2,221,049"
