,Date,Open,High,Low,Close,Volume
4,308.18,311.81,306.5,"520,583",04/18/2019,308.87
5,308.32,310.285,305.3,"306,644",04/17/2019,308.47
6,306,307.005,302.715,"301,933",04/16/2019,305.96
7,304.79,306.17,303.41,"290,077",04/15/2019,304.87
8,304.86,308.265,302.56,"685,948",04/12/2019,306.5
9,308.99,313.26,306,"415,652",04/11/2019,306
10,303.17,304.22,297,"495,779",04/10/2019,299.99
11,305.28,314.33,305.08,"335,817",04/09/2019,314.33
12,314.96,316.5095,314.21,"313,232",04/08/2019,315.44
13,316.5,318.9,313.595,"410,190",04/05/2019,313.99
14,313.64,315.5,311,"304,405",04/04/2019,311
15,311.58,314.7,310.42,"389,361",04/03/2019,312.76
16,311.27,313.32,308.58,"440,652",04/02/2019,310.92
17,311.26,311.43,301.5,"499,419",04/01/2019,301.5
18,300.93,301.59,294.78,"427,660",03/29/2019,295.97
19,293.78,295.7,290.04,"372,035",03/28/2019,291.33
20,290,292.16,287.53,"354,551",03/27/2019,290.13
21,289.33,291.92,286.58,"421,432",03/26/2019,291.92
22,289.6,293.24,288.14,"287,714",03/25/2019,291.87
23,292.51,303.91,292.35,"445,573",03/22/2019,303.91
24,304.98,305.61,297.76,"298,393",03/21/2019,297.99
25,298.02,304.02,295.5625,"226,926",03/20/2019,299.52
26,299.54,304.16,298.93,"347,008",03/19/2019,304.13
27,302.06,302.34,297.44,"238,431",03/18/2019,297.44
28,297.18,299.99,296.27,"444,181",03/15/2019,297.4
29,297.53,299.67,295.46,"383,854",03/14/2019,299.67
30,299.49,300.65,296.31,"400,971",03/13/2019,296.84
31,295.37,296.15,293.1,"308,923",03/12/2019,295.71
32,294.99,295.62,290.35,"218,287",03/11/2019,291.58
33,293.4,296.31,291.19,"356,898",03/08/2019,295.57
34,297.7,301.84,295.82,"329,004",03/07/2019,300.73
35,302.45,305.33,300,"312,806",03/06/2019,301.98
36,301.3,303.76,300.69,"423,190",03/05/2019,303.65
37,302.62,307,300.7,"404,371",03/04/2019,303.42
38,302.53,310.045,299.47,"631,012",03/01/2019,308.74
39,304.77,311.77,304.51,"337,901",02/28/2019,310.65
40,311.12,311.22,307.09,"350,586",02/27/2019,307.09
41,308.55,312.5,308.46,"262,599",02/26/2019,312.09
42,311.38,315.03,311.05,"353,476",02/25/2019,313.8
43,312.37,312.58,309.48,"232,181",02/22/2019,310.07
44,309.59,313.175,308.29,"361,559",02/21/2019,311.91
45,311.04,314.09,309.182,"453,851",02/20/2019,314.09
46,314.65,316.89,314.15,"293,016",02/19/2019,315.62
47,316.62,316.73,312.44,"327,157",02/15/2019,315
48,311.81,314.715,308.96,"292,465",02/14/2019,311.48
49,313.31,314.57,307.13,"399,259",02/13/2019,313.42
50,312.52,314.87,307.94,"475,696",02/12/2019,308.8
51,306.84,307.34,301.6604,"368,771",02/11/2019,302.02
52,300.43,302.35,298.58,"362,108",02/08/2019,301.1
53,303.06,306.5,300.72,"391,686",02/07/2019,301.51
54,303.52,305.635,298.72,"409,275",02/06/2019,299.48
55,299.99,300.19,295.645,"357,602",02/05/2019,298.56
56,298.61,298.99,291.39,"306,719",02/04/2019,292.7
57,292.48,298.95,291.43,"427,116",02/01/2019,295.54
58,295.39,297.81,291.83,"654,129",01/31/2019,295.57
59,296.08,299.01,290.85,"660,764",01/30/2019,299.01
60,296.16,296.22,288.26,"423,320",01/29/2019,290.31
61,288.93,291.08,286.84,"432,720",01/28/2019,289.21
62,291.83,291.96,285.1,"815,858",01/25/2019,287.9
63,286.22,295,280.7117,"1,596,420",01/24/2019,288.2
64,297.16,305.26,295.81,"1,031,434",01/23/2019,302.03
65,300.61,305.97,298.52,"560,967",01/22/2019,303.62
66,305.39,308.92,301.45,"688,728",01/18/2019,302.28
