,Date,Open,High,Low,Close,Volume
4,13.61,13.82,13.6,"13,804,400",04/18/2019,13.82
5,13.83,13.83,13.575,"9,471,684",04/17/2019,13.7
6,13.66,13.72,13.29,"15,827,500",04/16/2019,13.49
7,13.46,13.715,13.44,"8,561,095",04/15/2019,13.7
8,13.69,13.81,13.46,"14,201,700",04/12/2019,13.54
9,13.35,13.5,13.265,"8,415,996",04/11/2019,13.4
10,13.3,13.31,13.0,"11,517,620",04/10/2019,13.23
11,13.17,13.365,13.12,"12,603,710",04/09/2019,13.33
12,13.4,13.4,13.27,"11,993,490",04/08/2019,13.3
13,13.31,13.39,13.22,"12,583,920",04/05/2019,13.34
14,13.32,13.39,13.12,"13,264,570",04/04/2019,13.16
15,13.21,13.475,13.1601,"11,723,300",04/03/2019,13.33
16,13.18,13.33,13.05,"9,446,165",04/02/2019,13.1
17,13.14,13.18,12.77,"15,032,170",04/01/2019,12.77
18,12.68,12.9,12.67,"12,531,860",03/29/2019,12.89
19,12.77,12.79,12.541,"11,874,240",03/28/2019,12.62
20,12.61,12.68,12.48,"16,554,910",03/27/2019,12.54
21,12.57,12.59,12.35,"13,635,520",03/26/2019,12.38
22,12.32,12.45,12.19,"16,680,480",03/25/2019,12.25
23,12.25,12.54,12.145,"31,984,800",03/22/2019,12.53
24,12.62,13.01,12.59,"43,577,310",03/21/2019,12.91
25,12.96,13.67,12.92,"17,572,530",03/20/2019,13.56
26,13.58,14.0,13.55,"12,829,270",03/19/2019,13.99
27,13.92,14.0,13.815,"36,484,760",03/18/2019,13.85
28,13.75,14.02,13.75,"50,635,400",03/15/2019,13.95
29,14.07,14.115,13.905,"11,861,120",03/14/2019,13.94
30,13.92,14.0,13.74,"12,355,530",03/13/2019,13.78
31,13.72,13.85,13.67,"14,741,320",03/12/2019,13.76
32,13.7,13.94,13.69,"21,600,980",03/11/2019,13.78
33,13.76,13.79,13.55,"14,976,910",03/08/2019,13.59
34,13.69,13.95,13.65,"18,112,900",03/07/2019,13.95
35,14.03,14.325,14.0,"9,064,831",03/06/2019,14.27
36,14.27,14.38,14.05,"10,297,660",03/05/2019,14.35
37,14.37,14.55,14.2,"10,634,760",03/04/2019,14.41
38,14.4,14.61,14.32,"12,398,530",03/01/2019,14.45
39,14.41,14.45,14.34,"8,793,746",02/28/2019,14.39
40,14.37,14.4,14.225,"8,495,716",02/27/2019,14.29
41,14.3,14.49,14.18,"11,966,340",02/26/2019,14.34
42,14.4,14.61,14.385,"14,108,880",02/25/2019,14.43
43,14.33,14.39,14.15,"12,013,290",02/22/2019,14.23
44,14.2,14.32,14.14,"10,406,560",02/21/2019,14.28
45,14.27,14.335,14.06,"18,885,220",02/20/2019,14.15
46,14.12,14.17,13.845,"7,375,778",02/19/2019,13.92
47,14.01,14.03,13.76,"8,384,977",02/15/2019,13.83
48,13.69,13.8,13.57,"8,517,795",02/14/2019,13.73
49,13.89,14.01,13.86,"8,574,052",02/13/2019,13.92
50,13.86,14.05,13.81,"12,926,420",02/12/2019,13.86
51,13.73,13.815,13.635,"13,567,040",02/11/2019,13.67
52,13.62,13.92,13.53,"10,708,720",02/08/2019,13.87
53,13.96,14.06,13.595,"30,562,290",02/07/2019,13.61
54,13.38,13.39,13.21,"9,233,452",02/06/2019,13.25
55,13.3,13.44,13.205,"7,732,872",02/05/2019,13.41
56,13.41,13.43,13.19,"8,197,882",02/04/2019,13.31
57,13.32,13.41,13.235,"10,621,350",02/01/2019,13.33
58,13.24,13.46,13.08,"17,469,160",01/31/2019,13.41
59,13.49,13.615,13.47,"7,524,193",01/30/2019,13.58
60,13.56,13.715,13.4804,"8,231,319",01/29/2019,13.56
61,13.57,13.615,13.36,"12,521,360",01/28/2019,13.41
62,13.55,13.72,13.45,"12,721,110",01/25/2019,13.56
63,13.45,13.625,13.2301,"17,623,370",01/24/2019,13.42
64,13.56,13.69,13.4,"17,047,180",01/23/2019,13.64
65,13.52,13.63,13.45,"14,830,250",01/22/2019,13.51
66,13.59,13.625,13.235,"14,025,770",01/18/2019,13.44
