,Date,Open,High,Low,Close,Volume
4,10/30/2018,27.13,27.78,26.96,27.35,"6,345,322"
5,10/29/2018,26.71,27.04,26.62,27.02,"2,754,814"
6,10/26/2018,27.01,27.13,26.18,26.49,"3,618,492"
7,10/25/2018,26.76,27.15,26.52,27.03,"2,951,069"
8,10/24/2018,26.2,26.97,26.11,26.8,"3,742,167"
9,10/23/2018,25.92,26.335,25.82,26.13,"2,810,351"
10,10/22/2018,26.41,26.63,25.88,25.95,"3,338,836"
11,10/19/2018,25.96,26.42,25.85,26.4,"3,631,186"
12,10/18/2018,25.84,25.98,25.73,25.89,"2,977,310"
13,10/17/2018,25.66,25.91,25.53,25.78,"2,077,888"
14,10/16/2018,25.01,25.75,24.8,25.68,"2,426,391"
15,10/15/2018,24.73,25.23,24.71,24.98,"2,058,897"
16,10/12/2018,24.98,25.0,24.47,24.71,"4,578,426"
17,10/11/2018,25.91,25.95,24.8,24.81,"4,599,425"
18,10/10/2018,25.9,26.23,25.77,25.8,"3,777,892"
19,10/09/2018,25.73,25.92,25.51,25.91,"2,469,556"
20,10/08/2018,25.31,25.8,25.31,25.66,"2,424,628"
21,10/05/2018,25.25,25.4,25.13,25.2,"2,294,837"
22,10/04/2018,25.17,25.41,24.925,25.32,"2,829,427"
23,10/03/2018,25.61,25.69,25.07,25.38,"3,102,002"
24,10/02/2018,25.82,25.92,25.58,25.62,"1,779,277"
25,10/01/2018,26.26,26.32,25.745,25.79,"2,149,797"
26,09/28/2018,25.8,26.34,25.8,26.32,"3,555,930"
27,09/27/2018,25.68,25.91,25.57,25.65,"1,931,886"
28,09/26/2018,25.88,25.91,25.53,25.56,"2,196,643"
29,09/25/2018,25.72,26.11,25.71,25.9,"2,720,949"
30,09/24/2018,26.31,26.34,25.68,25.7,"2,753,082"
31,09/21/2018,26.27,26.45,26.14,26.39,"4,655,664"
32,09/20/2018,26.08,26.405,25.834,26.35,"2,334,763"
33,09/19/2018,26.33,26.34,26.065,26.12,"2,114,283"
34,09/18/2018,26.71,26.77,26.28,26.28,"1,984,253"
35,09/17/2018,26.38,26.76,26.28,26.74,"2,130,578"
36,09/14/2018,26.72,26.73,26.115,26.3,"1,914,823"
37,09/13/2018,26.79,26.93,26.55,26.82,"1,753,950"
38,09/12/2018,26.68,26.78,26.545,26.63,"1,537,869"
39,09/11/2018,26.47,26.775,26.38,26.66,"1,635,252"
40,09/10/2018,26.88,27.03,26.63,26.63,"2,190,692"
41,09/07/2018,26.75,26.8,26.4,26.45,"1,672,356"
42,09/06/2018,26.71,27.02,26.7,26.98,"2,407,200"
43,09/05/2018,26.47,26.84,26.28,26.64,"2,296,610"
44,09/04/2018,26.94,27.04,26.51,26.54,"1,974,390"
45,08/31/2018,26.97,27.12,26.86,27.03,"2,162,825"
46,08/30/2018,27.13,27.13,26.895,26.93,"1,713,546"
47,08/29/2018,27.08,27.2,27.04,27.06,"1,973,710"
48,08/28/2018,26.65,27.03,26.56,27.03,"3,087,431"
49,08/27/2018,26.72,26.73,26.42,26.72,"1,604,180"
50,08/24/2018,26.63,26.75,26.48,26.72,"1,082,895"
51,08/23/2018,26.8,26.88,26.69,26.71,"2,446,352"
52,08/22/2018,26.96,27.0,26.68,26.74,"1,627,723"
53,08/21/2018,27.05,27.11,26.85,26.93,"2,137,045"
54,08/20/2018,27.3,27.435,27.03,27.07,"2,377,017"
55,08/17/2018,27.03,27.225,27.02,27.22,"2,597,568"
56,08/16/2018,26.77,27.0,26.565,26.98,"2,820,982"
57,08/15/2018,26.23,27.0662,26.23,26.86,"3,086,120"
58,08/14/2018,26.05,26.4,26.01,26.28,"1,848,069"
59,08/13/2018,26.02,26.06,25.815,26.05,"1,937,414"
60,08/10/2018,26.13,26.25,25.92,25.98,"1,856,447"
61,08/09/2018,26.15,26.25,26.06,26.16,"1,851,098"
62,08/08/2018,26.5,26.52,26.03,26.09,"1,630,250"
63,08/07/2018,26.25,26.48,26.109,26.47,"2,423,571"
64,08/06/2018,26.5,26.625,26.19,26.26,"2,589,371"
65,08/03/2018,25.78,26.59,25.74,26.46,"3,387,646"
66,08/02/2018,25.97,26.3,25.62,26.04,"3,691,590"
67,08/01/2018,25.57,26.01,25.09,26.0,"3,820,705"
68,07/31/2018,25.63,26.08,25.46,25.9,"5,411,607"
69,07/30/2018,25.39,25.575,25.18,25.48,"2,587,238"
