,Date,Open,High,Low,Close,Volume
4,08/24/2018,16.16,16.31,15.98,16.2,"9,560,621"
5,08/23/2018,15.81,16.46,15.795,16.1,"15,522,380"
6,08/22/2018,15.76,15.92,15.72,15.82,"8,280,054"
7,08/21/2018,16.47,16.47,15.74,15.78,"16,612,710"
8,08/20/2018,16.74,16.96,16.59,16.72,"9,402,443"
9,08/17/2018,16.25,16.795,16.2075,16.67,"12,167,040"
10,08/16/2018,16.12,16.39,16.025,16.27,"10,663,380"
11,08/15/2018,15.86,16.09,15.79,16.03,"10,257,720"
12,08/14/2018,15.7,16.02,15.7,15.99,"5,182,786"
13,08/13/2018,15.85,15.97,15.66,15.66,"5,039,563"
14,08/10/2018,15.98,16.085,15.78,15.85,"5,035,476"
15,08/09/2018,16.14,16.225,16.06,16.11,"3,465,116"
16,08/08/2018,16.14,16.29,16.07,16.16,"4,662,968"
17,08/07/2018,16.05,16.23,16.02,16.13,"4,396,525"
18,08/06/2018,15.93,16.045,15.85,16.01,"5,224,052"
19,08/03/2018,15.61,15.9999,15.59,15.98,"7,397,161"
20,08/02/2018,15.35,15.57,15.32,15.55,"7,752,458"
21,08/01/2018,15.42,15.61,15.37,15.45,"5,640,154"
22,07/31/2018,15.45,15.55,15.37,15.44,"6,644,722"
23,07/30/2018,15.58,15.64,15.32,15.45,"4,926,249"
24,07/27/2018,15.76,15.89,15.53,15.59,"5,690,120"
25,07/26/2018,15.49,15.77,15.48,15.69,"4,970,568"
26,07/25/2018,15.24,15.49,15.23,15.48,"5,964,866"
27,07/24/2018,15.61,15.665,15.25,15.3,"7,481,736"
28,07/23/2018,15.41,15.55,15.27,15.47,"13,138,930"
29,07/20/2018,15.59,15.615,15.405,15.47,"6,592,584"
30,07/19/2018,15.93,16.155,15.61,15.64,"11,529,630"
31,07/18/2018,15.69,15.95,15.65,15.93,"6,985,921"
32,07/17/2018,15.59,15.8,15.56,15.66,"8,881,368"
33,07/16/2018,15.45,15.65,15.335,15.64,"10,737,970"
34,07/13/2018,15.34,15.53,15.3,15.49,"8,808,068"
35,07/12/2018,15.15,15.47,15.12,15.39,"4,759,838"
36,07/11/2018,15.31,15.35,15.08,15.1,"8,721,631"
37,07/10/2018,15.24,15.535,15.2,15.5,"12,040,880"
38,07/09/2018,15.04,15.315,14.99,15.23,"6,357,178"
39,07/06/2018,14.88,15.05,14.73,14.98,"5,526,834"
40,07/05/2018,14.8,14.84,14.57,14.82,"9,426,215"
41,07/03/2018,14.79,14.92,14.75,14.77,"4,748,199"
42,07/02/2018,14.5,14.84,14.46,14.8,"7,050,869"
43,06/29/2018,14.77,14.85,14.61,14.61,"11,385,060"
44,06/28/2018,14.71,14.77,14.475,14.71,"14,739,090"
45,06/27/2018,15.22,15.25,14.72,14.72,"14,267,160"
46,06/26/2018,15.11,15.55,15.06,15.17,"7,978,554"
47,06/25/2018,15.17,15.23,14.94,15.07,"15,972,810"
48,06/22/2018,15.49,15.52,15.225,15.24,"9,282,647"
49,06/21/2018,15.2,15.49,15.14,15.42,"14,483,090"
50,06/20/2018,15.95,15.99,15.13,15.15,"14,603,220"
51,06/19/2018,15.7,15.93,15.67,15.9,"8,381,017"
52,06/18/2018,15.8,16.06,15.685,15.91,"12,078,040"
53,06/15/2018,15.8,15.95,15.62,15.95,"25,029,570"
54,06/14/2018,15.87,16.12,15.75,15.82,"11,844,090"
55,06/13/2018,15.76,15.89,15.7,15.79,"8,437,824"
56,06/12/2018,15.92,16,15.78,15.79,"8,983,217"
57,06/11/2018,15.96,16.18,15.96,16.02,"11,592,510"
58,06/08/2018,15.82,16.02,15.7868,16.01,"7,921,062"
59,06/07/2018,15.98,16.06,15.82,15.92,"7,786,362"
60,06/06/2018,16.11,16.11,15.725,16.02,"12,394,520"
61,06/05/2018,15.5,16.13,15.45,16.06,"22,296,340"
62,06/04/2018,15.5,15.74,15.37,15.54,"12,134,700"
63,06/01/2018,15.33,15.53,15.32,15.53,"10,896,210"
64,05/31/2018,15.53,15.59,15.12,15.24,"14,448,050"
65,05/30/2018,15.47,15.665,15.32,15.57,"12,024,890"
66,05/29/2018,15.43,15.4861,15.26,15.38,"9,724,880"
67,05/25/2018,15.75,15.82,15.44,15.52,"14,410,520"
68,05/24/2018,15.55,15.81,15.16,15.76,"28,857,180"
