,Date,Open,High,Low,Close,Volume
4,11/02/2018,84.9,85.97,82.96,83.51,"1,719,265"
5,11/01/2018,83.04,84.73,82.35,84.66,"1,072,641"
6,10/31/2018,83.55,83.65,82.13,83.0,"1,665,488"
7,10/30/2018,81.47,83.48,81.06,83.34,"1,771,862"
8,10/29/2018,80.84,84.675,80.04,81.21,"1,268,590"
9,10/26/2018,80.23,81.135,79.09,79.93,"1,782,430"
10,10/25/2018,79.43,82.01,79.33,81.35,"1,590,847"
11,10/24/2018,81.92,82.58,79.92,80.03,"1,075,725"
12,10/23/2018,81.67,82.16,80.26,81.73,"1,285,223"
13,10/22/2018,82.5,83.14,81.66,82.04,"987,689"
14,10/19/2018,83.31,84.09,82.36,82.51,"1,337,183"
15,10/18/2018,86.26,86.5476,82.6,83.29,"2,441,316"
16,10/17/2018,84.95,87.2,84.6,86.47,"1,360,570"
17,10/16/2018,84.88,85.8,84.62,85.07,"2,375,024"
18,10/15/2018,84.09,85.65,83.64,84.75,"1,379,729"
19,10/12/2018,84.21,84.735,82.78,83.95,"1,585,626"
20,10/11/2018,86.64,86.64,83.23,83.54,"1,756,315"
21,10/10/2018,87.89,88.02,86.3,86.36,"1,786,979"
22,10/09/2018,87.21,88.35,86.62,87.8,"1,064,535"
23,10/08/2018,88.54,88.68,86.27,86.97,"3,078,461"
24,10/05/2018,87.53,90.52,87.53,88.44,"2,898,188"
25,10/04/2018,86.45,87.37,85.99,87.25,"1,136,680"
26,10/03/2018,86.29,87.3,85.72,86.73,"939,369"
27,10/02/2018,86.77,87.09,86.025,86.26,"1,217,919"
28,10/01/2018,85.48,87.74,84.94,86.9,"1,947,046"
29,09/28/2018,85.08,85.41,83.89,85.03,"1,133,376"
30,09/27/2018,85.0,86.07,85.0,85.21,"944,631"
31,09/26/2018,86.03,87.41,83.95,84.92,"2,464,106"
32,09/25/2018,83.86,84.45,83.59,84.34,"842,583"
33,09/24/2018,84.92,85.1,82.79,83.67,"1,260,723"
34,09/21/2018,86.17,86.6,85.21,85.67,"1,614,191"
35,09/20/2018,84.52,86.01,84.52,85.88,"959,091"
36,09/19/2018,84.42,84.9,83.78,84.48,"718,763"
37,09/18/2018,84.15,84.6,83.51,84.32,"1,043,481"
38,09/17/2018,83.52,85.28,83.16,84.39,"873,741"
39,09/14/2018,83.3,83.64,82.81,83.39,"883,717"
40,09/13/2018,83.2,83.365,82.62,83.18,"876,073"
41,09/12/2018,81.03,83.07,80.79,82.87,"1,022,291"
42,09/11/2018,79.91,81.08,79.231,80.96,"801,879"
43,09/10/2018,80.45,80.64,79.87,80.04,"440,339"
44,09/07/2018,80.52,81.05,80.01,80.18,"1,158,591"
45,09/06/2018,80.69,81.73,80.06,80.54,"1,510,834"
46,09/05/2018,76.52,80.69,76.52,80.65,"2,030,612"
47,09/04/2018,77.27,78.44,76.08,77.89,"1,200,376"
48,08/31/2018,77.0,78.0,76.67,77.68,"1,388,082"
49,08/30/2018,78.0,78.45,76.77,77.0,"2,349,492"
50,08/29/2018,80.87,81.46,80.6,81.1,"1,104,581"
51,08/28/2018,81.31,81.39,80.4,80.72,"1,166,890"
52,08/27/2018,81.5,81.94,81.09,81.16,"936,493"
53,08/24/2018,81.3,81.3,80.5,81.15,"961,174"
54,08/23/2018,81.78,81.88,81.14,81.35,"583,251"
55,08/22/2018,81.66,82.73,81.0762,81.93,"1,157,433"
56,08/21/2018,81.96,82.27,81.22,81.96,"737,867"
57,08/20/2018,80.21,81.89,80.21,81.67,"913,898"
58,08/17/2018,79.02,80.75,79.02,80.34,"1,510,496"
59,08/16/2018,78.45,79.75,77.975,79.17,"865,810"
60,08/15/2018,77.95,78.61,77.12,78.45,"1,295,318"
61,08/14/2018,77.97,78.58,77.52,78.25,"1,337,770"
62,08/13/2018,77.43,78.19,77.12,77.82,"1,118,078"
63,08/10/2018,78.21,78.25,77.12,77.37,"1,029,535"
64,08/09/2018,79.18,79.4,78.06,78.53,"1,086,239"
65,08/08/2018,79.75,80.195,78.41,78.8,"1,077,355"
66,08/07/2018,80.64,80.64,78.02,79.8,"2,028,834"
67,08/06/2018,81.97,85.508,80.88,82.17,"3,364,208"
68,08/03/2018,78.79,80.67,78.59,80.23,"2,425,704"
69,08/02/2018,78.61,78.99,77.03,78.81,"672,917"
