,Date,Open,High,Low,Close,Volume
4,143.28,143.5,142.46,"2,730,860",04/05/2019,143.29
5,142.78,144.14,142.54,"2,771,087",04/04/2019,143.62
6,143.63,144.22,143.01,"2,681,044",04/03/2019,143.65
7,143.0,143.95,142.6,"2,400,493",04/02/2019,143.35
8,143.3,143.41,141.51,"3,811,916",04/01/2019,141.51
9,141.1,141.22,140.15,"3,101,419",03/29/2019,140.5
10,139.92,140.44,139.1,"2,571,619",03/28/2019,139.91
11,139.24,140.49,138.4,"3,091,432",03/27/2019,140.41
12,140.22,141.02,139.42,"2,406,340",03/26/2019,139.93
13,139.18,139.91,138.35,"2,771,582",03/25/2019,139.06
14,139.45,141.44,138.9,"3,877,002",03/22/2019,140.97
15,141.44,142.12,138.88,"3,576,952",03/21/2019,139.1
16,139.6,140.7,138.98,"3,646,608",03/20/2019,140.53
17,140.49,141.7024,140.002,"3,454,919",03/19/2019,140.96
18,140.21,140.365,138.72,"3,267,620",03/18/2019,139.83
19,139.43,140.33,139.23,"7,153,180",03/15/2019,139.37
20,138.79,138.94,138.06,"2,738,418",03/14/2019,138.51
21,138.56,139.325,137.85,"3,168,333",03/13/2019,138.05
22,138.28,139.695,137.86,"3,954,350",03/12/2019,138.52
23,137.71,137.73,135.84,"3,935,904",03/11/2019,136.03
24,135.09,135.24,133.58,"3,773,562",03/08/2019,134.21
25,135.36,136.89,134.6343,"4,358,264",03/07/2019,136.61
26,136.98,138.3892,136.72,"2,768,250",03/06/2019,138.12
27,137.88,138.74,137.555,"4,196,775",03/05/2019,138.37
28,138.43,140.08,137.17,"3,404,089",03/04/2019,139.99
29,139.2,140.04,138.64,"2,979,597",03/01/2019,139.31
30,138.13,139.055,137.72,"3,450,137",02/28/2019,138.77
31,139.17,139.57,138.4007,"2,530,848",02/27/2019,139.25
32,139.72,140.49,139.47,"3,059,551",02/26/2019,139.67
33,139.46,140.47,139.32,"3,193,627",02/25/2019,140.0
34,139.25,139.38,138.43,"3,111,900",02/22/2019,138.73
35,137.84,138.35,137.35,"2,937,236",02/21/2019,137.82
36,138.0,139.24,137.2203,"3,801,087",02/20/2019,138.76
37,138.7,138.7,137.36,"3,383,978",02/19/2019,137.81
38,138.03,138.185,137.385,"3,843,467",02/15/2019,137.58
39,136.48,137.6019,136.21,"2,789,396",02/14/2019,137.17
40,137.52,137.92,136.41,"4,252,066",02/13/2019,136.92
41,136.05,136.2,134.86,"3,313,222",02/12/2019,135.15
42,133.99,135.15,133.91,"3,095,030",02/11/2019,134.29
43,133.71,133.71,132.19,"3,156,272",02/08/2019,132.34
44,133.19,134.47,132.12,"4,372,136",02/07/2019,133.55
45,136.32,136.65,135.17,"4,876,834",02/06/2019,135.22
46,135.55,135.82,134.92,"5,396,802",02/05/2019,135.28
47,135.19,135.2,132.99,"3,954,689",02/04/2019,134.02
48,134.1,135.2,133.35,"3,802,091",02/01/2019,134.97
49,134.42,134.716,133.74,"4,880,772",01/31/2019,134.45
50,134.38,135.03,133.25,"4,488,827",01/30/2019,134.0
51,134.33,135.4149,133.6,"5,034,563",01/29/2019,134.29
52,134.27,134.805,132.58,"5,124,522",01/28/2019,133.1
53,133.97,134.44,132.43,"5,707,375",01/25/2019,132.87
54,132.53,133.2054,131.43,"6,310,355",01/24/2019,132.63
55,132.89,135.0,130.31,"22,051,560",01/23/2019,131.37
56,122.52,123.8,121.54,"9,734,454",01/22/2019,123.3
57,123.82,124.7175,122.71,"6,004,928",01/18/2019,123.27
58,122.19,122.4085,120.55,"5,014,762",01/17/2019,120.56
59,121.62,122.0,120.83,"3,789,197",01/16/2019,121.58
60,121.73,121.93,120.82,"3,507,503",01/15/2019,120.96
61,120.39,120.6548,119.7607,"5,217,705",01/14/2019,120.51
62,121.46,121.615,120.2,"3,664,065",01/11/2019,121.58
63,121.79,121.86,119.95,"3,837,848",01/10/2019,120.08
64,120.69,121.4,119.87,"3,619,359",01/09/2019,120.91
65,119.83,120.57,118.98,"4,700,622",01/08/2019,119.66
66,118.15,118.83,116.67,"3,732,918",01/07/2019,117.5
