,Date,Open,High,Low,Close,Volume
4,319.03,323.46,312.5,"1,107,619",04/18/2019,321.77
5,318.69,331.68,315.3501,"1,175,263",04/17/2019,330.93
6,329.5,339.79,327.18,"975,241",04/16/2019,336.1
7,335.12,340.056,333.68,"1,074,377",04/15/2019,338.62
8,338.37,340.4,331.18,"1,454,070",04/12/2019,331.86
9,328.52,328.58,322.81,"888,878",04/11/2019,325.0
10,324.86,325.49,314.4,"1,033,257",04/10/2019,317.01
11,316.64,322.565,315.35,"917,978",04/09/2019,320.92
12,323.61,324.0,314.09,"1,093,586",04/08/2019,322.13
13,323.5,323.62,316.16,"841,872",04/05/2019,317.36
14,315.02,318.55,311.84,"538,103",04/04/2019,318.03
15,319.2,321.73,317.04,"806,593",04/03/2019,318.86
16,316.1,318.31,311.27,"662,471",04/02/2019,315.0
17,316.84,318.41,314.075,"914,938",04/01/2019,314.45
18,310.69,311.13,305.55,"855,907",03/29/2019,308.27
19,305.14,305.9,301.12,"530,887",03/28/2019,303.0
20,302.07,308.34,299.66,"698,248",03/27/2019,306.93
21,307.5,308.98,304.15,"552,849",03/26/2019,305.97
22,303.71,308.68,301.62,"729,347",03/25/2019,308.0
23,308.79,319.267,308.4,"1,008,856",03/22/2019,319.08
24,319.21,319.85,313.31,"752,107",03/21/2019,313.73
25,315.3,316.73,309.76,"924,373",03/20/2019,310.92
26,310.7,311.7,306.131,"830,977",03/19/2019,307.36
27,305.78,310.3,303.4188,"702,139",03/18/2019,309.78
28,309.84,310.55,306.65,"1,465,976",03/15/2019,310.01
29,309.2,309.5,306.25,"558,296",03/14/2019,308.06
30,308.27,310.89,306.38,"682,869",03/13/2019,306.5
31,305.27,306.1,299.75,"924,501",03/12/2019,302.0
32,300.18,300.49,294.865,"666,954",03/11/2019,295.39
33,294.53,294.93,285.4965,"944,579",03/08/2019,289.2
34,292.06,298.66,289.28,"1,200,390",03/07/2019,298.41
35,298.66,305.7,298.05,"776,032",03/06/2019,304.6
36,303.8,308.91,303.21,"629,669",03/05/2019,308.52
37,307.7,321.655,304.0,"1,356,545",03/04/2019,321.24
38,321.18,322.32,313.57,"1,095,352",03/01/2019,313.93
39,312.77,314.68,308.37,"1,605,156",02/28/2019,309.27
40,309.16,309.37,299.501,"720,281",02/27/2019,300.0
41,301.21,305.05,300.31,"958,405",02/26/2019,304.63
42,304.74,306.31,301.92,"627,470",02/25/2019,302.82
43,301.06,301.995,297.56,"545,226",02/22/2019,297.56
44,296.88,302.99,295.55,"616,542",02/21/2019,302.22
45,302.24,303.55,298.01,"842,353",02/20/2019,303.17
46,302.26,304.52,299.14,"928,149",02/19/2019,299.62
47,299.82,299.82,294.02,"773,537",02/15/2019,296.56
48,292.47,295.2561,291.86,"643,994",02/14/2019,292.34
49,293.52,296.62,290.7112,"944,354",02/13/2019,293.66
50,292.2,292.83,287.02,"772,851",02/12/2019,287.79
51,284.37,289.595,283.91,"651,637",02/11/2019,285.39
52,284.1,284.97,275.1,"1,196,429",02/08/2019,275.51
53,276.52,283.17,274.35,"923,878",02/07/2019,282.0
54,284.18,285.36,280.24,"757,395",02/06/2019,280.24
55,281.87,284.2,279.31,"972,676",02/05/2019,280.93
56,281.04,284.99,278.35,"836,258",02/04/2019,283.41
57,282.86,286.31,279.53,"1,049,090",02/01/2019,280.11
58,279.79,284.13,273.03,"1,501,530",01/31/2019,273.03
59,272.57,281.75,268.62,"2,717,537",01/30/2019,276.13
60,285.26,289.62,280.52,"1,310,648",01/29/2019,289.04
61,287.68,293.48,287.15,"1,262,012",01/28/2019,293.48
62,293.88,303.99,293.3,"1,389,451",01/25/2019,300.96
63,301.06,304.43,298.49,"617,188",01/24/2019,303.39
64,302.29,308.13,297.0701,"776,833",01/23/2019,303.53
65,303.62,312.365,301.64,"805,134",01/22/2019,311.64
66,312.75,314.745,306.26,"1,015,613",01/18/2019,313.85
