,Date,Open,High,Low,Close,Volume
4,10/26/2018,62.14,65.55,61.45,63.95,"1,624,907"
5,10/25/2018,61.47,64.56,60.68,64.29,"1,880,144"
6,10/24/2018,64.89,64.97,60.71,60.92,"2,492,224"
7,10/23/2018,64.34,65.87,62.705,65.04,"1,176,207"
8,10/22/2018,67.07,67.545,64.75,65.18,"1,055,846"
9,10/19/2018,64.49,67.02,63.75,66.06,"1,635,841"
10,10/18/2018,65.35,65.49,63.49,64.44,"1,163,246"
11,10/17/2018,64.91,65.5,64.1,65.04,"2,128,283"
12,10/16/2018,62.47,65.12,62.27,64.91,"1,483,131"
13,10/15/2018,62.17,63,61.51,62.03,"1,145,980"
14,10/12/2018,62.69,63,60.9,62.56,"1,671,986"
15,10/11/2018,64.08,64.97,61.07,61.75,"2,188,207"
16,10/10/2018,65.5,66.265,63.78,63.85,"1,446,039"
17,10/09/2018,64.18,65.97,63.72,65.5,"887,586"
18,10/08/2018,64.61,65.01,62.83,64.17,"1,396,611"
19,10/05/2018,66.27,66.985,63.79,65.08,"1,302,445"
20,10/04/2018,69.76,69.76,65.71,66.19,"1,377,973"
21,10/03/2018,70,70.58,69.55,69.94,"873,988"
22,10/02/2018,68.86,69.9,68.57,69.85,"1,049,073"
23,10/01/2018,69.47,69.9,68.3,68.82,"883,659"
24,09/28/2018,68.81,69.93,68.56,69.08,"1,312,864"
25,09/27/2018,67.55,69.43,67,69.04,"971,722"
26,09/26/2018,66.03,69.34,66.03,67.42,"1,835,733"
27,09/25/2018,66.71,66.83,65.65,65.86,"1,067,192"
28,09/24/2018,66.52,66.87,65.64,66.48,"1,087,903"
29,09/21/2018,68.37,68.861,66.415,66.59,"1,992,823"
30,09/20/2018,67.36,68.61,67.2642,68.28,"1,150,362"
31,09/19/2018,67.79,68.96,67.2,67.25,"906,450"
32,09/18/2018,66.85,67.98,66.59,67.82,"760,067"
33,09/17/2018,68.09,68.3988,66.4667,67.02,"1,141,431"
34,09/14/2018,67.65,68.53,67.19,68.09,"952,423"
35,09/13/2018,67.03,67.67,66.08,67.48,"1,202,082"
36,09/12/2018,66.86,66.96,65.47,66.51,"1,344,103"
37,09/11/2018,68.1,69.1375,66.35,66.82,"2,374,978"
38,09/10/2018,69.57,69.57,67.78,68.4,"1,294,377"
39,09/07/2018,71.63,71.7,68.86,69.17,"1,708,166"
40,09/06/2018,74.3,74.61,71.44,72.21,"1,233,352"
41,09/05/2018,73.56,74.81,73.56,74.23,"879,529"
42,09/04/2018,73.44,73.9,72.365,73.84,"1,010,482"
43,08/31/2018,73.74,74.69,73.47,73.91,"905,057"
44,08/30/2018,73.96,74.65,71.78,73.65,"671,872"
45,08/29/2018,73.87,74.38,73.35,74.08,"1,432,124"
46,08/28/2018,72.26,74.45,72.25,73.85,"1,478,426"
47,08/27/2018,70.5,73.355,70.3983,72.36,"1,830,218"
48,08/24/2018,69.4,70.81,69.28,70.08,"1,936,222"
49,08/23/2018,69.3,69.62,68.3,69.18,"1,871,509"
50,08/22/2018,69.34,70.01,68.93,69.48,"810,842"
51,08/21/2018,68.96,70.43,68.81,69.62,"1,723,253"
52,08/20/2018,69.28,69.33,68.31,69.05,"1,433,062"
53,08/17/2018,67.55,69.4,67.015,68.8,"1,233,761"
54,08/16/2018,67.02,68.205,66.44,67.85,"1,152,831"
55,08/15/2018,67.52,68.34,66.44,66.87,"1,851,752"
56,08/14/2018,65.01,66.58,65,66.45,"1,413,314"
57,08/13/2018,64.3,65.49,63.25,64.87,"1,336,494"
58,08/10/2018,63.88,65.46,63.88,64.44,"1,022,519"
59,08/09/2018,63.47,64.7,62.62,64.38,"1,603,207"
60,08/08/2018,63.17,64.8,62.65,63.61,"2,667,038"
61,08/07/2018,61.94,63.11,61.94,63.01,"2,091,371"
62,08/06/2018,63.04,63.28,61.45,61.75,"2,208,846"
63,08/03/2018,64.59,64.6,62.5,63.04,"2,115,328"
64,08/02/2018,65.31,65.31,64.16,64.45,"2,430,270"
65,08/01/2018,65.38,66.54,64.9301,65.59,"2,055,269"
66,07/31/2018,69.34,70.445,65.25,66.54,"2,572,108"
67,07/30/2018,68.52,69.75,67.61,68.58,"1,640,545"
68,07/27/2018,69.84,69.84,68.22,68.64,"1,268,441"
69,07/26/2018,70.27,70.5,69.15,69.91,"1,109,096"
