,Date,Open,High,Low,Close,Volume
4,55.25,55.625,55.14,"1,581,519",03/19/2019,55.36
5,55.29,55.35,54.52,"2,409,654",03/18/2019,54.52
6,54.52,54.65,54.07,"3,956,910",03/15/2019,54.15
7,54.13,54.71,54.07,"1,555,869",03/14/2019,54.4
8,54.39,54.905,54.22,"2,045,784",03/13/2019,54.43
9,54.09,54.29,53.76,"1,672,618",03/12/2019,53.78
10,53.62,53.675,52.58,"1,811,628",03/11/2019,52.58
11,52.54,52.63,52.06,"1,295,385",03/08/2019,52.54
12,52.9,53.41,52.44,"1,551,174",03/07/2019,53.03
13,53.04,53.72,53.0,"1,276,787",03/06/2019,53.46
14,53.43,54.14,53.42,"1,102,900",03/05/2019,54.14
15,53.57,54.35,53.0611,"1,819,079",03/04/2019,54.2
16,53.98,54.19,53.21,"2,573,853",03/01/2019,53.47
17,53.17,53.69,52.93,"2,858,328",02/28/2019,52.97
18,53.05,53.21,52.76,"1,618,201",02/27/2019,52.84
19,53.02,53.17,52.61,"1,473,185",02/26/2019,53.04
20,52.99,53.55,52.94,"2,157,343",02/25/2019,53.5
21,53.11,53.21,52.29,"1,715,315",02/22/2019,53.2
22,53.08,53.375,52.51,"1,530,819",02/21/2019,53.09
23,53.04,53.35,52.94,"1,411,623",02/20/2019,53.22
24,53.13,53.4,52.845,"1,541,650",02/19/2019,53.2
25,53.42,53.74,53.22,"1,917,619",02/15/2019,53.47
26,52.99,53.23,52.32,"1,121,773",02/14/2019,53.09
27,53.35,53.79,53.191,"1,938,488",02/13/2019,53.34
28,53.11,53.3,51.1101,"1,580,320",02/12/2019,52.88
29,52.61,52.92,52.45,"1,474,354",02/11/2019,52.51
30,52.41,52.41,51.7361,"1,570,591",02/08/2019,51.86
31,52.21,52.26,51.6,"1,695,003",02/07/2019,51.92
32,52.28,52.37,51.895,"1,218,249",02/06/2019,52.01
33,52.21,52.23,51.85,"1,856,077",02/05/2019,52.13
34,52.23,52.38,51.771,"1,901,875",02/04/2019,51.84
35,51.77,52.57,51.22,"1,726,780",02/01/2019,51.83
36,51.92,51.99,51.25,"2,789,029",01/31/2019,51.35
37,51.43,51.75,50.67,"2,590,127",01/30/2019,50.76
38,50.6,50.97,50.47,"1,873,252",01/29/2019,50.85
39,50.78,51.235,50.59,"2,304,962",01/28/2019,51.0
40,51.52,51.66,51.19,"3,612,600",01/25/2019,51.27
41,51.01,51.35,50.78,"1,184,187",01/24/2019,51.14
42,51.25,51.72,50.955,"1,384,443",01/23/2019,51.56
43,51.5,51.74,51.12,"1,985,668",01/22/2019,51.42
44,51.61,51.88,51.305,"2,416,836",01/18/2019,51.55
45,51.4,51.63,50.54,"1,931,816",01/17/2019,50.82
46,51.11,51.2,50.44,"2,994,903",01/16/2019,50.59
47,50.77,51.04,49.7876,"2,868,611",01/15/2019,50.19
48,49.65,49.99,49.11,"1,987,719",01/14/2019,49.34
49,49.78,49.82,49.08,"1,202,836",01/11/2019,49.51
50,49.89,49.91,49.26,"1,642,855",01/10/2019,49.43
51,49.61,50.13,49.34,"1,846,331",01/09/2019,49.76
52,49.76,49.98,48.92,"1,969,511",01/08/2019,49.63
53,49.33,49.76,48.435,"2,468,403",01/07/2019,48.76
54,48.8,48.825,46.68,"4,091,437",01/04/2019,47.22
55,46.6,47.53,46.34,"1,922,973",01/03/2019,47.12
56,47.42,47.595,46.965,"2,415,026",01/02/2019,47.19
57,47.97,48.11,47.46,"1,578,518",12/31/2018,47.62
58,47.32,48.24,46.85,"1,260,109",12/28/2018,47.79
59,47.71,47.72,44.52,"2,300,063",12/27/2018,46.5
60,47.22,47.24,44.93,"2,033,764",12/26/2018,45.25
61,44.93,46.36,44.88,"1,256,127",12/24/2018,46.09
62,46.39,48.57,46.155,"7,106,536",12/21/2018,47.57
63,47.7,49.13,47.55,"3,829,214",12/20/2018,48.37
64,48.43,50.13,48.0,"3,013,748",12/19/2018,49.53
