,Date,Open,High,Low,Close,Volume
4,10/12/2018,21.84,21.86,21.17,21.43,"7,375,578"
5,10/11/2018,22.07,22.5,21.44,21.6,"9,673,660"
6,10/10/2018,23.0,23.06,21.91,21.94,"6,260,436"
7,10/09/2018,23.41,23.44,23.02,23.11,"5,200,351"
8,10/08/2018,23.16,23.45,22.97,23.4,"5,738,840"
9,10/05/2018,23.24,23.595,23.24,23.35,"5,471,698"
10,10/04/2018,23.34,23.37,23.06,23.2,"4,296,202"
11,10/03/2018,23.13,23.34,23.05,23.34,"4,485,685"
12,10/02/2018,22.94,23.18,22.77,23.07,"4,969,073"
13,10/01/2018,23.02,23.09,22.765,22.9,"6,605,262"
14,09/28/2018,22.55,23.01,22.18,22.87,"7,657,642"
15,09/27/2018,23.19,23.33,22.57,22.79,"3,770,911"
16,09/26/2018,23.2,23.38,23.18,23.2,"2,936,864"
17,09/25/2018,23.06,23.24,23.01,23.11,"2,098,095"
18,09/24/2018,23.2,23.27,22.92,23.01,"4,343,910"
19,09/21/2018,22.73,23.32,22.65,23.18,"7,614,552"
20,09/20/2018,22.65,22.745,22.475,22.67,"2,858,028"
21,09/19/2018,22.38,22.48,22.29,22.36,"2,026,617"
22,09/18/2018,22.46,22.535,22.24,22.35,"2,693,858"
23,09/17/2018,22.88,22.92,22.49,22.54,"2,440,771"
24,09/14/2018,22.76,22.865,22.635,22.71,"1,844,008"
25,09/13/2018,22.88,22.88,22.63,22.69,"2,523,023"
26,09/12/2018,22.55,22.81,22.39,22.8,"1,948,472"
27,09/11/2018,22.81,22.85,22.29,22.51,"2,408,544"
28,09/10/2018,22.85,22.9,22.67,22.82,"2,824,715"
29,09/07/2018,22.52,22.86,22.405,22.75,"2,175,621"
30,09/06/2018,22.72,22.93,22.485,22.6,"3,094,371"
31,09/05/2018,22.85,22.92,22.48,22.63,"5,134,280"
32,09/04/2018,22.7,23.05,22.55,22.93,"3,241,467"
33,08/31/2018,23.1,23.37,23.075,23.35,"3,526,478"
34,08/30/2018,23.39,23.51,23.27,23.39,"6,148,834"
35,08/29/2018,23.35,23.47,23.28,23.44,"3,737,040"
36,08/28/2018,23.15,23.41,23.14,23.31,"4,085,292"
37,08/27/2018,22.97,23.25,22.93,23.06,"2,755,213"
38,08/24/2018,22.71,22.93,22.63,22.88,"1,963,300"
39,08/23/2018,22.85,22.95,22.635,22.67,"3,042,709"
40,08/22/2018,22.73,22.93,22.57,22.81,"4,508,229"
41,08/21/2018,22.53,22.81,22.35,22.77,"4,138,888"
42,08/20/2018,22.5,22.59,22.32,22.45,"2,626,709"
43,08/17/2018,22.55,22.56,22.315,22.37,"2,020,717"
44,08/16/2018,22.35,22.61,22.23,22.56,"3,259,919"
45,08/15/2018,21.98,22.24,21.87,22.14,"2,837,188"
46,08/14/2018,21.95,22.26,21.88,22.13,"2,673,627"
47,08/13/2018,22.08,22.13,21.79,21.85,"2,257,956"
48,08/10/2018,22.16,22.23,22.01,22.09,"1,676,526"
49,08/09/2018,22.19,22.355,22.16,22.29,"2,169,665"
50,08/08/2018,22.36,22.425,22.08,22.13,"1,864,605"
51,08/07/2018,22.38,22.52,22.305,22.36,"3,129,883"
52,08/06/2018,22.02,22.36,21.93,22.25,"1,819,401"
53,08/03/2018,22.2,22.255,21.965,22.02,"1,828,076"
54,08/02/2018,21.93,22.27,21.73,22.08,"3,219,627"
55,08/01/2018,22.38,22.45,21.92,21.98,"3,199,684"
56,07/31/2018,22.36,22.66,22.08,22.55,"4,014,829"
57,07/30/2018,22.4,22.41,22.16,22.22,"2,428,422"
58,07/27/2018,22.48,22.62,22.295,22.42,"2,440,942"
59,07/26/2018,22.39,22.8058,22.34,22.38,"3,637,506"
60,07/25/2018,22.04,22.53,21.86,22.4,"7,599,350"
61,07/24/2018,23.32,23.32,21.72,21.82,"10,039,220"
62,07/23/2018,21.48,22.04,21.48,21.98,"6,086,236"
63,07/20/2018,21.82,21.85,21.41,21.48,"4,518,035"
64,07/19/2018,21.85,22.26,21.45,21.85,"10,546,780"
65,07/18/2018,22.27,22.57,22.27,22.55,"5,562,410"
66,07/17/2018,22.95,22.985,22.24,22.26,"7,893,203"
67,07/16/2018,23.24,23.77,23.105,23.7,"4,266,728"
68,07/13/2018,23.13,23.38,23.13,23.3,"2,356,894"
69,07/12/2018,23.24,23.295,22.89,23.24,"3,730,238"
