,Date,Open,High,Low,Close,Volume
4,578.34,578.865,567.5965,"503,226",04/08/2019,574.46
5,575.72,577.94,572.69,"452,032",04/05/2019,574.52
6,570.28,577.16,559.8,"646,223",04/04/2019,577.16
7,576.26,580.25,574.04,"467,174",04/03/2019,578.97
8,575.98,579.79,575.11,"575,755",04/02/2019,579.0
9,575.54,579.8529,572.81,"564,677",04/01/2019,575.0
10,570.58,571.99,561.645,"507,104",03/29/2019,565.7
11,562.89,563.9849,554.79,"325,685",03/28/2019,558.58
12,558.27,567.63,552.01,"475,469",03/27/2019,565.57
13,567.64,573.23,565.22,"391,117",03/26/2019,568.46
14,562.72,565.12,557.6032,"395,211",03/25/2019,561.0
15,561.26,574.275,560.75,"562,232",03/22/2019,573.66
16,577.98,579.23,566.73,"512,693",03/21/2019,567.79
17,569.36,571.72,560.99,"650,454",03/20/2019,563.0
18,562.72,565.42,555.41,"526,078",03/19/2019,560.0
19,559.49,559.87,553.085,"574,439",03/18/2019,558.47
20,558.21,560.99,555.04,"1,281,310",03/15/2019,560.39
21,558.73,559.42,549.47,"548,175",03/14/2019,557.0
22,557.16,560.6976,551.0,"463,861",03/13/2019,551.15
23,550.13,552.2,542.4,"507,581",03/12/2019,545.7
24,542.95,545.03,535.02,"491,226",03/11/2019,536.69
25,533.76,534.53,525.0,"516,030",03/08/2019,526.1
26,533.16,536.37,523.68,"710,441",03/07/2019,536.37
27,536.51,548.82,534.53,"509,027",03/06/2019,547.0
28,546.61,550.94,545.83,"380,272",03/05/2019,550.12
29,549.93,562.0,541.41,"502,646",03/04/2019,559.01
30,558.55,564.31,549.5,"749,614",03/01/2019,551.79
31,547.61,554.83,546.455,"757,091",02/28/2019,547.35
32,549.41,551.56,541.51,"502,266",02/27/2019,545.81
33,548.46,551.23,543.93,"453,822",02/26/2019,551.23
34,553.39,558.9518,552.63,"496,504",02/25/2019,555.0
35,551.86,557.77,550.1,"564,727",02/22/2019,551.62
36,549.87,552.36,542.23,"570,034",02/21/2019,547.7
37,549.65,550.0,544.52,"564,451",02/20/2019,547.67
38,548.17,549.4899,541.34,"666,898",02/19/2019,543.07
39,548.5,548.61,538.66,"678,040",02/15/2019,540.93
40,536.08,538.21,525.16,"466,804",02/14/2019,530.84
41,533.47,539.71,526.36,"631,109",02/13/2019,529.99
42,539.71,544.5,531.05,"666,070",02/12/2019,532.05
43,529.46,530.93,520.0,"917,686",02/11/2019,521.69
44,517.05,517.48,501.9921,"545,369",02/08/2019,504.65
45,509.36,520.0,507.41,"701,722",02/07/2019,516.73
46,521.95,523.87,513.3,"486,054",02/06/2019,521.36
47,522.89,527.822,518.04,"506,756",02/05/2019,521.89
48,522.43,523.24,517.42,"430,941",02/04/2019,522.57
49,524.65,528.0,518.0,"715,889",02/01/2019,522.85
50,523.64,525.96,507.24,"1,008,309",01/31/2019,510.16
51,508.48,509.3,491.8895,"726,673",01/30/2019,497.28
52,494.25,502.24,486.64,"842,452",01/29/2019,497.01
53,496.73,511.0994,495.04,"942,214",01/28/2019,509.1
54,515.04,525.9,508.83,"2,022,416",01/25/2019,516.0
55,536.12,536.725,528.6619,"647,087",01/24/2019,534.0
56,529.95,538.5444,521.41,"758,804",01/23/2019,536.24
57,536.78,539.65,531.25,"728,516",01/22/2019,537.06
58,542.55,543.75,527.7,"1,036,795",01/18/2019,539.4
59,534.28,535.13,511.23,"981,294",01/17/2019,512.91
60,515.93,525.83,515.81,"627,255",01/16/2019,518.45
61,515.46,516.44,503.12,"862,664",01/15/2019,503.12
62,502.71,504.69,499.04,"638,219",01/14/2019,501.0
63,505.32,516.59,501.3202,"990,399",01/11/2019,515.0
64,518.07,519.72,510.19,"967,847",01/10/2019,510.47
65,517.11,519.49,493.97,"1,432,461",01/09/2019,501.0
66,482.99,485.59,471.05,"735,093",01/08/2019,483.7
