,Date,Open,High,Low,Close,Volume
4,10/31/2018,144.28,149.875,144.28,147.52,"1,608,691"
5,10/30/2018,141.19,143.76,140.425,142.23,"1,830,614"
6,10/29/2018,144.4,147.34,139.08,140.86,"952,521"
7,10/26/2018,141.94,144.88,140.47,142.64,"504,700"
8,10/25/2018,142.96,145.205,142.96,144.34,"631,284"
9,10/24/2018,146.12,147.7,141.7,141.92,"668,879"
10,10/23/2018,146.02,146.92,143.89,146.38,"1,137,255"
11,10/22/2018,146.62,148.45,145.29,147.84,"592,369"
12,10/19/2018,145.62,149.31,145.32,146.24,"669,053"
13,10/18/2018,149.15,149.51,143.91,145.05,"976,684"
14,10/17/2018,150.79,151.75,148.725,149.31,"783,956"
15,10/16/2018,148.76,151.92,148.49,151.14,"863,328"
16,10/15/2018,147.99,148.36,146.74,147.05,"626,246"
17,10/12/2018,147.87,149.26,145.5,148.79,"963,863"
18,10/11/2018,146.34,148.54,144.38,145.05,"719,231"
19,10/10/2018,151.98,152.49,146.46,146.67,"1,024,782"
20,10/09/2018,153.18,154.11,151.72,152.54,"597,277"
21,10/08/2018,154.33,154.62,151.03,153.21,"779,634"
22,10/05/2018,155.75,156.87,153.8,154.74,"793,893"
23,10/04/2018,157.9,158.535,155.37,156.2,"426,211"
24,10/03/2018,159.17,159.78,158.18,158.64,"393,028"
25,10/02/2018,157.71,160.14,157.63,158.41,"503,402"
26,10/01/2018,159.51,160.29,157.74,158.27,"394,788"
27,09/28/2018,159.78,160.6,157.13,158.5,"856,836"
28,09/27/2018,158.95,159.59,157.45,159.31,"461,890"
29,09/26/2018,160.09,160.96,158.73,158.95,"662,544"
30,09/25/2018,157.74,161.21,157.6,160.0,"735,478"
31,09/24/2018,158.02,158.41,156.03,157.01,"440,386"
32,09/21/2018,157.27,159.92,156.1,158.45,"1,042,603"
33,09/20/2018,154.95,157.18,153.98,156.91,"402,646"
34,09/19/2018,153.49,154.14,151.46,154.05,"677,585"
35,09/18/2018,153.74,154.22,152.84,153.19,"806,618"
36,09/17/2018,155.98,156.21,153.375,153.44,"553,956"
37,09/14/2018,158.38,158.38,155.9,156.22,"747,406"
38,09/13/2018,156.74,158.1,156.275,157.94,"481,619"
39,09/12/2018,154.91,159.17,154.06,156.27,"944,187"
40,09/11/2018,153.08,155.53,152.28,155.03,"533,521"
41,09/10/2018,152.89,153.16,151.3,152.7,"480,530"
42,09/07/2018,153.21,154.06,152.08,152.39,"313,574"
43,09/06/2018,153.68,154.1999,152.03,153.6,"383,608"
44,09/05/2018,152.08,153.98,150.74,153.49,"585,322"
45,09/04/2018,149.76,152.76,148.71,152.32,"592,982"
46,08/31/2018,147.7,149.9699,147.7,149.76,"394,751"
47,08/30/2018,148.43,148.43,146.75,147.62,"281,728"
48,08/29/2018,148.45,149.62,148.17,148.64,"354,346"
49,08/28/2018,147.48,148.59,147.26,148.22,"385,869"
50,08/27/2018,145.91,147.455,145.08,147.38,"326,466"
51,08/24/2018,145.59,145.98,144.68,145.37,"272,451"
52,08/23/2018,145.35,145.985,144.39,145.26,"278,828"
53,08/22/2018,144.02,145.34,143.7,145.15,"261,375"
54,08/21/2018,145.05,145.58,143.975,144.13,"377,182"
55,08/20/2018,143.5,145.35,142.75,144.92,"574,413"
56,08/17/2018,141.42,143.31,140.82,143.12,"518,624"
57,08/16/2018,140.44,141.49,139.79,141.35,"236,934"
58,08/15/2018,140.52,141.33,139.19,139.72,"329,847"
59,08/14/2018,139.7,141.33,139.25,140.93,"366,299"
60,08/13/2018,139.94,140.99,139.04,139.13,"250,553"
61,08/10/2018,139.33,141.54,138.9893,140.32,"830,755"
62,08/09/2018,138.27,139.98,138.26,139.66,"420,079"
63,08/08/2018,139.16,139.695,138.07,138.27,"385,485"
64,08/07/2018,140.38,140.8523,138.35,138.76,"665,367"
65,08/06/2018,138.27,140.35,137.52,140.03,"395,416"
66,08/03/2018,135.01,138.25,134.33,138.2,"496,895"
67,08/02/2018,130.34,135.01,130.225,134.81,"813,783"
68,08/01/2018,131.36,131.86,128.0,130.89,"1,328,445"
69,07/31/2018,135.63,135.76,134.42,135.43,"606,461"
