,Date,Open,High,Low,Close,Volume
4,158.33,158.69,155.91,"1,198,206",04/18/2019,156.59
5,156.15,158.69,156.11,"998,521",04/17/2019,158.07
6,157.75,157.8,156.03,"832,201",04/16/2019,156.05
7,155.62,156.905,154.84,"839,900",04/15/2019,156.66
8,156.4,156.53,154.68,"807,197",04/12/2019,155.44
9,154.33,154.39,151.58,"1,024,804",04/11/2019,152.19
10,151.69,152.14,150.22,"785,327",04/10/2019,151.53
11,150.99,152.77,150.67,"918,814",04/09/2019,152.77
12,153.91,154.01,151.2582,"1,172,317",04/08/2019,151.63
13,152.2,152.94,151.8422,"993,345",04/05/2019,152
14,151.76,151.85,150.1,"769,870",04/04/2019,150.49
15,150.12,151.03,149.01,"1,174,742",04/03/2019,149.64
16,148.74,149.12,147.17,"1,092,640",04/02/2019,148.73
17,148.34,148.69,144.51,"1,207,587",04/01/2019,144.51
18,143.53,144.385,142.89,"1,294,125",03/29/2019,143.72
19,142.85,143.84,142.0709,"653,890",03/28/2019,142.22
20,142.63,143.96,141.96,"1,019,024",03/27/2019,143.24
21,143.25,143.79,142.565,"782,194",03/26/2019,143.25
22,142.04,142.76,141.22,"980,022",03/25/2019,141.6
23,141.65,146,141.5,"1,570,140",03/22/2019,145.98
24,146.47,146.88,145.04,"1,314,960",03/21/2019,145.04
25,145.66,146.31,143.43,"1,776,703",03/20/2019,145.7
26,145.99,146.96,145.27,"1,593,143",03/19/2019,146.02
27,145.38,145.45,143.3,"1,267,984",03/18/2019,143.57
28,143.18,146.26,143,"4,524,391",03/15/2019,145.26
29,144.9,145.73,143.685,"1,709,124",03/14/2019,144.83
30,145.23,145.9475,144.12,"1,468,992",03/13/2019,144.74
31,143.98,144.45,143.306,"1,365,635",03/12/2019,143.81
32,143.63,143.66,140.41,"1,073,198",03/11/2019,140.51
33,140.65,140.905,139.11,"1,490,858",03/08/2019,139.69
34,140.75,142.29,139.89,"1,861,870",03/07/2019,142.26
35,142.55,144.03,142.52,"1,121,211",03/06/2019,143.93
36,143.66,144.71,143.27,"1,094,465",03/05/2019,144.2
37,144.34,145.96,143.12,"1,297,168",03/04/2019,145.47
38,144.41,145.41,142.75,"1,463,300",03/01/2019,145.04
39,144.08,145.4,143.91,"1,461,056",02/28/2019,145.15
40,145.3,145.45,143.16,"835,511",02/27/2019,144.01
41,144.34,145.68,144.1,"1,150,909",02/26/2019,144.37
42,145.02,146.32,144.59,"1,059,262",02/25/2019,145.41
43,144.83,144.97,143.2,"825,257",02/22/2019,143.2
44,143.22,144.2125,142.63,"1,049,631",02/21/2019,143.21
45,143.61,143.902,142.86,"936,940",02/20/2019,143.47
46,143.25,144.06,142.2,"1,681,538",02/19/2019,143.39
47,144.21,144.32,139.75,"1,981,466",02/15/2019,140
48,138.75,139.81,138.01,"1,179,828",02/14/2019,139.19
49,139.82,140.21,138.665,"996,633",02/13/2019,139.09
50,138.64,139.035,137.125,"1,295,104",02/12/2019,137.15
51,136.23,136.6,135.65,"898,957",02/11/2019,136.44
52,135.72,135.73,133.16,"1,739,441",02/08/2019,134.38
53,135.02,137.5,134.45,"1,438,025",02/07/2019,136.46
54,137.57,138.22,136.68,"1,554,332",02/06/2019,137.94
55,137.84,137.92,136.05,"2,300,223",02/05/2019,136.05
56,138.41,138.44,134.97,"2,282,206",02/04/2019,135.33
57,134.43,137.1102,130,"3,384,913",02/01/2019,132.62
58,137.31,137.73,133.84,"2,584,849",01/31/2019,135.25
59,135.61,136.24,133.72,"1,381,207",01/30/2019,135.83
60,134.94,135.6408,131.44,"1,622,452",01/29/2019,131.56
61,131.05,131.66,129.72,"1,538,845",01/28/2019,131.66
62,133.25,133.91,131.4,"1,269,662",01/25/2019,132.5
63,130.93,131.88,130.09,"1,105,816",01/24/2019,131.31
64,131.11,133.25,130.06,"1,116,091",01/23/2019,132.69
65,132.17,135.67,131.25,"1,555,346",01/22/2019,134.98
66,136.67,137.5,133.51,"1,773,199",01/18/2019,133.71
