,Date,Open,High,Low,Close,Volume
4,10/12/2018,111.82,111.82,108.46,109.29,"1,480,271"
5,10/11/2018,114.02,114.5074,109.88,110.29,"1,395,550"
6,10/10/2018,117.7,118.38,113.77,113.93,"1,008,988"
7,10/09/2018,120.94,121.7399,117.94,118.17,"886,698"
8,10/08/2018,120.36,121.35,119.3,121.09,"632,546"
9,10/05/2018,121.03,121.1,119.32,120.41,"1,005,610"
10,10/04/2018,120.62,122.16,119.8,121.04,"714,412"
11,10/03/2018,120.49,121.43,119.77,120.65,"929,255"
12,10/02/2018,121.15,121.53,120.12,120.37,"765,028"
13,10/01/2018,119.72,121.45,119.72,121.09,"637,108"
14,09/28/2018,119.07,119.9597,118.26,118.94,"1,055,834"
15,09/27/2018,121.01,121.12,117.35,118.45,"1,433,629"
16,09/26/2018,119.9,122.08,119.44,121.09,"492,094"
17,09/25/2018,120.39,120.92,119.41,119.83,"627,919"
18,09/24/2018,119.26,120.45,118.65,120.4,"903,323"
19,09/21/2018,119.2,119.74,117.11,119,"1,852,443"
20,09/20/2018,122.49,123.64,119.26,119.41,"1,066,137"
21,09/19/2018,123.56,123.97,121.59,122.09,"587,574"
22,09/18/2018,122.46,123.96,121.305,123.39,"604,101"
23,09/17/2018,124.56,124.81,121.44,122.45,"636,368"
24,09/14/2018,123.87,125.93,123.74,124.56,"564,832"
25,09/13/2018,125.85,126.88,123.55,123.87,"497,081"
26,09/12/2018,126.4,126.99,124.9685,125.28,"499,333"
27,09/11/2018,127.38,127.93,126.11,126.48,"562,515"
28,09/10/2018,123.78,127.7,123.76,127.44,"1,062,584"
29,09/07/2018,122.62,124.31,122.43,122.98,"496,607"
30,09/06/2018,123.57,124.52,122.7,123.08,"551,267"
31,09/05/2018,118.12,123.35,118.12,123.07,"749,423"
32,09/04/2018,120.75,121.19,119.73,119.98,"907,421"
33,08/31/2018,119.82,121.0499,119.385,120.75,"551,902"
34,08/30/2018,120.93,121.225,119.33,119.81,"529,147"
35,08/29/2018,121.87,121.87,120.075,121.26,"670,711"
36,08/28/2018,124.08,124.61,121.5,121.69,"604,310"
37,08/27/2018,123.94,125.82,123.41,123.79,"707,335"
38,08/24/2018,123.8,124.65,123.27,123.8,"302,729"
39,08/23/2018,123.87,124.4,123.22,123.49,"557,385"
40,08/22/2018,123.68,124.43,123.355,123.94,"531,265"
41,08/21/2018,123.51,124.87,123.44,123.9,"466,728"
42,08/20/2018,122.07,123.9,122.07,123.43,"425,775"
43,08/17/2018,121.76,122.43,120.85,122.34,"461,592"
44,08/16/2018,122.21,122.39,121.12,121.65,"438,028"
45,08/15/2018,120.73,121.715,119.57,121.31,"397,758"
46,08/14/2018,120.57,121.9,120.24,121.57,"497,241"
47,08/13/2018,121.43,121.77,120.09,120.14,"479,170"
48,08/10/2018,120.96,121.64,120.51,121.11,"671,257"
49,08/09/2018,122.33,123.2,121.09,121.71,"382,604"
50,08/08/2018,122.41,122.68,121.77,121.91,"355,805"
51,08/07/2018,121.7,123.48,121.04,122.69,"444,386"
52,08/06/2018,120.8,121.64,119.95,121.35,"424,602"
53,08/03/2018,122.62,122.76,120.1,120.81,"575,761"
54,08/02/2018,118.28,122.68,118.28,122.41,"1,093,663"
55,08/01/2018,119.9,120.14,118.73,119.45,"549,194"
56,07/31/2018,117.96,120.73,117.345,119.9,"687,738"
57,07/30/2018,118.75,119.99,117.59,117.81,"597,059"
58,07/27/2018,118.88,119.39,118.17,118.85,"733,669"
59,07/26/2018,119.02,119.73,116.54,118.81,"1,477,987"
60,07/25/2018,117.27,119.1,116.64,118.88,"1,144,357"
61,07/24/2018,122.26,122.729,116.84,117.08,"1,508,451"
62,07/23/2018,120.95,122.54,120.86,121.92,"859,801"
63,07/20/2018,121.51,121.62,120.46,121.26,"1,007,207"
64,07/19/2018,120.82,122.11,119.84,121.58,"1,070,031"
65,07/18/2018,121.68,122.58,120.83,121.43,"1,152,610"
66,07/17/2018,121,122.44,119.6,121.56,"1,344,929"
67,07/16/2018,129.74,129.98,116.14,121.13,"4,855,721"
68,07/13/2018,121.11,122.76,120.72,121.83,"2,007,723"
69,07/12/2018,122.66,122.66,120.77,120.85,"1,268,454"
