,Date,Open,High,Low,Close,Volume
4,16.96,17.07,16.87,"3,169,699",04/18/2019,16.91
5,16.98,17.25,16.95,"3,568,034",04/17/2019,17.02
6,16.88,17.025,16.77,"3,146,920",04/16/2019,16.99
7,16.93,17.14,16.855,"5,039,676",04/15/2019,17
8,17.04,17.28,16.92,"4,532,882",04/12/2019,17.21
9,17.14,17.37,16.96,"7,532,448",04/11/2019,17.05
10,16.92,17.02,16.55,"10,764,440",04/10/2019,16.81
11,16.34,16.53,16.3001,"3,724,774",04/09/2019,16.46
12,16.58,16.635,16.44,"4,023,241",04/08/2019,16.54
13,16.64,16.79,16.585,"2,910,575",04/05/2019,16.64
14,16.6,16.8759,16.35,"6,306,614",04/04/2019,16.8
15,16.77,17,16.74,"3,953,659",04/03/2019,16.9
16,16.81,16.97,16.49,"5,018,216",04/02/2019,16.94
17,16.61,16.81,16.42,"5,229,054",04/01/2019,16.49
18,16.36,16.425,16.2,"4,395,259",03/29/2019,16.31
19,16.18,16.33,16.1,"4,792,986",03/28/2019,16.21
20,16.14,16.34,15.78,"8,692,457",03/27/2019,15.79
21,15.78,15.97,15.61,"4,475,091",03/26/2019,15.75
22,15.67,15.925,15.6,"5,871,507",03/25/2019,15.87
23,15.93,16.28,15.915,"5,453,686",03/22/2019,16.24
24,16.3,16.41,16.12,"6,710,157",03/21/2019,16.27
25,16.31,16.64,16.19,"4,823,908",03/20/2019,16.61
26,16.62,16.85,16.56,"3,604,135",03/19/2019,16.67
27,16.63,16.8,16.445,"5,144,784",03/18/2019,16.72
28,16.74,16.99,16.65,"6,116,833",03/15/2019,16.77
29,16.71,17.09,16.66,"4,352,087",03/14/2019,16.84
30,16.83,16.88,16.4,"7,540,201",03/13/2019,16.58
31,16.5,16.61,16.27,"7,023,187",03/12/2019,16.55
32,16.51,16.52,15.92,"6,097,514",03/11/2019,15.92
33,16.08,16.135,15.9247,"3,024,295",03/08/2019,16.05
34,16.19,16.43,16.14,"3,607,719",03/07/2019,16.39
35,16.42,16.62,16.255,"5,287,083",03/06/2019,16.35
36,16.43,16.77,16.31,"5,272,946",03/05/2019,16.6
37,16.56,16.94,16.51,"4,703,127",03/04/2019,16.88
38,16.93,16.99,16.615,"5,229,750",03/01/2019,16.75
39,16.7,17.03,16.66,"4,656,188",02/28/2019,16.93
40,16.9,17.18,16.71,"4,991,047",02/27/2019,17.12
41,17.18,17.35,17.18,"3,996,185",02/26/2019,17.25
42,17.25,17.36,17.17,"3,615,965",02/25/2019,17.3
43,17.22,17.55,17.18,"3,810,099",02/22/2019,17.49
44,17.49,17.69,17.37,"3,749,108",02/21/2019,17.55
45,17.56,17.93,17.53,"5,308,866",02/20/2019,17.73
46,17.93,18.03,17.815,"4,166,013",02/19/2019,17.92
47,17.96,18.27,17.93,"2,936,011",02/15/2019,18.12
48,18.08,18.17,17.85,"2,537,488",02/14/2019,17.98
49,18.05,18.12,17.92,"3,975,458",02/13/2019,17.98
50,17.89,18.36,17.85,"4,126,330",02/12/2019,18.24
51,18.26,18.31,18.1,"3,917,682",02/11/2019,18.18
52,18.14,18.18,17.91,"1,832,588",02/08/2019,18.04
53,18.1,18.22,17.9701,"2,989,272",02/07/2019,18.05
54,18.14,18.16,17.87,"2,811,366",02/06/2019,17.95
55,17.97,18.135,17.96,"4,173,419",02/05/2019,18.08
56,18,18.07,17.905,"3,195,332",02/04/2019,17.95
57,17.91,18.25,17.87,"5,219,398",02/01/2019,17.98
58,17.99,18.41,17.76,"4,925,731",01/31/2019,18.32
59,18.36,18.485,18.05,"4,583,619",01/30/2019,18.1
60,18.12,18.31,18.05,"2,872,379",01/29/2019,18.23
61,18.16,18.5,17.6,"7,822,226",01/28/2019,17.64
62,17.71,18.29,17.6674,"8,500,170",01/25/2019,18.21
63,18.12,18.24,17.365,"7,796,549",01/24/2019,17.85
64,17.24,17.59,17.04,"4,067,359",01/23/2019,17.42
65,17.37,17.71,17.28,"4,016,351",01/22/2019,17.56
66,17.6,17.705,17.381,"2,240,094",01/18/2019,17.59
