,Date,Open,High,Low,Close,Volume
4,30.05,30.88,30.05,"14,887,120",05/03/2019,29.99
5,29.99,30.89,29.875,"11,682,450",05/02/2019,30.2
6,30.2,31.0,30.18,"12,212,130",05/01/2019,30.27
7,30.27,30.8899,30.01,"18,021,800",04/30/2019,30.53
8,29.865,29.98,29.14,"10,540,510",04/29/2019,29.24
9,29.13,29.28,28.255,"17,722,080",04/26/2019,29.03
10,29.23,29.5,28.42,"14,802,310",04/25/2019,29.42
11,29.66,29.9,29.34,"7,588,367",04/24/2019,29.7
12,29.78,30.14,29.35,"10,753,230",04/23/2019,29.5
13,29.65,29.74,29.08,"11,161,000",04/22/2019,29.66
14,30.01,30.02,29.48,"9,552,777",04/18/2019,29.84
15,29.85,30.64,29.21,"17,612,100",04/17/2019,29.97
16,29.91,30.53,29.4,"15,030,410",04/16/2019,30.08
17,29.66,30.6627,29.12,"16,595,810",04/15/2019,30.4
18,30.57,31.19,30.3199,"11,283,440",04/12/2019,30.63
19,30.2,30.35,29.55,"10,816,570",04/11/2019,29.81
20,30.17,30.84,29.81,"20,464,500",04/10/2019,30.63
21,30.9,31.32,30.39,"13,885,850",04/09/2019,30.75
22,30.79,31.18,30.67,"11,353,250",04/08/2019,30.92
23,31.24,31.57,30.37,"17,805,320",04/05/2019,30.5
24,30.25,30.66,29.68,"14,520,000",04/04/2019,29.73
25,30.31,30.9288,30.23,"15,445,140",04/03/2019,30.71
26,30.29,31.2,30.1,"20,605,710",04/02/2019,31.14
27,31.26,31.625,30.78,"25,485,410",04/01/2019,30.93
28,30.15,30.53,29.69,"22,119,350",03/29/2019,29.77
29,29.41,29.45,28.86,"9,734,748",03/28/2019,29.23
30,29.16,29.71,28.81,"20,546,540",03/27/2019,28.81
31,28.81,29.05,28.32,"16,183,420",03/26/2019,28.5
32,28.39,28.55,27.47,"14,171,320",03/25/2019,27.69
33,28.0,28.76,27.84,"13,940,060",03/22/2019,28.41
34,28.76,28.82,27.87,"14,327,740",03/21/2019,27.97
35,28.08,28.29,27.67,"12,739,370",03/20/2019,28.16
36,28.31,28.67,28.01,"12,345,140",03/19/2019,28.3
37,28.14,28.69,27.92,"12,508,790",03/18/2019,28.25
38,27.93,28.71,27.78,"16,288,650",03/15/2019,28.16
39,27.89,27.9685,27.385,"17,278,550",03/14/2019,27.75
40,28.13,28.42,27.86,"13,890,890",03/13/2019,28.27
41,28.11,28.43,27.5299,"18,545,750",03/12/2019,27.95
42,27.62,27.89,27.16,"21,376,730",03/11/2019,27.46
43,27.05,27.25,26.37,"28,540,480",03/08/2019,26.71
44,27.84,28.645,27.6,"20,908,040",03/07/2019,28.5
45,29.03,29.66,28.72,"20,238,530",03/06/2019,29.25
46,29.35,29.7,28.7,"19,324,880",03/05/2019,28.88
47,28.89,29.2,28.14,"23,431,540",03/04/2019,29.04
48,28.73,29.39,27.97,"36,774,330",03/01/2019,28.03
49,27.71,28.62,26.58,"66,542,550",02/28/2019,28.58
50,25.97,26.9,25.87,"22,903,520",02/27/2019,26.42
51,26.59,26.82,25.66,"20,260,590",02/26/2019,25.98
52,26.19,27.38,26.04,"29,263,690",02/25/2019,27.11
53,25.95,25.96,24.48,"27,084,030",02/22/2019,24.55
54,24.27,24.88,24.01,"13,520,850",02/21/2019,24.82
55,24.68,25.42,24.51,"13,190,360",02/20/2019,24.81
56,24.64,24.77,23.65,"12,420,600",02/19/2019,23.66
57,23.96,24.57,23.91,"11,468,160",02/15/2019,24.51
58,24.33,24.62,23.885,"10,108,840",02/14/2019,24.54
59,24.61,25.56,24.49,"12,435,630",02/13/2019,25.0
60,24.68,25.35,24.57,"10,917,570",02/12/2019,24.67
61,24.28,24.73,24.15,"9,025,630",02/11/2019,24.35
62,23.99,24.28,23.6,"8,239,639",02/08/2019,23.65
63,23.98,24.93,23.52,"15,816,990",02/07/2019,24.77
64,25.11,25.715,24.96,"11,069,880",02/06/2019,25.47
65,25.42,25.98,24.41,"19,146,450",02/05/2019,24.45
66,24.29,24.54,24.16,"9,046,348",02/04/2019,24.5
