,Date,Open,High,Low,Close,Volume
4,20.16,20.32,20.1,"1,330,856",04/18/2019,20.21
5,20.25,20.65,20.19,"2,235,767",04/17/2019,20.35
6,20.06,20.24,19.855,"2,389,756",04/16/2019,20.19
7,20.15,20.57,20.14,"1,964,450",04/15/2019,20.53
8,20.36,20.5,20.01,"1,817,197",04/12/2019,20.01
9,19.79,20.07,19.78,"2,683,726",04/11/2019,20.04
10,19.93,19.985,19.63,"1,161,530",04/10/2019,19.82
11,19.82,20.09,19.71,"1,317,502",04/09/2019,19.97
12,20.08,20.18,19.94,"1,363,458",04/08/2019,20.03
13,20.05,20.145,19.8,"1,599,681",04/05/2019,19.9
14,19.89,20.045,19.62,"1,796,378",04/04/2019,19.69
15,19.66,19.815,19.5,"1,848,581",04/03/2019,19.54
16,19.38,19.41,19.175,"1,505,514",04/02/2019,19.27
17,19.27,19.32,19.01,"2,607,136",04/01/2019,19.01
18,18.79,19.12,18.76,"2,447,254",03/29/2019,18.91
19,18.83,19.05,18.7,"2,217,218",03/28/2019,18.7
20,18.7,18.91,18.59,"1,626,149",03/27/2019,18.72
21,18.73,18.87,18.47,"1,424,525",03/26/2019,18.81
22,18.41,18.69,18.24,"1,757,427",03/25/2019,18.39
23,18.47,19.11,18.45,"1,494,255",03/22/2019,19.06
24,19.22,19.38,19.07,"1,281,371",03/21/2019,19.18
25,19.31,19.795,19.3,"1,925,303",03/20/2019,19.72
26,19.75,20.15,19.69,"2,587,970",03/19/2019,20.03
27,19.9,19.98,19.5,"2,143,377",03/18/2019,19.5
28,19.43,19.67,19.4,"4,233,179",03/15/2019,19.41
29,19.47,19.75,19.46,"2,190,439",03/14/2019,19.63
30,19.72,19.755,19.38,"2,463,444",03/13/2019,19.44
31,19.37,19.39,19.13,"1,645,362",03/12/2019,19.25
32,19.17,19.32,19.02,"2,128,063",03/11/2019,19.11
33,18.95,18.985,18.54,"2,538,887",03/08/2019,18.71
34,18.88,19.5,18.76,"2,903,370",03/07/2019,19.47
35,19.54,19.91,19.52,"1,939,688",03/06/2019,19.8
36,19.86,20.02,19.52,"2,465,802",03/05/2019,20.02
37,20.03,20.82,19.91,"2,206,992",03/04/2019,20.61
38,20.55,20.72,20.335,"2,149,202",03/01/2019,20.41
39,20.27,20.4739,20.19,"1,669,887",02/28/2019,20.45
40,20.43,20.5,20.24,"1,388,761",02/27/2019,20.38
41,20.37,20.47,20.12,"2,230,784",02/26/2019,20.16
42,20.29,20.58,20.27,"1,404,733",02/25/2019,20.45
43,20.24,20.4646,20.16,"1,854,035",02/22/2019,20.43
44,20.44,20.85,20.4,"1,490,557",02/21/2019,20.85
45,20.85,21.03,20.76,"1,497,546",02/20/2019,20.99
46,21.02,21.045,20.78,"1,569,137",02/19/2019,20.92
47,21.02,21.055,20.54,"2,408,518",02/15/2019,20.56
48,20.35,20.56,20.13,"2,096,015",02/14/2019,20.4
49,20.64,20.83,20.5,"2,133,460",02/13/2019,20.5
50,20.48,20.53,20.24,"1,816,894",02/12/2019,20.27
51,20.07,20.13,19.86,"2,249,821",02/11/2019,19.87
52,19.85,20.1206,19.58,"5,657,049",02/08/2019,20.04
53,20.07,20.72,19.99,"2,707,343",02/07/2019,20.44
54,20.58,20.88,20.56,"2,182,560",02/06/2019,20.67
55,20.77,20.99,20.77,"2,183,152",02/05/2019,20.99
56,20.88,20.89,20.43,"3,385,209",02/04/2019,20.48
57,20.69,21.24,20.6,"3,342,980",02/01/2019,20.88
58,20.81,20.96,20.71,"2,486,706",01/31/2019,20.72
59,20.94,21.09,20.53,"2,907,672",01/30/2019,20.64
60,20.57,20.71,20.33,"1,501,222",01/29/2019,20.57
61,20.52,20.56,20.145,"1,447,865",01/28/2019,20.21
62,20.37,20.49,20.2,"1,573,511",01/25/2019,20.2
63,20.03,20.2,19.75,"1,524,688",01/24/2019,19.75
64,19.84,20.26,19.8,"2,138,213",01/23/2019,20.17
65,20.02,20.23,19.88,"2,979,548",01/22/2019,20.2
66,20.38,20.45,19.92,"2,458,552",01/18/2019,20.01
