,Date,Open,High,Low,Close,Volume
4,10/12/2018,134.4,134.41,132.23,133.87,"6,853,987"
5,10/11/2018,137.91,138.66,132.88,133.84,"11,589,230"
6,10/10/2018,139.35,140.46,137.73,137.73,"6,702,824"
7,10/09/2018,138.74,139.62,137.81,139.2,"4,474,698"
8,10/08/2018,138.9,139.68,138.62,139.39,"4,458,531"
9,10/05/2018,139.8,140.25,138.56,139.1,"4,308,720"
10,10/04/2018,138.55,139.53,137.32,139.35,"4,626,908"
11,10/03/2018,140.54,141.27,138.88,139.03,"5,134,538"
12,10/02/2018,139.79,140.73,139.65,140.48,"5,920,004"
13,10/01/2018,138.26,139.85,138,139.69,"4,839,384"
14,09/28/2018,138.1,138.56,137.41,138.17,"5,801,928"
15,09/27/2018,138.45,139.5786,137.57,138.22,"6,392,637"
16,09/26/2018,138.95,140,137.96,138.16,"6,967,068"
17,09/25/2018,140.53,140.96,138.4,138.64,"7,716,268"
18,09/24/2018,142.1,142.5,140.23,140.47,"6,677,846"
19,09/21/2018,142.18,143.13,141.69,142.88,"13,099,350"
20,09/20/2018,140.82,142.14,140.51,141.98,"4,995,902"
21,09/19/2018,140.76,140.99,140.05,140.46,"5,049,188"
22,09/18/2018,140.27,140.84,139.83,140.54,"4,563,751"
23,09/17/2018,139.33,140.4,139.18,139.96,"5,144,209"
24,09/14/2018,140,140.35,139.1,139.49,"4,322,968"
25,09/13/2018,139.89,140.48,139.02,139.89,"6,111,004"
26,09/12/2018,138.9,139.99,138.56,139.36,"6,744,443"
27,09/11/2018,137.64,138.91,137.22,138.51,"7,834,011"
28,09/10/2018,137.53,138.4716,137.06,137.21,"4,794,313"
29,09/07/2018,136.78,137.69,135.745,137.32,"6,374,329"
30,09/06/2018,135.5,137.31,135.18,136.87,"6,556,556"
31,09/05/2018,133.48,135.94,133.46,135.86,"6,174,811"
32,09/04/2018,134.69,134.75,133.44,133.72,"4,406,324"
33,08/31/2018,134.6,135,133.97,134.69,"6,130,260"
34,08/30/2018,134.7,135.6,134.6,134.95,"4,821,940"
35,08/29/2018,134.32,134.944,133.94,134.86,"4,648,614"
36,08/28/2018,134.78,134.9,133.89,134.32,"6,037,014"
37,08/27/2018,135.5,136.05,134.21,134.92,"4,325,876"
38,08/24/2018,135.11,136.1464,134.83,135.95,"4,809,388"
39,08/23/2018,134.61,135.49,134.1,135.11,"5,055,783"
40,08/22/2018,135.56,135.68,134.42,134.61,"4,688,412"
41,08/21/2018,137,137.43,135.3,135.35,"5,826,363"
42,08/20/2018,134.93,137.12,134,136.88,"7,875,831"
43,08/17/2018,132.45,135,132.19,134.47,"6,698,662"
44,08/16/2018,131.02,132.88,130.57,132.48,"7,788,872"
45,08/15/2018,129.75,130.74,128.93,130.43,"5,346,519"
46,08/14/2018,129.67,130.47,129.35,129.5,"4,514,231"
47,08/13/2018,130.72,130.9,129.85,130.22,"3,760,818"
48,08/10/2018,131.19,131.63,130.26,130.75,"4,321,842"
49,08/09/2018,131.54,131.72,130.67,131.2,"3,849,559"
50,08/08/2018,131.49,131.8,130.89,131.17,"3,721,547"
51,08/07/2018,131.88,132.17,131.3,131.46,"4,626,774"
52,08/06/2018,131.64,132.53,131.01,132.02,"5,840,034"
53,08/03/2018,131.18,132.7,130.9,131.95,"6,498,713"
54,08/02/2018,132.89,133,131.09,131.25,"6,563,338"
55,08/01/2018,132.39,132.96,132.08,132.64,"5,770,410"
56,07/31/2018,132.28,132.64,131.77,132.52,"7,556,829"
57,07/30/2018,131.78,132.49,131.25,132.17,"11,012,580"
58,07/27/2018,129.98,132.27,129.94,131.55,"6,620,170"
59,07/26/2018,129.9,131.22,129.85,130.28,"7,638,927"
60,07/25/2018,129.14,129.23,127.65,128.62,"6,522,827"
61,07/24/2018,127.24,129.62,127.15,129.36,"7,158,631"
62,07/23/2018,125.75,126.68,125.45,126.63,"4,425,883"
63,07/20/2018,125.3,126.14,125.12,125.85,"5,835,531"
64,07/19/2018,127.53,127.7,125.87,125.94,"5,903,095"
65,07/18/2018,128.81,129.05,127.17,127.8,"6,991,560"
66,07/17/2018,128.53,130.54,127.5638,129.11,"12,849,710"
67,07/16/2018,126,126.1,124.16,124.69,"7,311,339"
68,07/13/2018,125.32,127.5,125.32,125.93,"8,236,247"
69,07/12/2018,127.71,128.21,127.17,127.76,"6,167,397"
