,Date,Open,High,Low,Close,Volume
4,29.05,29.16,28.91,"2,209,072",05/03/2019,29.06
5,28.95,28.965,28.35,"1,888,047",05/02/2019,28.35
6,28.47,29.05,28.45,"1,621,127",05/01/2019,29.05
7,29.07,29.13,28.52,"2,523,302",04/30/2019,28.6
8,28.61,28.76,28.38,"2,206,649",04/29/2019,28.5
9,28.53,28.59,27.65,"2,184,155",04/26/2019,27.7
10,27.66,27.71,27.07,"2,083,234",04/25/2019,27.35
11,27.5,27.96,27.29,"5,140,405",04/24/2019,27.39
12,27.35,27.37,26.905,"4,397,492",04/23/2019,26.95
13,26.85,26.875,26.48,"1,714,194",04/22/2019,26.54
14,26.61,26.62,26.09,"1,450,391",04/18/2019,26.37
15,26.24,26.57,26.19,"1,049,491",04/17/2019,26.43
16,26.42,26.68,26.28,"1,216,175",04/16/2019,26.59
17,26.55,26.7,26.41,"1,838,204",04/15/2019,26.5
18,26.51,26.86,26.42,"2,590,546",04/12/2019,26.79
19,26.87,27.3,26.59,"6,493,790",04/11/2019,27.1
20,28.06,28.18,27.68,"2,649,369",04/10/2019,27.68
21,27.68,27.795,27.47,"2,267,325",04/09/2019,27.52
22,27.61,27.67,27.23,"2,079,534",04/08/2019,27.26
23,27.31,27.65,27.23,"1,856,758",04/05/2019,27.38
24,27.26,27.54,27.24,"1,695,469",04/04/2019,27.51
25,27.6,27.75,26.96,"2,861,476",04/03/2019,27.26
26,27.37,27.77,27.33,"2,040,954",04/02/2019,27.73
27,27.7,28.0,27.49,"2,079,883",04/01/2019,27.98
28,27.97,28.17,27.765,"1,700,348",03/29/2019,28.0
29,27.97,28.13,27.855,"1,329,436",03/28/2019,27.94
30,27.92,28.24,27.745,"1,591,079",03/27/2019,28.09
31,28.15,28.25,27.86,"1,562,924",03/26/2019,27.93
32,27.81,27.96,27.6,"1,916,246",03/25/2019,27.6
33,27.71,28.15,27.7,"1,868,559",03/22/2019,27.98
34,28.04,28.06,27.67,"1,377,964",03/21/2019,27.71
35,27.76,27.9199,27.2475,"2,444,746",03/20/2019,27.44
36,27.5,28.09,27.37,"3,198,584",03/19/2019,27.86
37,27.83,27.935,27.55,"3,089,554",03/18/2019,27.85
38,27.68,27.75,27.38,"3,325,258",03/15/2019,27.45
39,27.37,27.5,27.17,"2,604,637",03/14/2019,27.36
40,27.34,27.42,27.09,"2,733,445",03/13/2019,27.23
41,27.23,27.24,26.98,"2,031,757",03/12/2019,27.14
42,26.88,26.95,26.41,"2,446,673",03/11/2019,26.48
43,26.4,26.57,26.24,"2,509,250",03/08/2019,26.4
44,26.54,26.98,26.26,"3,173,916",03/07/2019,26.5
45,26.51,26.66,26.12,"3,637,857",03/06/2019,26.41
46,26.0,26.14,25.93,"2,575,211",03/05/2019,26.0
47,26.05,26.11,25.78,"3,979,014",03/04/2019,25.87
48,26.0,26.03,25.13,"6,617,477",03/01/2019,25.5
49,25.15,26.0,25.05,"7,972,837",02/28/2019,25.65
50,26.94,26.95,26.47,"3,913,177",02/27/2019,26.5
51,26.55,27.0007,26.51,"2,745,626",02/26/2019,26.93
52,27.0,27.51,26.74,"2,339,094",02/25/2019,27.49
53,27.48,28.01,27.0542,"3,243,613",02/22/2019,28.01
54,28.17,28.33,27.99,"1,350,989",02/21/2019,28.22
55,28.17,28.3,28.12,"1,429,203",02/20/2019,28.12
56,28.17,28.37,28.1,"1,719,023",02/19/2019,28.26
57,28.24,28.255,27.97,"1,298,115",02/15/2019,28.05
58,27.93,28.46,27.82,"3,400,660",02/14/2019,28.21
59,28.42,28.5,28.24,"1,608,367",02/13/2019,28.5
60,28.3,28.43,28.11,"2,244,461",02/12/2019,28.13
61,28.18,28.18,27.7,"2,492,627",02/11/2019,27.75
62,27.78,27.785,27.03,"1,827,144",02/08/2019,27.13
63,27.17,27.21,27.01,"1,374,648",02/07/2019,27.01
64,27.12,27.23,27.01,"1,173,894",02/06/2019,27.14
65,27.11,27.25,27.01,"1,174,579",02/05/2019,27.17
66,27.17,27.37,27.1,"1,712,493",02/04/2019,27.27
