,Date,Open,High,Low,Close,Volume
4,10/12/2018,19.6,19.6,18.325,18.65,"19,811,270"
5,10/11/2018,19.85,19.92,19.23,19.24,"12,397,840"
6,10/10/2018,20.5,20.635,19.9,19.92,"12,122,470"
7,10/09/2018,20.46,20.59,20.31,20.44,"9,165,531"
8,10/08/2018,20.22,20.605,20.22,20.52,"10,492,920"
9,10/05/2018,20.55,20.61,20.19,20.29,"9,877,671"
10,10/04/2018,20.27,20.735,20.25,20.44,"12,865,000"
11,10/03/2018,19.91,20.24,19.805,20.14,"8,582,567"
12,10/02/2018,19.91,19.99,19.71,19.76,"9,871,177"
13,10/01/2018,20.02,20.135,19.81,19.88,"7,143,625"
14,09/28/2018,19.89,20.05,19.82,19.89,"9,281,257"
15,09/27/2018,20.24,20.25,19.96,20.02,"7,004,405"
16,09/26/2018,20.6,20.66,20.19,20.24,"9,678,057"
17,09/25/2018,20.72,20.77,20.53,20.55,"6,296,325"
18,09/24/2018,20.8,20.96,20.56,20.6,"15,076,490"
19,09/21/2018,20.82,20.87,20.67,20.78,"16,440,000"
20,09/20/2018,20.26,20.87,20.26,20.75,"23,113,490"
21,09/19/2018,19.74,20.25,19.74,20.17,"18,019,340"
22,09/18/2018,19.88,19.91,19.66,19.74,"10,899,750"
23,09/17/2018,19.97,20.05,19.795,19.86,"10,225,060"
24,09/14/2018,20.01,20.045,19.82,19.94,"22,297,600"
25,09/13/2018,20.73,20.76,19.83,19.93,"18,695,280"
26,09/12/2018,21.13,21.225,20.7,20.72,"8,729,593"
27,09/11/2018,20.9,21.371,20.87,21.16,"9,612,371"
28,09/10/2018,21.18,21.26,20.91,20.91,"7,752,851"
29,09/07/2018,21.27,21.3,21.07,21.11,"11,517,880"
30,09/06/2018,21.34,21.37,21.155,21.18,"4,921,986"
31,09/05/2018,21.26,21.495,21.2338,21.33,"6,455,730"
32,09/04/2018,21.07,21.25,21.0,21.21,"7,652,356"
33,08/31/2018,20.93,21.085,20.85,21.07,"4,379,707"
34,08/30/2018,21.14,21.18,20.941,20.98,"5,499,314"
35,08/29/2018,21.25,21.25,20.995,21.16,"5,248,438"
36,08/28/2018,21.3,21.305,21.095,21.23,"5,955,535"
37,08/27/2018,21.24,21.445,21.192,21.27,"6,900,155"
38,08/24/2018,21.41,21.46,21.27,21.31,"7,607,113"
39,08/23/2018,21.51,21.56,21.27,21.34,"7,549,968"
40,08/22/2018,21.58,21.665,21.49,21.53,"7,803,080"
41,08/21/2018,21.71,21.91,21.61,21.64,"11,714,790"
42,08/20/2018,21.57,21.76,21.515,21.74,"5,263,915"
43,08/17/2018,21.59,21.66,21.41,21.59,"7,419,181"
44,08/16/2018,21.26,21.72,21.25,21.61,"9,573,847"
45,08/15/2018,21.32,21.44,21.095,21.13,"9,882,907"
46,08/14/2018,21.34,21.52,21.29,21.45,"12,176,940"
47,08/13/2018,21.35,21.515,21.17,21.18,"7,466,891"
48,08/10/2018,21.28,21.525,21.22,21.38,"7,940,428"
49,08/09/2018,21.59,21.7486,21.5099,21.57,"5,020,712"
50,08/08/2018,21.47,21.72,21.43,21.61,"6,563,553"
51,08/07/2018,21.35,21.595,21.35,21.46,"8,606,819"
52,08/06/2018,21.42,21.42,21.16,21.3,"9,531,620"
53,08/03/2018,21.31,21.41,21.2,21.36,"9,125,728"
54,08/02/2018,21.0,21.385,20.89,21.33,"6,924,131"
55,08/01/2018,21.02,21.38,20.99,21.09,"9,241,938"
56,07/31/2018,21.21,21.31,20.86,20.87,"12,636,010"
57,07/30/2018,21.25,21.415,21.14,21.15,"10,013,400"
58,07/27/2018,21.14,21.3,21.015,21.27,"10,989,440"
59,07/26/2018,20.98,21.18,20.89,21.14,"9,319,625"
60,07/25/2018,20.87,21.03,20.69,20.86,"10,291,720"
61,07/24/2018,20.87,21.11,20.795,20.95,"11,783,510"
62,07/23/2018,20.54,20.86,20.535,20.84,"11,215,330"
63,07/20/2018,20.65,20.72,20.49,20.52,"12,437,460"
64,07/19/2018,20.59,20.76,20.12,20.63,"14,692,960"
65,07/18/2018,20.04,20.365,20.04,20.3,"9,151,911"
66,07/17/2018,19.95,20.16,19.79,20.06,"7,539,606"
67,07/16/2018,19.65,19.955,19.62,19.92,"5,360,719"
68,07/13/2018,19.65,19.75,19.4,19.56,"8,151,079"
69,07/12/2018,20.09,20.11,19.685,19.74,"9,309,129"
