,Date,Open,High,Low,Close,Volume
4,10/31/2018,55.5,55.545,53.77,54.97,"8,886,694"
5,10/30/2018,55.62,56.43,55.33,55.85,"6,014,319"
6,10/29/2018,55.17,56.11,54.72,55.52,"6,301,403"
7,10/26/2018,55.51,55.58,54.3,54.65,"6,476,633"
8,10/25/2018,55.76,56.54,55.34,55.98,"5,697,954"
9,10/24/2018,56.42,57.38,55.705,55.78,"5,820,898"
10,10/23/2018,56.2,56.8605,55.53,56.6,"6,428,944"
11,10/22/2018,57.66,58.08,56.09,56.21,"7,389,937"
12,10/19/2018,56.15,57.755,56.1,57.56,"8,880,521"
13,10/18/2018,56.41,56.92,55.43,55.54,"5,958,440"
14,10/17/2018,55.41,57.02,55.3,56.4,"7,093,925"
15,10/16/2018,54.71,55.66,54.49,55.44,"4,813,571"
16,10/15/2018,54.05,54.96,54.05,54.47,"4,684,256"
17,10/12/2018,53.94,54.43,53.03,54.24,"9,060,550"
18,10/11/2018,55.97,56.23,53.57,53.82,"9,535,519"
19,10/10/2018,55.81,57.03,55.73,55.74,"7,792,581"
20,10/09/2018,57.3,57.48,55.59,56.07,"8,535,674"
21,10/08/2018,55.85,57.31,55.85,57.06,"6,014,790"
22,10/05/2018,55.7,56.04,55.23,55.89,"4,161,263"
23,10/04/2018,55.45,55.88,55.14,55.52,"4,348,959"
24,10/03/2018,56.07,56.5,55.38,55.6,"5,395,105"
25,10/02/2018,55.57,56.29,55.46,55.93,"3,929,977"
26,10/01/2018,55.49,55.935,55.225,55.54,"6,208,650"
27,09/28/2018,54.98,55.44,54.4,55.11,"6,505,319"
28,09/27/2018,55.11,55.775,54.32,55.04,"7,880,976"
29,09/26/2018,55.91,55.92,55.07,55.17,"5,407,035"
30,09/25/2018,56.65,56.843,55.6,55.66,"3,796,851"
31,09/24/2018,57.0,57.3,56.235,56.52,"4,688,239"
32,09/21/2018,57.93,57.94,57.05,57.12,"11,543,500"
33,09/20/2018,57.28,57.9444,57.22,57.57,"5,364,620"
34,09/19/2018,57.32,57.45,56.82,56.89,"5,027,131"
35,09/18/2018,57.85,58.05,56.38,57.1,"7,283,992"
36,09/17/2018,58.02,58.49,57.7,58.35,"7,493,925"
37,09/14/2018,59.3,59.3589,58.6,58.97,"3,924,495"
38,09/13/2018,59.25,59.91,58.9,59.49,"5,881,453"
39,09/12/2018,58.23,59.53,57.8,59.12,"6,681,018"
40,09/11/2018,57.35,57.865,56.69,57.76,"7,617,315"
41,09/10/2018,56.9,57.4799,56.81,57.24,"8,269,120"
42,09/07/2018,56.69,56.72,56.17,56.59,"6,815,863"
43,09/06/2018,57.04,57.25,56.06,56.8,"8,822,064"
44,09/05/2018,56.65,57.714,56.29,57.0,"7,064,022"
45,09/04/2018,58.45,58.62,56.55,56.66,"6,914,346"
46,08/31/2018,58.355,58.57,57.63,58.27,"5,514,615"
47,08/30/2018,59.13,59.57,58.165,58.22,"5,052,447"
48,08/29/2018,58.9,59.37,58.56,59.3,"5,182,441"
49,08/28/2018,59.51,59.87,58.79,58.79,"4,293,176"
50,08/27/2018,59.35,59.87,59.18,59.57,"3,427,916"
51,08/24/2018,58.92,59.42,58.76,59.03,"4,513,210"
52,08/23/2018,59.26,59.49,58.75,58.8,"5,179,816"
53,08/22/2018,59.98,60.1,59.34,59.55,"3,224,808"
54,08/21/2018,60.75,60.75,59.59,59.84,"4,849,215"
55,08/20/2018,61.03,61.6817,60.61,60.64,"4,639,675"
56,08/17/2018,60.3,61.31,59.77,61.02,"6,417,000"
57,08/16/2018,58.97,60.15,58.83,60.03,"6,261,760"
58,08/15/2018,59.56,59.58,58.98,59.09,"5,299,594"
59,08/14/2018,59.5,60.06,59.43,59.52,"4,439,652"
60,08/13/2018,59.48,59.71,58.83,59.28,"5,788,620"
61,08/10/2018,59.76,60.0,59.1,59.65,"5,117,392"
62,08/09/2018,60.42,60.62,59.68,60.0,"6,438,622"
63,08/08/2018,60.08,60.85,59.5,60.28,"11,053,800"
64,08/07/2018,62.5,62.54,61.075,61.32,"6,530,599"
65,08/06/2018,63.85,64.12,62.15,62.3,"7,452,535"
66,08/03/2018,61.0,64.99,60.38,64.48,"16,174,380"
67,08/02/2018,59.1,59.65,58.2426,59.4,"6,440,885"
68,08/01/2018,60.0,60.1,59.25,59.28,"4,013,221"
69,07/31/2018,60.61,61.17,60.01,60.25,"6,480,670"
