,Date,Open,High,Low,Close,Volume
4,10/12/2018,17.6,17.76,17.22,17.51,"19,466,580"
5,10/11/2018,17.93,17.94,17.34,17.42,"25,671,440"
6,10/10/2018,18.57,18.67,17.98,18.0,"25,970,520"
7,10/09/2018,18.37,18.61,18.23,18.57,"16,029,900"
8,10/08/2018,17.97,18.24,17.94,18.21,"10,667,040"
9,10/05/2018,18.26,18.32,17.93,18.06,"16,178,150"
10,10/04/2018,18.25,18.36,18.08,18.27,"10,073,010"
11,10/03/2018,18.11,18.38,18.07,18.24,"8,861,304"
12,10/02/2018,18.14,18.275,17.96,18.08,"9,606,654"
13,10/01/2018,17.76,18.19,17.71,18.18,"12,649,920"
14,09/28/2018,17.57,17.91,17.54,17.73,"14,474,520"
15,09/27/2018,17.62,17.66,17.435,17.56,"17,105,040"
16,09/26/2018,17.83,17.87,17.6,17.61,"9,732,496"
17,09/25/2018,17.92,17.9873,17.7,17.88,"15,042,050"
18,09/24/2018,18.16,18.21,17.7,17.89,"15,519,540"
19,09/21/2018,18.05,18.2,17.98,18.06,"16,882,500"
20,09/20/2018,18.329,18.35,18.02,18.04,"12,964,730"
21,09/19/2018,18.16,18.3,18.02,18.26,"8,450,614"
22,09/18/2018,18.21,18.4,18.1,18.12,"10,703,540"
23,09/17/2018,18.2,18.34,18.07,18.17,"8,509,011"
24,09/14/2018,18.26,18.27,17.8401,18.06,"10,490,170"
25,09/13/2018,18.21,18.3,18.1,18.3,"8,170,372"
26,09/12/2018,18.05,18.3,18.01,18.16,"14,963,900"
27,09/11/2018,17.68,18.11,17.6,18.01,"10,706,940"
28,09/10/2018,17.87,18.01,17.685,17.69,"11,581,020"
29,09/07/2018,17.56,17.86,17.51,17.82,"9,290,920"
30,09/06/2018,17.74,17.87,17.592,17.67,"10,598,610"
31,09/05/2018,17.55,17.835,17.29,17.79,"13,386,470"
32,09/04/2018,17.66,17.7,17.535,17.62,"9,022,380"
33,08/31/2018,17.76,17.76,17.6,17.7,"8,889,585"
34,08/30/2018,17.88,17.9,17.6,17.78,"9,695,694"
35,08/29/2018,17.84,17.97,17.75,17.88,"7,889,753"
36,08/28/2018,17.94,18.0,17.79,17.81,"6,884,197"
37,08/27/2018,17.99,18.085,17.86,17.97,"8,176,263"
38,08/24/2018,18.06,18.18,17.91,17.97,"9,534,327"
39,08/23/2018,18.23,18.27,17.96,17.98,"9,732,708"
40,08/22/2018,18.0,18.33,17.99,18.28,"9,857,293"
41,08/21/2018,18.01,18.12,17.95,17.96,"6,507,521"
42,08/20/2018,18.0,18.02,17.85,17.91,"8,589,945"
43,08/17/2018,17.8,18.01,17.75,17.95,"8,150,696"
44,08/16/2018,17.85,18.035,17.785,17.82,"10,218,060"
45,08/15/2018,17.87,17.89,17.48,17.73,"11,337,090"
46,08/14/2018,17.94,18.11,17.9,17.95,"7,726,043"
47,08/13/2018,18.15,18.17,17.8,17.84,"11,383,960"
48,08/10/2018,17.91,18.25,17.86,18.17,"12,689,010"
49,08/09/2018,17.96,18.085,17.915,17.94,"11,738,920"
50,08/08/2018,17.92,18.0,17.87,17.92,"9,039,948"
51,08/07/2018,18.05,18.16,17.94,17.98,"14,012,070"
52,08/06/2018,17.66,18.02,17.6,17.95,"12,284,500"
53,08/03/2018,17.67,17.78,17.53,17.62,"19,225,730"
54,08/02/2018,17.45,17.77,17.345,17.68,"17,189,550"
55,08/01/2018,17.7,17.73,17.41,17.53,"9,874,241"
56,07/31/2018,17.77,17.895,17.595,17.78,"19,014,980"
57,07/30/2018,17.83,17.96,17.69,17.75,"11,211,810"
58,07/27/2018,18.03,18.1355,17.72,17.9,"12,034,810"
59,07/26/2018,17.92,18.155,17.88,18.03,"10,606,790"
60,07/25/2018,17.52,17.94,17.41,17.9,"14,260,480"
61,07/24/2018,17.74,17.82,17.58,17.65,"17,545,530"
62,07/23/2018,17.77,17.84,17.5945,17.7,"8,725,297"
63,07/20/2018,17.97,18.07,17.675,17.69,"11,395,950"
64,07/19/2018,17.99,18.445,17.9,17.99,"19,237,290"
65,07/18/2018,17.6,17.88,17.515,17.78,"7,515,447"
66,07/17/2018,17.71,17.78,17.555,17.69,"12,250,960"
67,07/16/2018,17.92,18.0,17.73,17.8,"10,771,600"
68,07/13/2018,17.99,18.15,17.87,17.91,"8,441,980"
69,07/12/2018,17.91,18.04,17.775,18.03,"7,365,648"
