,Date,Open,High,Low,Close,Volume
4,24.26,24.94,24.18,"7,835,608",06/14/2019,24.66
5,24.62,24.808,24.49,"8,833,008",06/13/2019,24.66
6,24.63,24.985,24.53,"6,805,011",06/12/2019,24.61
7,24.66,24.82,24.27,"11,197,870",06/11/2019,24.41
8,24.39,24.47,23.98,"9,762,701",06/10/2019,24.03
9,23.93,24.045,23.565,"6,812,442",06/07/2019,23.73
10,23.7,23.8199,23.1742,"6,564,316",06/06/2019,23.4
11,23.37,23.895,23.36,"4,227,259",06/05/2019,23.82
12,23.63,23.87,23.12,"9,040,482",06/04/2019,23.16
13,22.96,23.08,22.6,"7,476,763",06/03/2019,22.73
14,22.81,22.86,22.44,"8,250,834",05/31/2019,22.7
15,22.78,23.1835,22.75,"7,429,997",05/30/2019,23.04
16,23.03,23.45,22.93,"9,705,923",05/29/2019,23.37
17,23.62,23.89,23.6,"6,715,669",05/28/2019,23.77
18,23.72,23.79,23.45,"5,229,239",05/24/2019,23.59
19,23.53,23.84,23.43,"6,702,718",05/23/2019,23.78
20,24,24.38,23.91,"6,978,260",05/22/2019,24.3
21,24.3,24.625,24.08,"15,445,770",05/21/2019,24.44
22,24.07,24.37,23.88,"9,357,235",05/20/2019,24.31
23,24.22,24.98,23.96,"16,177,030",05/17/2019,24.58
24,24.66,25.68,24.53,"9,996,657",05/16/2019,25.44
25,25.21,25.3,25.04,"4,235,034",05/15/2019,25.19
26,25.25,25.46,25.145,"5,695,163",05/14/2019,25.31
27,25.39,25.6,25.095,"5,238,785",05/13/2019,25.59
28,25.83,25.865,25.16,"7,383,506",05/10/2019,25.33
29,25.36,25.36,24.975,"6,131,774",05/09/2019,25.17
30,25.28,25.71,25.17,"6,762,236",05/08/2019,25.69
31,25.77,25.77,25.45,"6,127,371",05/07/2019,25.64
32,25.71,25.73,25.42,"8,698,397",05/06/2019,25.56
33,25.74,25.87,25.54,"4,367,840",05/03/2019,25.79
34,25.78,26.1,25.32,"5,743,217",05/02/2019,25.64
35,25.58,26.0766,25.58,"4,792,589",05/01/2019,25.78
36,25.78,25.89,25.46,"5,241,046",04/30/2019,25.66
37,25.57,25.65,25.1,"6,275,233",04/29/2019,25.12
38,25,25.3,24.75,"10,232,560",04/26/2019,25.1
39,25.77,25.8754,25.53,"5,242,319",04/25/2019,25.57
40,25.57,25.67,25.22,"5,297,187",04/24/2019,25.37
41,25.22,25.511,25.07,"5,748,509",04/23/2019,25.48
42,25.5,25.75,25.21,"5,032,315",04/22/2019,25.68
43,25.78,25.87,25.5,"4,522,929",04/18/2019,25.5
44,25.54,25.95,25.415,"5,678,187",04/17/2019,25.75
45,25.57,25.67,25.44,"4,428,696",04/16/2019,25.57
46,25.47,25.68,25.39,"4,566,075",04/15/2019,25.62
47,25.67,25.97,25.515,"10,368,160",04/12/2019,25.77
48,25.74,25.865,25.05,"18,408,690",04/11/2019,25.08
49,24.98,25.01,23.98,"14,156,260",04/10/2019,24.02
50,23.94,24.03,23.72,"5,936,942",04/09/2019,23.79
51,23.86,24.13,23.74,"4,725,940",04/08/2019,23.89
52,23.9,24.16,23.62,"5,359,057",04/05/2019,23.72
53,23.68,23.82,23.52,"8,163,679",04/04/2019,23.62
54,23.8,23.95,23.62,"10,686,160",04/03/2019,23.83
55,23.76,24.37,23.71,"10,023,430",04/02/2019,24.3
56,24.48,24.88,24.28,"10,395,110",04/01/2019,24.73
57,24.6,24.7,24.34,"7,093,971",03/29/2019,24.54
58,24.44,24.57,24.23,"6,512,035",03/28/2019,24.32
59,24.27,24.45,24.09,"7,669,591",03/27/2019,24.4
60,24.47,24.49,24.19,"4,712,069",03/26/2019,24.23
61,24.15,24.38,24.04,"5,714,241",03/25/2019,24.3
62,24.34,24.66,24.15,"6,395,497",03/22/2019,24.37
63,24.32,24.36,23.52,"5,680,848",03/21/2019,23.85
64,23.99,24.28,23.91,"6,964,826",03/20/2019,24.26
65,24.33,24.65,24.255,"10,288,000",03/19/2019,24.58
66,24.55,24.61,24.21,"7,227,803",03/18/2019,24.28
67,24.36,24.81,24.185,"12,911,180",03/15/2019,24.69
68,24.75,24.98,24.65,"8,711,089",03/14/2019,24.8
