,Date,Open,High,Low,Close,Volume
4,08/16/2018,75.038,75.22,72.65,74.75,"3,433,830"
5,08/15/2018,77.7,77.7,73.04,74.39,"5,484,431"
6,08/14/2018,77.04,79.2433,76.69,78.93,"4,377,827"
7,08/13/2018,76.26,77.16,75.63,76.42,"3,457,581"
8,08/10/2018,74.75,76.47,74.13,75.66,"2,672,983"
9,08/09/2018,74.64,75.5,74.3,75.11,"1,746,553"
10,08/08/2018,73.07,74.88,73.0,74.42,"2,239,090"
11,08/07/2018,72.97,73.28,72.17,73.1,"1,694,973"
12,08/06/2018,72.2,72.65,71.39,72.52,"2,555,983"
13,08/03/2018,72.14,73.44,71.47,72.31,"1,631,894"
14,08/02/2018,70.69,72.01,69.69,71.89,"2,977,068"
15,08/01/2018,73.61,73.99,70.19,70.47,"2,751,046"
16,07/31/2018,73.95,74.61,73.65,73.87,"1,758,041"
17,07/30/2018,72.74,73.8174,72.53,73.74,"1,525,272"
18,07/27/2018,73.84,74.74,72.03,72.52,"1,756,388"
19,07/26/2018,74.37,75.65,73.13,73.64,"1,632,337"
20,07/25/2018,72.74,74.1,72.591,73.87,"1,415,929"
21,07/24/2018,74.15,74.62,72.3,72.84,"1,630,092"
22,07/23/2018,73.78,74.69,72.72,74.01,"1,878,037"
23,07/20/2018,74.14,75.07,73.2711,73.65,"2,621,376"
24,07/19/2018,72.57,74.84,72.52,74.43,"4,989,747"
25,07/18/2018,71.12,72.42,70.55,72.33,"2,440,471"
26,07/17/2018,70.34,71.35,69.69,70.93,"2,601,718"
27,07/16/2018,69.39,70.92,68.381,70.65,"3,471,349"
28,07/13/2018,69.45,70.785,68.96,69.13,"2,708,440"
29,07/12/2018,70.35,70.35,68.21,69.38,"3,692,090"
30,07/11/2018,70.8,71.05,69.48,70.2,"1,944,586"
31,07/10/2018,70.86,71.76,70.5,71.22,"1,704,429"
32,07/09/2018,72.04,72.22,70.42,71.06,"2,612,471"
33,07/06/2018,71.51,72.15,70.71,71.38,"1,813,365"
34,07/05/2018,72.51,72.605,71.5,72.06,"1,832,492"
35,07/03/2018,71.83,73.13,71.75,72.2,"1,280,440"
36,07/02/2018,72.3,72.37,70.42,71.33,"3,346,006"
37,06/29/2018,74.63,75.04,72.84,72.9,"2,712,754"
38,06/28/2018,73.33,74.48,72.52,73.71,"2,549,801"
39,06/27/2018,74.55,75.75,73.6,73.75,"2,392,220"
40,06/26/2018,73.27,74.8,73.01,74.32,"2,595,995"
41,06/25/2018,73.86,74.27,72.32,72.93,"3,147,500"
42,06/22/2018,77.55,77.55,73.53,73.84,"3,829,683"
43,06/21/2018,76.2,77.92,76.17,77.33,"2,594,679"
44,06/20/2018,75.91,76.72,74.78,76.46,"2,487,785"
45,06/19/2018,73.82,75.35,73.19,75.35,"4,246,250"
46,06/18/2018,73.68,75.05,73.52,74.33,"3,743,487"
47,06/15/2018,72.94,74.21,72.25,74.0,"4,339,167"
48,06/14/2018,74.5,75.38,72.86,73.28,"5,931,316"
49,06/13/2018,78.05,78.48,75.61,75.72,"5,587,659"
50,06/12/2018,77.91,79.92,77.04,78.32,"3,891,292"
51,06/11/2018,77.85,78.87,77.51,78.2,"3,064,616"
52,06/08/2018,77.26,77.82,76.47,77.76,"4,343,121"
53,06/07/2018,76.89,78.85,76.52,77.82,"5,283,115"
54,06/06/2018,74.9,76.35,74.1,76.25,"4,688,929"
55,06/05/2018,71.66,75.67,71.66,74.94,"6,738,649"
56,06/04/2018,68.77,71.82,68.5,71.56,"4,840,266"
57,06/01/2018,66.9,68.445,66.85,68.37,"2,722,555"
58,05/31/2018,67.43,68.18,66.24,66.75,"3,354,865"
59,05/30/2018,67.03,68.8,66.52,67.91,"3,715,343"
60,05/29/2018,65.06,67.36,64.87,66.69,"4,987,438"
61,05/25/2018,64.68,66.04,64.38,65.28,"4,260,765"
62,05/24/2018,62.06,64.57,61.98,64.51,"5,213,736"
63,05/23/2018,60.21,62.31,59.85,62.26,"7,355,886"
64,05/22/2018,64.76,65.99,60.33,60.61,"21,458,700"
65,05/21/2018,64.3,65.615,64.24,65.47,"5,132,877"
66,05/18/2018,63.32,63.94,62.52,63.67,"2,737,523"
67,05/17/2018,64.15,64.89,63.32,63.72,"3,472,381"
68,05/16/2018,64.4,64.99,62.08,64.42,"5,497,487"
