,Date,Open,High,Low,Close,Volume
4,11/02/2018,47.51,47.72,46.03,46.29,"1,699,486"
5,11/01/2018,46.83,47.2,46.69,47.16,"1,488,104"
6,10/31/2018,46.58,47.19,46.43,46.56,"1,491,999"
7,10/30/2018,45.54,46.18,45.17,46.12,"1,382,477"
8,10/29/2018,45.61,46.13,44.89,45.3,"1,721,255"
9,10/26/2018,45.37,45.81,44.85,45.2,"1,815,536"
10,10/25/2018,45.1,46.09,45.03,45.75,"1,609,927"
11,10/24/2018,46.11,46.17,44.78,44.83,"1,493,394"
12,10/23/2018,45.88,46.38,45.63,46.18,"1,415,594"
13,10/22/2018,47,47.31,46.47,46.57,"1,015,959"
14,10/19/2018,46.61,47.37,46.41,47,"1,164,434"
15,10/18/2018,47.2,47.67,46.63,46.75,"991,257"
16,10/17/2018,46.93,47.77,46.71,47.32,"1,340,072"
17,10/16/2018,47.09,47.15,46.61,47.06,"886,895"
18,10/15/2018,46.74,47.34,46.67,46.84,"1,606,722"
19,10/12/2018,47.69,47.8,46.01,46.8,"2,092,861"
20,10/11/2018,49.07,49.07,47.2,47.24,"2,591,685"
21,10/10/2018,50.57,50.73,49.2,49.21,"1,394,407"
22,10/09/2018,50.84,51.07,50.3,50.72,"1,346,527"
23,10/08/2018,49.89,50.94,49.78,50.88,"1,257,592"
24,10/05/2018,50.31,50.6,49.88,49.93,"1,017,334"
25,10/04/2018,50.12,50.39,50.05,50.35,"1,773,654"
26,10/03/2018,50.33,50.54,49.95,50.15,"1,613,889"
27,10/02/2018,50.22,50.36,49.99,50.1,"1,477,710"
28,10/01/2018,50.38,50.69,50.03,50.25,"1,144,228"
29,09/28/2018,49.75,50.32,49.63,50.23,"1,402,997"
30,09/27/2018,49.97,50.21,49.7101,49.94,"1,181,885"
31,09/26/2018,50.85,50.85,49.94,49.97,"1,001,648"
32,09/25/2018,51.31,51.31,50.73,50.74,"1,366,598"
33,09/24/2018,51.77,51.88,50.96,51.03,"1,418,205"
34,09/21/2018,52.33,52.33,51.72,51.76,"5,402,402"
35,09/20/2018,52.05,52.35,51.98,52.16,"1,521,597"
36,09/19/2018,51.14,52,51.13,51.8,"1,349,414"
37,09/18/2018,50.88,51.1,50.49,51.04,"1,096,143"
38,09/17/2018,51.12,51.17,50.715,50.76,"1,095,887"
39,09/14/2018,50.38,50.98,50.38,50.98,"1,374,179"
40,09/13/2018,50.06,50.45,49.91,50.37,"1,327,797"
41,09/12/2018,50,50.09,49.83,49.87,"827,524"
42,09/11/2018,49.96,50.21,49.75,50.11,"891,509"
43,09/10/2018,49.86,49.98,49.59,49.96,"1,141,303"
44,09/07/2018,49.84,49.95,49.39,49.66,"944,698"
45,09/06/2018,50.38,50.48,49.85,49.89,"1,176,986"
46,09/05/2018,50.23,50.53,50.12,50.27,"1,183,302"
47,09/04/2018,50.34,50.34,50,50.27,"1,131,235"
48,08/31/2018,50.15,50.38,49.97,50.31,"1,429,896"
49,08/30/2018,50.38,50.38,49.86,50.21,"1,029,878"
50,08/29/2018,50.3,50.6,49.96,50.46,"1,077,847"
51,08/28/2018,50.27,50.42,50.04,50.27,"876,904"
52,08/27/2018,49.93,50.3,49.93,50.21,"752,077"
53,08/24/2018,49.53,49.88,49.53,49.83,"681,769"
54,08/23/2018,49.76,49.76,49.34,49.42,"684,769"
55,08/22/2018,50.02,50.11,49.725,49.75,"861,429"
56,08/21/2018,50.04,50.52,49.93,50.11,"1,239,125"
57,08/20/2018,50.24,50.49,49.99,50.05,"812,037"
58,08/17/2018,50.05,50.23,49.99,50.16,"937,136"
59,08/16/2018,49.75,50.44,49.75,50.15,"852,563"
60,08/15/2018,49.66,49.84,49.46,49.71,"984,106"
61,08/14/2018,49.74,50.03,49.73,49.95,"564,420"
62,08/13/2018,50.11,50.24,49.67,49.72,"792,228"
63,08/10/2018,49.95,50.23,49.69,50.11,"839,442"
64,08/09/2018,50.69,50.78,50.295,50.33,"652,453"
65,08/08/2018,50.84,50.9293,50.54,50.73,"738,009"
66,08/07/2018,51.03,51.23,50.77,50.84,"785,276"
67,08/06/2018,51.15,51.22,50.875,50.95,"770,741"
68,08/03/2018,50.81,51.14,50.49,51.14,"983,535"
69,08/02/2018,51.18,51.41,50.88,50.97,"1,644,055"
