,Date,Open,High,Low,Close,Volume
4,26.66,26.97,26.21,"1,282,443",05/03/2019,26.36
5,26.21,26.61,25.99,"1,795,735",05/02/2019,26.52
6,26.55,27.34,26.55,"1,158,372",05/01/2019,27.07
7,27.01,27.2,26.4116,"1,015,749",04/30/2019,26.98
8,27.03,27.33,26.82,"661,051",04/29/2019,26.88
9,26.9,26.93,26.61,"716,747",04/26/2019,26.82
10,26.65,27.14,26.55,"1,107,292",04/25/2019,27.14
11,27.25,27.53,26.76,"823,256",04/24/2019,27.23
12,27.27,27.65,27.12,"957,706",04/23/2019,27.33
13,27.29,27.76,27.265,"692,007",04/22/2019,27.47
14,27.58,27.805,27.02,"1,414,755",04/18/2019,27.67
15,27.56,27.96,27.445,"1,035,320",04/17/2019,27.82
16,27.72,28.56,27.64,"1,486,533",04/16/2019,28.37
17,28.29,28.4,27.875,"1,119,989",04/15/2019,27.93
18,27.92,27.97,27.18,"1,412,500",04/12/2019,27.43
19,27.24,27.57,27.12,"881,070",04/11/2019,27.32
20,27.38,27.61,27.105,"2,172,688",04/10/2019,27.44
21,27.8,27.91,27.49,"1,817,496",04/09/2019,27.72
22,27.74,27.95,27.52,"3,040,398",04/08/2019,27.82
23,27.82,27.84,26.61,"3,555,708",04/05/2019,26.61
24,26.66,26.66,26.33,"1,493,001",04/04/2019,26.41
25,26.33,26.41,25.41,"2,233,741",04/03/2019,25.5
26,25.31,25.53,24.8889,"1,769,472",04/02/2019,24.97
27,24.9,25.44,24.795,"1,357,168",04/01/2019,25.19
28,24.92,25.38,24.6,"1,431,780",03/29/2019,25.38
29,25.23,25.62,25.16,"1,319,839",03/28/2019,25.53
30,25.61,25.825,25.18,"1,391,489",03/27/2019,25.5
31,25.48,26.19,25.27,"1,193,364",03/26/2019,25.91
32,25.77,26.17,25.24,"1,163,831",03/25/2019,26.1
33,26.03,26.46,25.97,"1,125,909",03/22/2019,26.42
34,26.46,26.5,25.93,"1,210,127",03/21/2019,25.99
35,26.16,26.25,25.596,"1,350,527",03/20/2019,26.06
36,26.17,26.33,25.89,"1,362,130",03/19/2019,26.17
37,26.11,26.21,25.86,"907,121",03/18/2019,25.95
38,26.03,26.35,25.73,"2,159,986",03/15/2019,25.79
39,25.62,25.88,25.53,"1,386,830",03/14/2019,25.53
40,25.5,25.7,25.25,"1,137,764",03/13/2019,25.32
41,25.16,25.43,24.66,"2,853,884",03/12/2019,24.89
42,24.87,25.38,24.78,"2,067,896",03/11/2019,25.38
43,25.26,25.78,25.21,"1,613,249",03/08/2019,25.71
44,25.97,26.36,25.77,"1,290,295",03/07/2019,26.11
45,26.11,26.38,25.93,"886,093",03/06/2019,26.05
46,26.12,26.466,26.02,"994,652",03/05/2019,26.34
47,26.42,26.425,26.06,"1,125,704",03/04/2019,26.22
48,26.22,26.64,26.06,"1,805,095",03/01/2019,26.57
49,26.35,26.61,25.38,"2,302,086",02/28/2019,26.28
50,26.26,26.39,25.97,"2,176,827",02/27/2019,26.2
51,26.3,26.62,25.1772,"3,282,902",02/26/2019,25.25
52,25.36,26.24,25.3,"1,586,068",02/25/2019,26.16
53,26.07,26.16,25.67,"1,216,404",02/22/2019,25.69
54,25.61,25.76,25.34,"1,140,151",02/21/2019,25.6
55,25.64,25.86,25.45,"1,410,436",02/20/2019,25.54
56,25.54,25.8,25.42,"1,344,516",02/19/2019,25.59
57,25.66,25.68,25.01,"1,631,915",02/15/2019,25.14
58,24.92,25.025,24.34,"1,370,281",02/14/2019,24.61
59,24.72,25.02,24.35,"1,489,032",02/13/2019,24.92
60,24.82,24.91,24.3,"1,302,069",02/12/2019,24.53
61,24.28,25.635,24.19,"1,217,159",02/11/2019,25.635
62,25.13,25.28,24.88,"1,162,953",02/08/2019,25.27
63,25.46,25.49,24.9,"1,398,109",02/07/2019,25.26
64,25.34,25.98,25.34,"2,047,313",02/06/2019,25.86
65,25.99,26.13,25.4,"2,275,535",02/05/2019,25.58
66,25.85,26.23,24.74,"3,656,933",02/04/2019,24.79
