,Date,Open,High,Low,Close,Volume
4,09/26/2018,49.19,49.57,47.555,47.9,"4,420,607"
5,09/25/2018,49.24,49.3,48.71,48.87,"3,588,214"
6,09/24/2018,49.9,49.99,48.98,49.0,"3,120,997"
7,09/21/2018,50.69,50.72,49.57,50.13,"7,635,379"
8,09/20/2018,51.48,51.72,50.35,50.72,"4,529,846"
9,09/19/2018,51.78,52.6,51.2373,51.39,"2,587,509"
10,09/18/2018,51.32,52.28,51.28,51.81,"4,580,098"
11,09/17/2018,52.49,52.6373,51.08,51.16,"3,215,012"
12,09/14/2018,52.24,52.785,51.43,52.53,"2,687,632"
13,09/13/2018,52.26,52.62,51.14,52.35,"3,829,000"
14,09/12/2018,51.21,52.3581,51.025,52.22,"4,670,331"
15,09/11/2018,50.5,51.71,50.47,51.17,"4,194,268"
16,09/10/2018,50.77,51.24,50.32,50.69,"3,499,489"
17,09/07/2018,51.84,51.885,50.44,50.53,"2,957,703"
18,09/06/2018,52.67,53.3,52.23,52.34,"2,074,662"
19,09/05/2018,51.74,52.82,51.4,52.52,"2,357,345"
20,09/04/2018,51.63,51.93,51.45,51.72,"1,643,537"
21,08/31/2018,51.89,52.04,51.42,51.67,"1,480,794"
22,08/30/2018,52.43,52.71,51.78,51.84,"1,569,736"
23,08/29/2018,52.57,53.0,51.99,52.69,"2,285,522"
24,08/28/2018,52.42,52.78,52.27,52.61,"2,495,399"
25,08/27/2018,51.6,52.72,51.55,52.42,"1,632,546"
26,08/24/2018,51.74,52.1099,51.5,51.55,"1,395,186"
27,08/23/2018,52.39,52.5,51.46,51.71,"1,780,254"
28,08/22/2018,53.16,53.22,52.3,52.53,"1,503,594"
29,08/21/2018,52.37,53.67,52.29,53.26,"4,315,658"
30,08/20/2018,50.555,51.515,50.555,51.13,"2,090,938"
31,08/17/2018,50.37,50.78,50.05,50.57,"2,387,228"
32,08/16/2018,50.43,51.01,50.08,50.48,"2,409,124"
33,08/15/2018,50.62,50.69,49.74,50.23,"3,576,881"
34,08/14/2018,50.94,51.49,50.61,50.99,"3,508,189"
35,08/13/2018,53.03,53.0641,50.46,50.78,"4,111,624"
36,08/10/2018,52.96,53.47,52.07,53.38,"2,840,804"
37,08/09/2018,53.33,53.98,53.08,53.45,"2,065,063"
38,08/08/2018,53.19,53.345,52.79,53.27,"2,518,396"
39,08/07/2018,51.85,53.08,51.64,53.0,"1,989,161"
40,08/06/2018,51.45,52.01,50.84,51.76,"2,037,963"
41,08/03/2018,50.94,51.62,50.75,51.48,"2,589,835"
42,08/02/2018,51.43,51.61,50.32,50.81,"4,854,134"
43,08/01/2018,52.44,52.55,51.51,51.74,"2,954,355"
44,07/31/2018,52.14,52.45,51.53,52.27,"2,725,076"
45,07/30/2018,52.2,52.44,51.8,51.88,"3,535,792"
46,07/27/2018,52.69,53.2,51.38,52.11,"5,910,451"
47,07/26/2018,51.58,52.59,51.09,52.53,"4,648,202"
48,07/25/2018,52.03,52.39,50.54,51.35,"4,683,955"
49,07/24/2018,54.21,54.34,52.52,52.59,"4,230,219"
50,07/23/2018,55.0,55.05,54.06,54.3,"3,291,218"
51,07/20/2018,55.06,55.13,54.19,54.68,"3,603,907"
52,07/19/2018,55.13,55.58,54.74,55.14,"3,054,770"
53,07/18/2018,54.92,55.37,54.2387,55.17,"2,845,368"
54,07/17/2018,54.05,55.77,53.98,55.55,"3,668,281"
55,07/16/2018,54.0,54.58,53.46,54.05,"2,705,747"
56,07/13/2018,53.68,54.25,53.56,54.06,"1,374,271"
57,07/12/2018,54.2,54.38,53.37,53.78,"3,156,306"
58,07/11/2018,53.95,54.77,53.92,53.97,"3,392,824"
59,07/10/2018,54.89,55.22,53.9131,54.35,"4,509,858"
60,07/09/2018,54.34,54.695,54.09,54.63,"3,829,775"
61,07/06/2018,53.21,54.38,52.96,53.69,"2,982,541"
62,07/05/2018,52.79,53.27,52.4001,53.12,"2,553,205"
63,07/03/2018,52.46,52.8,52.08,52.38,"1,062,547"
64,07/02/2018,52.0,52.95,51.61,52.17,"2,798,587"
65,06/29/2018,53.07,53.33,52.445,52.5,"4,336,119"
66,06/28/2018,50.83,52.16,50.77,52.04,"3,478,395"
67,06/27/2018,52.2,52.24,50.971,51.26,"5,202,170"
68,06/26/2018,52.85,53.87,51.05,51.61,"15,662,060"
