,Date,Open,High,Low,Close,Volume
4,30.78,31.15,30.605,"1,988,652",04/18/2019,31.15
5,31.12,31.38,31.01,"1,510,341",04/17/2019,31.33
6,31.11,31.22,30.97,"1,345,476",04/16/2019,31.17
7,31.03,31.07,30.63,"1,385,233",04/15/2019,30.88
8,30.82,30.92,30.38,"1,400,200",04/12/2019,30.86
9,30.39,30.44,30.26,"1,215,677",04/11/2019,30.38
10,30.33,30.34,29.95,"1,169,647",04/10/2019,30.12
11,30.06,30.14,29.94,"1,861,159",04/09/2019,30.13
12,30.18,30.32,29.97,"2,024,279",04/08/2019,30.06
13,30.05,30.07,29.76,"2,653,826",04/05/2019,29.88
14,29.76,29.82,29.53,"2,412,545",04/04/2019,29.58
15,29.64,29.94,29.29,"2,519,126",04/03/2019,29.4
16,29.17,29.47,29.0,"1,604,718",04/02/2019,29.21
17,29.21,29.23,28.63,"2,414,698",04/01/2019,28.63
18,28.38,28.54,28.2025,"3,601,097",03/29/2019,28.42
19,28.21,28.43,28.03,"2,254,467",03/28/2019,28.32
20,28.21,28.56,28.09,"1,697,314",03/27/2019,28.41
21,28.32,28.59,28.0825,"2,067,108",03/26/2019,28.44
22,28.34,28.7067,28.22,"1,577,579",03/25/2019,28.3
23,28.36,28.94,28.35,"1,689,221",03/22/2019,28.85
24,29.01,29.16,28.6,"1,364,970",03/21/2019,28.63
25,28.7,29.0,28.3,"3,136,679",03/20/2019,28.66
26,28.64,28.975,28.35,"2,793,489",03/19/2019,28.39
27,28.32,28.33,27.64,"1,930,907",03/18/2019,27.94
28,27.86,28.04,27.58,"4,648,670",03/15/2019,27.89
29,27.88,27.91,27.15,"3,907,483",03/14/2019,27.31
30,27.34,27.5,26.86,"4,477,520",03/13/2019,26.93
31,26.87,27.39,26.84,"3,459,940",03/12/2019,27.27
32,27.32,27.58,27.22,"2,397,480",03/11/2019,27.43
33,27.35,27.635,27.24,"2,410,860",03/08/2019,27.54
34,27.8,28.57,27.57,"2,335,884",03/07/2019,28.33
35,28.47,28.665,27.93,"3,793,311",03/06/2019,28.35
36,27.78,28.31,27.73,"3,754,340",03/05/2019,28.17
37,28.1,29.0,27.65,"3,346,868",03/04/2019,28.45
38,27.82,28.18,27.29,"4,115,539",03/01/2019,27.92
39,27.7,28.41,25.92,"6,203,730",02/28/2019,27.07
40,27.26,27.44,27.02,"3,858,010",02/27/2019,27.28
41,27.26,27.66,27.25,"2,115,594",02/26/2019,27.53
42,27.52,27.84,27.47,"2,030,060",02/25/2019,27.62
43,27.33,27.52,27.09,"2,020,819",02/22/2019,27.38
44,27.34,27.45,26.92,"1,734,844",02/21/2019,26.98
45,26.97,27.17,26.835,"2,544,606",02/20/2019,27.06
46,27.0,27.121,26.88,"2,097,373",02/19/2019,27.04
47,27.15,27.16,26.37,"3,000,287",02/15/2019,26.71
48,26.46,26.71,26.44,"1,999,505",02/14/2019,26.61
49,26.75,26.995,26.525,"2,428,195",02/13/2019,26.84
50,26.7,26.76,26.47,"2,391,558",02/12/2019,26.51
51,26.42,26.47,26.14,"1,262,450",02/11/2019,26.36
52,26.23,26.37,25.97,"1,777,027",02/08/2019,26.17
53,26.25,27.0,26.17,"1,368,614",02/07/2019,26.94
54,27.03,27.28,26.95,"2,155,624",02/06/2019,27.18
55,27.17,27.46,26.955,"2,566,559",02/05/2019,27.19
56,27.17,27.17,26.18,"2,929,264",02/04/2019,26.43
57,26.43,26.5,25.98,"2,214,830",02/01/2019,26.17
58,26.22,26.67,26.09,"1,712,408",01/31/2019,26.5
59,26.57,26.65,26.02,"1,976,358",01/30/2019,26.45
60,26.27,26.42,25.995,"1,914,716",01/29/2019,26.3
61,26.3,26.31,25.7,"2,642,785",01/28/2019,25.88
62,26.08,26.59,26.02,"2,345,767",01/25/2019,26.5
63,26.24,26.265,25.75,"3,668,113",01/24/2019,25.75
64,25.81,26.21,25.44,"3,458,902",01/23/2019,26.05
65,25.9,26.25,25.74,"2,746,550",01/22/2019,26.06
66,26.25,26.55,25.59,"5,843,068",01/18/2019,26.35
