,Date,Open,High,Low,Close,Volume
4,11/02/2018,108.14,108.39,105.93,106.75,"3,571,017"
5,11/01/2018,108.74,109.23,107.33,107.86,"3,639,419"
6,10/31/2018,109.59,110.43,108.35,108.44,"4,347,542"
7,10/30/2018,107.23,108.51,107.0813,108.34,"3,323,409"
8,10/29/2018,107.45,109.08,106.3,107.4,"3,486,578"
9,10/26/2018,107.05,107.47,105.06,106.39,"4,464,490"
10,10/25/2018,106.43,108.82,104.1701,107.89,"4,114,318"
11,10/24/2018,110.22,111.15,106.19,106.32,"6,735,074"
12,10/23/2018,110.7,111.46,109.06,110.39,"3,756,882"
13,10/22/2018,112.0,112.715,111.37,112.03,"2,938,281"
14,10/19/2018,112.88,113.36,110.66,111.92,"4,224,048"
15,10/18/2018,113.93,114.25,112.41,113.31,"3,591,624"
16,10/17/2018,110.98,113.765,110.86,113.59,"4,402,121"
17,10/16/2018,110.84,111.22,109.93,111.03,"4,192,834"
18,10/15/2018,110.5,111.8099,109.98,110.62,"3,878,031"
19,10/12/2018,109.0,111.02,108.43,110.48,"4,379,060"
20,10/11/2018,113.09,113.32,106.58,107.91,"7,217,174"
21,10/10/2018,114.96,115.37,113.25,113.34,"5,598,755"
22,10/09/2018,115.09,116.0,114.23,115.45,"4,715,995"
23,10/08/2018,114.85,116.61,114.7705,115.46,"5,995,844"
24,10/05/2018,114.09,115.45,114.09,115.02,"8,328,888"
25,10/04/2018,113.62,115.68,111.0357,112.99,"10,940,670"
26,10/03/2018,108.465,109.61,108.24,108.62,"5,097,152"
27,10/02/2018,107.5,108.14,107.19,107.96,"3,787,914"
28,10/01/2018,107.67,107.705,107.03,107.6,"2,700,812"
29,09/28/2018,106.77,107.74,106.3,107.31,"2,811,809"
30,09/27/2018,106.49,107.17,106.21,106.69,"2,093,219"
31,09/26/2018,106.06,107.37,106.005,106.31,"3,707,259"
32,09/25/2018,106.01,106.755,105.54,105.7,"3,672,595"
33,09/24/2018,105.95,106.67,105.59,105.59,"3,084,748"
34,09/21/2018,106.23,106.87,105.35,106.33,"5,329,293"
35,09/20/2018,105.72,106.11,104.22,106.07,"3,761,998"
36,09/19/2018,106.88,107.07,105.5,105.74,"3,254,454"
37,09/18/2018,105.87,107.19,105.11,106.88,"3,668,773"
38,09/17/2018,105.61,106.765,105.05,105.71,"4,971,564"
39,09/14/2018,106.57,106.69,105.4,105.77,"3,071,883"
40,09/13/2018,106.16,106.71,105.82,106.58,"5,151,482"
41,09/12/2018,105.81,106.49,105.51,105.97,"3,913,725"
42,09/11/2018,106.41,106.62,105.515,105.64,"3,516,025"
43,09/10/2018,107.5,107.84,106.391,106.42,"2,950,799"
44,09/07/2018,105.15,107.24,104.8,107.03,"3,767,248"
45,09/06/2018,105.67,105.75,103.655,105.37,"3,175,814"
46,09/05/2018,104.85,106.11,104.7,105.72,"3,366,435"
47,09/04/2018,105.31,105.7,104.38,104.62,"3,106,984"
48,08/31/2018,105.14,105.86,104.47,105.65,"3,278,193"
49,08/30/2018,105.18,105.735,104.94,105.48,"2,928,551"
50,08/29/2018,104.4,105.59,104.28,105.33,"2,949,508"
51,08/28/2018,105.03,105.59,104.59,105.18,"2,516,832"
52,08/27/2018,106.15,106.49,104.94,105.11,"2,451,678"
53,08/24/2018,105.57,106.04,104.53,105.77,"3,089,852"
54,08/23/2018,104.99,105.25,104.39,104.82,"2,043,366"
55,08/22/2018,104.8,105.63,104.15,105.03,"1,964,353"
56,08/21/2018,106.02,106.1299,104.72,105.07,"2,772,148"
57,08/20/2018,105.58,106.38,105.58,105.82,"2,756,410"
58,08/17/2018,104.43,105.92,103.96,105.55,"3,824,283"
59,08/16/2018,103.25,104.94,103.25,104.36,"4,427,168"
60,08/15/2018,102.28,103.44,102.08,103.33,"3,141,968"
61,08/14/2018,101.77,102.8389,101.27,102.44,"3,283,946"
62,08/13/2018,102.45,102.68,102.115,102.44,"2,816,373"
63,08/10/2018,102.15,103.19,101.9899,102.25,"2,782,968"
64,08/09/2018,102.06,102.72,101.92,102.19,"3,243,839"
65,08/08/2018,101.85,102.67,101.43,102.27,"3,901,584"
66,08/07/2018,101.79,103.81,101.68,101.94,"5,094,874"
67,08/06/2018,100.4,102.59,100.22,102.0,"5,090,940"
68,08/03/2018,99.18,100.694,98.88,100.58,"4,572,145"
69,08/02/2018,97.95,100.39,97.84,99.47,"4,321,033"
