,Date,Open,High,Low,Close,Volume
4,314.26,314.57,309.47,"1,107,108",04/18/2019,311.03
5,310.5,312.43,309.78,"1,041,422",04/17/2019,311.22
6,310.06,310.6292,308.1,"833,913",04/16/2019,309.22
7,308.71,310,307.54,"864,757",04/15/2019,309.96
8,309.7,309.78,306.0301,"891,849",04/12/2019,307
9,305.59,305.83,300,"829,126",04/11/2019,300.23
10,299.12,302.35,297.33,"1,222,319",04/10/2019,302.23
11,302.68,304.575,301.19,"864,956",04/09/2019,304.36
12,305.66,305.86,300.67,"1,121,380",04/08/2019,301.99
13,302.58,302.66,299.71,"705,214",04/05/2019,299.91
14,299.67,302.05,297.89,"755,582",04/04/2019,298.16
15,297.27,304.4,296.14,"1,176,885",04/03/2019,303.61
16,303.1,306.78,302.87,"870,585",04/02/2019,304.87
17,304.29,306.11,301.84,"1,128,393",04/01/2019,302.56
18,300.16,300.59,296.74,"1,211,942",03/29/2019,297.5
19,295.6,295.94,293.65,"565,422",03/28/2019,295.03
20,293.95,297.8939,292.85,"834,258",03/27/2019,295.62
21,294.92,297.6,292.69,"882,292",03/26/2019,296.09
22,294.12,295.8195,292.53,"779,652",03/25/2019,294.41
23,294.01,298.4034,293.88,"940,643",03/22/2019,297.65
24,299.01,300.068,295,"1,143,016",03/21/2019,295.37
25,295.98,298.71,295.0635,"1,321,706",03/20/2019,296.91
26,296.6,302.14,295.44,"1,497,933",03/19/2019,299.48
27,297.64,298.36,293.27,"1,793,639",03/18/2019,295.87
28,296.15,299.23,293.77,"4,516,483",03/15/2019,298.86
29,298.51,304.46,298.32,"1,178,346",03/14/2019,303.42
30,303.45,304.56,301.12,"1,132,817",03/13/2019,303.06
31,301.92,305.305,300.79,"1,248,354",03/12/2019,304.6
32,304.4,304.58,298.63,"1,293,922",03/11/2019,299.62
33,300.95,301.69,298.77,"1,053,985",03/08/2019,300.57
34,303.01,303.2,297.42,"1,255,426",03/07/2019,302.9
35,303.32,308.3458,303.32,"878,714",03/06/2019,306.48
36,305.76,307.22,304.2201,"878,056",03/05/2019,306.01
37,304.69,311.78,303.48,"1,063,165",03/04/2019,311.78
38,309.47,311.56,306.4439,"1,421,750",03/01/2019,311.56
39,309.41,311.75,306.12,"1,837,089",02/28/2019,307.44
40,307.58,307.94,304.11,"1,120,846",02/27/2019,305.02
41,305.88,308.08,305.01,"869,760",02/26/2019,305.6
42,305.97,309.4027,305.55,"1,087,676",02/25/2019,308.89
43,307.13,307.36,303.9,"581,798",02/22/2019,305.91
44,304.51,307.17,303.28,"1,042,922",02/21/2019,307.06
45,307.2,307.2,304.29,"869,731",02/20/2019,305
46,305.18,306.59,303.76,"929,461",02/19/2019,305.97
47,307.23,307.33,304.01,"844,416",02/15/2019,304.01
48,301,304,300.91,"888,227",02/14/2019,303.36
49,304.42,305.95,303.68,"957,686",02/13/2019,305
50,304.11,304.32,300.8576,"840,609",02/12/2019,301.47
51,300.04,302.75,298.8,"1,076,116",02/11/2019,301.78
52,301.5,301.63,296.995,"1,021,359",02/08/2019,299.22
53,300.13,300.36,296.14,"1,145,547",02/07/2019,298.79
54,299.83,302.68,299.01,"1,114,254",02/06/2019,299.99
55,299.46,302.98,297.23,"1,454,763",02/05/2019,300
56,298.77,299.06,290.11,"1,325,906",02/04/2019,290.9
57,290.58,292.58,289.195,"1,357,956",02/01/2019,290.85
58,289.69,292.83,287.785,"1,311,052",01/31/2019,290.17
59,291.67,293.99,286.77,"1,778,510",01/30/2019,293.95
60,292.05,292.8619,281,"2,037,108",01/29/2019,281.11
61,287.87,288.41,282.885,"1,165,731",01/28/2019,285
62,287.04,289.3,286.13,"1,050,417",01/25/2019,288.17
63,285.25,288.24,282.59,"1,017,531",01/24/2019,284.59
64,283.51,285.73,280.5,"1,630,885",01/23/2019,282.11
65,279.59,284.62,278,"1,885,039",01/22/2019,281.39
66,282.87,285.37,279.72,"2,073,468",01/18/2019,281.18
