,Date,Open,High,Low,Close,Volume
4,11/02/2018,43.03,43.13,42.22,42.47,"1,845,687"
5,11/01/2018,42.98,43.07,42.63,42.86,"1,814,346"
6,10/31/2018,43.14,43.37,42.55,42.98,"2,175,633"
7,10/30/2018,43.53,43.68,42.92,43.51,"1,974,930"
8,10/29/2018,42.92,43.75,42.92,43.63,"1,657,456"
9,10/26/2018,43.7,43.85,42.52,42.86,"2,130,307"
10,10/25/2018,44.0,44.0048,43.19,43.52,"1,871,092"
11,10/24/2018,43.76,44.57,43.44,44.34,"1,660,776"
12,10/23/2018,43.94,44.16,43.34,43.6,"1,618,659"
13,10/22/2018,43.98,44.17,43.48,43.67,"1,058,229"
14,10/19/2018,43.38,44.23,43.35,44.05,"1,550,602"
15,10/18/2018,43.31,43.55,43.08,43.32,"1,193,059"
16,10/17/2018,43.05,43.3007,42.82,43.23,"1,232,625"
17,10/16/2018,42.57,43.32,42.29,43.08,"1,279,206"
18,10/15/2018,42.47,42.87,42.35,42.56,"1,723,463"
19,10/12/2018,42.53,42.67,42.01,42.46,"1,562,701"
20,10/11/2018,44.12,44.12,42.55,42.62,"2,493,312"
21,10/10/2018,43.98,44.7,43.91,43.91,"1,857,963"
22,10/09/2018,44.18,44.54,43.9,44.1,"1,674,594"
23,10/08/2018,43.71,44.44,43.65,44.11,"1,433,020"
24,10/05/2018,42.77,43.74,42.77,43.61,"1,284,004"
25,10/04/2018,42.43,42.92,42.03,42.77,"1,158,241"
26,10/03/2018,43.1,43.3,42.135,42.56,"1,500,811"
27,10/02/2018,42.53,43.29,42.42,43.12,"1,600,836"
28,10/01/2018,42.43,42.55,42.16,42.41,"1,739,427"
29,09/28/2018,42.27,42.59,42.15,42.57,"2,945,050"
30,09/27/2018,41.88,42.45,41.73,42.06,"2,046,115"
31,09/26/2018,42.38,42.565,41.76,41.78,"1,280,678"
32,09/25/2018,42.88,42.89,42.19,42.24,"837,345"
33,09/24/2018,43.18,43.31,42.92,42.92,"1,240,784"
34,09/21/2018,43.1,43.47,42.78,43.23,"2,956,516"
35,09/20/2018,42.78,43.12,42.47,43.12,"909,504"
36,09/19/2018,43.9,43.92,42.62,42.84,"1,370,090"
37,09/18/2018,44.16,44.18,43.63,43.84,"1,178,763"
38,09/17/2018,43.96,44.07,43.69,43.99,"862,880"
39,09/14/2018,43.68,43.87,43.23,43.83,"1,081,360"
40,09/13/2018,43.66,43.9,43.36,43.9,"802,435"
41,09/12/2018,43.55,43.89,43.46,43.59,"779,338"
42,09/11/2018,44.05,44.05,43.54,43.6,"916,246"
43,09/10/2018,43.47,43.93,43.41,43.78,"1,084,917"
44,09/07/2018,43.58,43.76,43.23,43.27,"1,424,714"
45,09/06/2018,43.69,44.0,43.33,43.86,"1,092,302"
46,09/05/2018,43.09,43.75,43.09,43.73,"952,121"
47,09/04/2018,42.72,43.275,42.71,43.09,"918,723"
48,08/31/2018,43.0,43.22,42.695,42.84,"1,275,559"
49,08/30/2018,43.05,43.17,42.88,42.99,"862,065"
50,08/29/2018,42.69,42.95,42.61,42.92,"715,212"
51,08/28/2018,42.72,42.83,42.51,42.6,"825,137"
52,08/27/2018,43.24,43.35,42.59,42.79,"672,118"
53,08/24/2018,42.93,43.235,42.71,43.18,"825,290"
54,08/23/2018,42.89,43.28,42.73,43.04,"1,038,150"
55,08/22/2018,43.22,43.3,42.71,42.85,"813,624"
56,08/21/2018,43.38,43.52,43.02,43.2,"937,574"
57,08/20/2018,43.65,43.77,43.38,43.47,"1,036,321"
58,08/17/2018,43.35,43.84,43.3,43.59,"1,136,764"
59,08/16/2018,42.94,43.475,42.84,43.44,"880,873"
60,08/15/2018,42.74,43.43,42.74,43.02,"1,355,465"
61,08/14/2018,42.65,42.99,42.595,42.73,"1,149,570"
62,08/13/2018,42.52,42.81,42.24,42.72,"2,276,225"
63,08/10/2018,42.98,43.2,42.635,42.72,"1,595,468"
64,08/09/2018,42.53,42.815,42.38,42.78,"1,343,135"
65,08/08/2018,42.45,42.6,42.25,42.47,"1,886,728"
66,08/07/2018,42.85,42.85,42.4,42.59,"2,242,787"
67,08/06/2018,42.89,43.38,42.78,42.91,"1,676,915"
68,08/03/2018,41.94,43.06,41.39,42.76,"1,797,378"
69,08/02/2018,42.4,42.82,42.03,42.47,"1,344,467"
