,Date,Open,High,Low,Close,Volume
4,10/12/2018,142.98,146.64,140.77,143.61,"3,757,923"
5,10/11/2018,140.78,142.88,135.99,137.62,"3,964,486"
6,10/10/2018,142.4,143.67,138.76,139.78,"4,546,659"
7,10/09/2018,145.62,145.9999,141.35,144.47,"3,902,114"
8,10/08/2018,147.2,149.11,145.3,146.08,"2,438,633"
9,10/05/2018,148.77,150.45,146.8,147.9,"2,336,474"
10,10/04/2018,150.97,151,147.63,149.01,"2,697,971"
11,10/03/2018,151.84,153.31,150.22,152.17,"1,666,732"
12,10/02/2018,149.5,154.85,149.2765,151.08,"2,803,342"
13,10/01/2018,150.63,151.86,149.1825,150.24,"2,359,518"
14,09/28/2018,150.48,153.3,149.14,151.7,"2,155,092"
15,09/27/2018,150.21,151.74,148.54,150.57,"2,238,401"
16,09/26/2018,148.05,151.76,147.5367,148.81,"3,449,656"
17,09/25/2018,155.01,155.01,150.51,151.29,"3,422,650"
18,09/24/2018,154.96,155.29,152.5101,154.74,"1,979,997"
19,09/21/2018,153.51,156.55,153.51,155.68,"4,184,961"
20,09/20/2018,154.86,157.04,154.33,155.28,"2,443,386"
21,09/19/2018,155.36,155.36,152.72,153.19,"2,089,812"
22,09/18/2018,152.36,155.47,152.36,153.65,"1,527,018"
23,09/17/2018,152.84,154.42,151.82,152.1,"1,940,337"
24,09/14/2018,153.76,155.74,151.89,153.46,"2,475,115"
25,09/13/2018,152,154.41,151.02,153.12,"3,144,135"
26,09/12/2018,150.25,151.8,149.02,150.37,"4,987,035"
27,09/11/2018,155,156.195,153.19,155.4,"3,499,995"
28,09/10/2018,161.43,161.45,158.25,159.46,"2,292,451"
29,09/07/2018,158.6,161.42,158.52,159.58,"3,191,198"
30,09/06/2018,170.3,170.8465,159.99,160.05,"5,664,100"
31,09/05/2018,170.61,172.315,169.17,172.04,"2,915,313"
32,09/04/2018,171.75,172.92,168.34,171.96,"2,602,507"
33,08/31/2018,172.28,174.67,171.72,173.09,"2,209,350"
34,08/30/2018,172.5,174.62,172.1505,172.47,"2,153,164"
35,08/29/2018,173.28,174.94,171.87,172.62,"2,314,134"
36,08/28/2018,173.23,174.32,170.8,174.14,"3,547,626"
37,08/27/2018,173,178.075,172.945,176.21,"3,168,672"
38,08/24/2018,174.04,174.15,171.44,172.46,"2,012,284"
39,08/23/2018,172.59,174.45,172.3,172.77,"2,221,947"
40,08/22/2018,173.43,175.09,172.701,173.08,"1,716,600"
41,08/21/2018,172.26,175.5,171.58,174.39,"2,692,704"
42,08/20/2018,169.57,172.01,166.97,171.28,"2,537,105"
43,08/17/2018,170.86,171.12,166.32,169.91,"4,219,262"
44,08/16/2018,173.88,176.6978,172.3,174.29,"2,440,417"
45,08/15/2018,174.44,174.82,170.89,172.83,"2,914,900"
46,08/14/2018,178.58,179.65,176.42,176.69,"1,919,563"
47,08/13/2018,178.86,179.1,176.05,178.15,"2,184,301"
48,08/10/2018,180.57,181.43,177.4395,178.1,"2,961,514"
49,08/09/2018,186.68,187.64,182.74,184.49,"3,269,289"
50,08/08/2018,185.05,190.5,184.71,190.02,"2,128,571"
51,08/07/2018,188.75,188.98,183.65,185.91,"2,727,595"
52,08/06/2018,186.21,188.58,186.16,188.31,"1,774,792"
53,08/03/2018,186.8,188.09,185.83,187.29,"1,507,510"
54,08/02/2018,183.78,188.08,183.62,187.1,"1,817,042"
55,08/01/2018,189.87,190.8,185.84,186.29,"2,558,489"
56,07/31/2018,190.07,196.7,189.7443,190.64,"3,416,011"
57,07/30/2018,189.49,190,185.88,187.84,"3,404,151"
58,07/27/2018,185,193.45,184.5611,190.02,"8,073,544"
59,07/26/2018,172.26,177.64,172,177.26,"3,599,314"
60,07/25/2018,173.49,174.38,170.44,172.8,"2,227,692"
61,07/24/2018,176.18,179.19,173,173.39,"2,299,803"
62,07/23/2018,176.3,176.5,171.53,174.84,"2,294,495"
63,07/20/2018,178.18,178.44,175.8998,177.81,"1,720,744"
64,07/19/2018,180.11,181.47,177.83,178.23,"2,005,842"
65,07/18/2018,183.04,183.88,179.0501,181.32,"3,294,760"
66,07/17/2018,170.53,178.04,170.53,177.24,"2,419,212"
67,07/16/2018,171.12,172.9,170.7701,171.79,"1,871,418"
68,07/13/2018,172.26,174.2,171.27,171.79,"2,131,592"
69,07/12/2018,170.11,173.42,169.72,171.32,"2,683,918"
