,Date,Open,High,Low,Close,Volume
4,111.89,113.06,111.74,"416,186",04/18/2019,112.73
5,112.08,113.25,111.3,"373,298",04/17/2019,113.05
6,112.36,112.67,110.53,"407,881",04/16/2019,111.0
7,111.64,113.6386,111.17,"179,731",04/15/2019,112.67
8,112.62,113.38,111.8,"228,238",04/12/2019,112.73
9,112.05,112.61,111.17,"218,909",04/11/2019,111.36
10,111.11,111.57,110.37,"259,981",04/10/2019,111.0
11,111.0,112.0,110.64,"225,267",04/09/2019,111.39
12,111.87,111.92,111.17,"280,544",04/08/2019,111.47
13,111.35,112.17,109.97,"220,080",04/05/2019,110.78
14,110.78,111.55,109.4,"271,241",04/04/2019,109.8
15,109.58,111.55,109.35,"277,621",04/03/2019,110.35
16,109.97,111.74,109.58,"255,960",04/02/2019,111.14
17,111.29,111.95,110.27,"233,329",04/01/2019,110.27
18,109.39,110.5,109.1,"364,000",03/29/2019,109.85
19,109.53,110.1,107.92,"401,902",03/28/2019,107.92
20,107.73,108.405,106.63,"320,020",03/27/2019,106.63
21,106.65,107.2,104.47,"246,278",03/26/2019,105.32
22,104.78,106.84,104.51,"209,653",03/25/2019,105.79
23,105.67,108.26,105.6,"392,127",03/22/2019,108.03
24,108.5,109.06,106.61,"226,715",03/21/2019,106.61
25,107.07,108.24,105.52,"304,650",03/20/2019,107.12
26,107.5,112.29,107.16,"429,877",03/19/2019,111.43
27,111.34,111.37,109.26,"282,341",03/18/2019,109.57
28,109.27,111.71,109.18,"553,620",03/15/2019,111.05
29,111.02,111.21,109.63,"242,680",03/14/2019,110.6
30,110.4,112.41,110.31,"437,053",03/13/2019,110.4
31,109.94,110.44,108.185,"386,015",03/12/2019,109.9
32,109.54,109.61,105.5,"414,383",03/11/2019,106.09
33,106.11,106.38,104.12,"339,869",03/08/2019,104.88
34,105.6,105.92,104.41,"312,076",03/07/2019,105.11
35,105.31,105.72,104.61,"288,469",03/06/2019,105.6
36,105.52,107.49,105.31,"410,114",03/05/2019,107.49
37,107.45,110.015,107.09,"275,021",03/04/2019,109.49
38,109.31,109.88,108.56,"304,488",03/01/2019,109.44
39,108.68,108.875,107.11,"326,882",02/28/2019,108.13
40,108.13,109.61,107.81,"276,657",02/27/2019,109.38
41,109.49,110.7,109.46,"211,402",02/26/2019,110.53
42,110.66,111.43,109.6455,"353,993",02/25/2019,110.62
43,110.08,111.64,109.72,"286,155",02/22/2019,111.5
44,111.79,112.49,108.85,"219,446",02/21/2019,111.63
45,111.49,112.26,110.51,"256,234",02/20/2019,111.57
46,111.44,112.205,108.75,"462,432",02/19/2019,109.13
47,109.38,110.06,108.69,"338,636",02/15/2019,109.07
48,108.92,109.79,105.83,"490,281",02/14/2019,107.28
49,108.05,108.145,105.76,"421,360",02/13/2019,106.62
50,106.25,106.35,104.58,"297,943",02/12/2019,104.94
51,104.35,104.94,103.23,"305,462",02/11/2019,104.45
52,103.85,104.58,102.71,"240,231",02/08/2019,103.72
53,104.05,104.84,102.95,"289,397",02/07/2019,103.07
54,103.49,105.3,102.64,"232,525",02/06/2019,104.74
55,104.71,105.67,104.33,"382,557",02/05/2019,104.55
56,104.53,104.64,101.94,"448,159",02/04/2019,102.99
57,102.96,104.0,101.65,"437,961",02/01/2019,102.12
58,101.58,104.0,97.6143,"822,849",01/31/2019,104.0
59,104.34,105.13,101.53,"298,152",01/30/2019,103.82
60,103.21,103.85,101.59,"309,877",01/29/2019,102.56
61,102.6,103.4599,101.26,"341,209",01/28/2019,102.44
62,103.07,103.6373,101.34,"318,024",01/25/2019,101.52
63,100.84,101.88,100.11,"292,969",01/24/2019,101.6
64,101.14,102.21,99.75,"409,821",01/23/2019,102.05
65,101.89,104.735,101.48,"313,802",01/22/2019,104.13
66,104.52,105.01,102.0,"449,807",01/18/2019,102.33
