,Date,Open,High,Low,Close,Volume
4,175.72,176.205,174.53,"877,522",05/22/2019,176.0
5,176.53,177.27,174.6,"1,444,833",05/21/2019,174.88
6,174.15,174.86,170.28,"1,077,031",05/20/2019,173.0
7,173.0,176.65,172.56,"1,577,674",05/17/2019,176.8
8,176.8,177.06,173.68,"1,329,962",05/16/2019,172.88
9,172.88,173.75,168.85,"1,223,342",05/15/2019,170.68
10,170.68,171.505,167.32,"1,684,300",05/14/2019,167.57
11,167.57,171.13,166.22,"2,020,054",05/13/2019,173.68
12,173.68,175.11,170.011,"1,120,524",05/10/2019,173.71
13,173.71,174.89,171.28,"1,218,839",05/09/2019,175.17
14,175.17,177.0,172.792,"1,008,255",05/08/2019,173.98
15,173.98,177.5,172.1,"1,818,564",05/07/2019,177.69
16,177.69,178.22,174.59,"919,872",05/06/2019,178.64
17,178.64,178.98,176.01,"1,036,577",05/03/2019,176.55
18,176.55,177.75,174.81,"1,369,549",05/02/2019,175.67
19,175.67,178.273,175.58,"1,306,986",05/01/2019,176.35
20,176.35,177.75,175.625,"1,198,701",04/30/2019,177.26
21,177.5,178.85,176.5,"1,688,244",04/29/2019,176.61
22,177.09,178.04,175.41,"1,522,163",04/26/2019,177.75
23,177.29,179.22,176.6132,"1,685,021",04/25/2019,178.34
24,178.27,179.495,174.41,"2,462,158",04/24/2019,177.79
25,176.78,177.16,173.03,"2,342,921",04/23/2019,174.51
26,173.02,173.66,172.04,"1,260,610",04/22/2019,173.2
27,173.31,174.64,169.72,"2,292,080",04/18/2019,171.74
28,171.23,171.99,167.93,"1,632,370",04/17/2019,169.89
29,169.33,173.3225,168.73,"1,757,926",04/16/2019,173.0
30,172.01,173.07,170.02,"2,400,075",04/15/2019,170.02
31,169.88,170.68,167.5,"1,499,299",04/12/2019,168.5
32,168.0,168.66,166.93,"1,402,586",04/11/2019,167.69
33,167.46,169.82,166.68,"1,556,801",04/10/2019,168.3
34,167.52,169.8,165.53,"2,467,650",04/09/2019,169.41
35,169.77,170.4,168.36,"2,135,331",04/08/2019,168.78
36,169.37,172.9,168.8406,"1,949,747",04/05/2019,172.04
37,171.37,171.69,166.15,"2,783,057",04/04/2019,166.27
38,166.21,167.5,163.95,"1,827,618",04/03/2019,165.6
39,165.47,166.7,164.0105,"2,164,807",04/02/2019,165.61
40,165.52,167.2,163.22,"3,951,186",04/01/2019,164.76
41,163.87,168.3,162.95,"7,066,368",03/29/2019,165.91
42,167.54,171.45,166.1,"14,636,470",03/28/2019,169.15
43,146.8,146.86,143.8827,"5,232,163",03/27/2019,144.32
44,143.56,148.43,142.8,"2,838,717",03/26/2019,148.01
45,146.58,147.37,141.34,"2,518,252",03/25/2019,142.91
46,143.21,147.63,142.24,"2,641,339",03/22/2019,145.73
47,148.91,149.55,144.54,"1,628,341",03/21/2019,144.64
48,144.35,145.5,142.13,"1,267,722",03/20/2019,145.42
49,144.99,146.3048,143.77,"1,170,579",03/19/2019,144.66
50,144.33,144.49,141.51,"1,534,746",03/18/2019,141.65
51,141.79,145.4757,141.55,"2,250,615",03/15/2019,145.23
52,144.18,145.09,141.01,"2,283,491",03/14/2019,145.09
53,145.41,147.71,145.25,"1,309,074",03/13/2019,146.15
54,145.79,146.06,142.67,"1,929,527",03/12/2019,145.28
55,145.29,145.54,142.35,"2,081,284",03/11/2019,143.0
56,142.51,146.623,141.78,"2,776,985",03/08/2019,146.01
57,147.7,148.92,146.4154,"1,465,024",03/07/2019,148.37
58,149.09,150.23,147.6625,"805,221",03/06/2019,149.6
59,148.9,149.68,147.45,"983,201",03/05/2019,148.07
60,147.78,152.89,146.46,"1,428,933",03/04/2019,152.1
61,151.38,153.95,150.1901,"1,669,751",03/01/2019,152.56
62,150.42,151.23,148.5255,"1,160,492",02/28/2019,150.18
63,150.56,152.15,149.0525,"1,146,223",02/27/2019,150.0
64,150.98,151.4,148.1928,"1,468,997",02/26/2019,148.2
65,148.54,151.51,148.05,"1,216,707",02/25/2019,150.12
66,149.26,149.36,147.5,"966,414",02/22/2019,148.7
