,Date,Open,High,Low,Close,Volume
4,91.79,92.07,90.48,"2,026,318",04/18/2019,91.85
5,91.76,93.28,91.7363,"1,535,851",04/17/2019,92.68
6,92.17,92.4,90.99,"1,847,145",04/16/2019,92.4
7,92.22,93.82,92.2,"3,101,723",04/15/2019,93.21
8,92.29,95.19,91.21,"4,009,970",04/12/2019,92.94
9,90.51,90.7999,89.56,"1,820,896",04/11/2019,89.81
10,89.56,90.85,88.79,"2,164,004",04/10/2019,90.65
11,90.25,91.06,89.77,"1,329,140",04/09/2019,90.78
12,91.33,91.94,90.76,"1,726,288",04/08/2019,91.26
13,91.06,93.23,90.49,"4,842,489",04/05/2019,92.53
14,92.2,92.66,90.15,"2,561,253",04/04/2019,90.31
15,90.58,91.9,89.92,"3,408,567",04/03/2019,90.42
16,89.36,89.8,86.57,"3,851,568",04/02/2019,87.17
17,87.17,87.27,85.0,"2,198,826",04/01/2019,85.06
18,84.08,84.31,83.17,"2,184,452",03/29/2019,83.55
19,83.86,84.31,83.105,"2,250,499",03/28/2019,83.92
20,83.49,85.0,82.85,"2,373,136",03/27/2019,84.6
21,84.31,84.92,83.32,"2,070,003",03/26/2019,84.47
22,83.47,85.54,83.2,"2,237,623",03/25/2019,85.12
23,85.07,87.72,84.96,"2,458,619",03/22/2019,87.52
24,88.31,89.71,86.1,"2,533,828",03/21/2019,86.25
25,86.33,87.2,85.9,"2,245,440",03/20/2019,86.81
26,86.96,88.15,86.32,"2,485,928",03/19/2019,88.07
27,87.27,87.45,85.94,"1,882,148",03/18/2019,87.45
28,87.0,88.54,86.81,"4,340,191",03/15/2019,87.58
29,87.44,89.0125,87.42,"2,334,018",03/14/2019,88.58
30,88.88,90.28,88.79,"2,112,488",03/13/2019,89.33
31,89.28,90.36,88.815,"3,051,667",03/12/2019,88.9
32,88.7,88.96,87.42,"2,089,052",03/11/2019,87.68
33,87.14,87.37,85.39,"2,300,339",03/08/2019,86.2
34,87.11,89.0,86.23,"3,067,515",03/07/2019,88.89
35,89.26,89.77,85.59,"4,048,492",03/06/2019,86.54
36,84.12,85.215,84.02,"3,233,802",03/05/2019,84.92
37,85.1,86.94,84.02,"1,719,522",03/04/2019,86.94
38,85.05,86.87,84.34,"2,815,506",03/01/2019,85.43
39,85.52,86.71,85.12,"2,287,178",02/28/2019,86.66
40,86.69,87.06,86.0,"1,760,630",02/27/2019,86.79
41,86.86,88.66,86.79,"2,669,011",02/26/2019,88.48
42,88.59,89.485,88.4831,"2,341,383",02/25/2019,89.27
43,89.14,89.545,88.622,"2,143,189",02/22/2019,89.41
44,88.5,89.7,87.89,"2,165,624",02/21/2019,89.32
45,89.16,89.74,87.27,"2,368,802",02/20/2019,87.35
46,87.48,88.13,86.32,"2,320,991",02/19/2019,87.06
47,87.64,88.44,86.98,"1,890,940",02/15/2019,87.25
48,86.32,87.51,85.28,"2,172,416",02/14/2019,85.6
49,86.05,86.515,84.895,"2,539,697",02/13/2019,85.87
50,85.46,86.4,84.35,"3,750,400",02/12/2019,84.64
51,83.91,84.9,83.48,"3,317,219",02/11/2019,84.63
52,84.58,85.46,83.76,"2,293,314",02/08/2019,84.22
53,84.59,87.34,84.22,"2,329,622",02/07/2019,86.9
54,87.2,88.12,86.23,"2,003,957",02/06/2019,87.62
55,87.57,88.35,86.87,"2,745,121",02/05/2019,87.38
56,87.69,88.35,86.3,"3,328,266",02/04/2019,88.28
57,88.89,88.99,85.09,"4,587,722",02/01/2019,85.26
58,86.97,87.08,85.26,"4,200,165",01/31/2019,86.5
59,88.22,88.74,86.458,"2,574,152",01/30/2019,87.75
60,87.09,87.6,85.725,"1,655,107",01/29/2019,86.28
61,86.14,86.35,84.74,"2,383,213",01/28/2019,85.52
62,86.21,86.74,85.1,"2,603,275",01/25/2019,85.1
63,83.96,84.84,83.57,"2,473,031",01/24/2019,84.35
64,84.43,86.26,83.8375,"2,142,051",01/23/2019,85.81
65,85.8,87.46,85.2,"2,506,341",01/22/2019,86.99
66,87.86,88.26,86.33,"2,879,199",01/18/2019,86.83
