,Date,Open,High,Low,Close,Volume
4,123.48,125.34,122.49,"1,759,250",05/03/2019,122.63
5,122.63,122.65,119.07,"1,244,451",05/02/2019,119.01
6,119.01,120.59,118.65,"1,007,188",05/01/2019,119.25
7,119.25,120.34,117.85,"1,009,399",04/30/2019,119.04
8,118.37,118.99,117.48,"921,816",04/29/2019,117.7
9,117.58,117.87,115.78,"1,458,383",04/26/2019,115.78
10,115.21,115.9,113.69,"652,374",04/25/2019,115.08
11,115.33,116.03,114.07,"842,219",04/24/2019,115.23
12,115.2,116.38,112.226,"987,845",04/23/2019,112.52
13,112.47,114.86,111.9,"707,238",04/22/2019,113.78
14,114.1,114.61,111.91,"1,193,561",04/18/2019,112.56
15,112.49,117.25,111.71,"1,439,999",04/17/2019,117.17
16,116.61,118.91,115.21,"992,691",04/16/2019,118.01
17,117.21,118.54,116.09,"1,052,288",04/15/2019,116.49
18,116.05,117.11,114.38,"1,329,541",04/12/2019,114.87
19,114.19,115.92,113.48,"989,683",04/11/2019,115.67
20,115.27,116.48,113.42,"1,118,852",04/10/2019,116.07
21,115.8,116.97,114.61,"898,264",04/09/2019,116.28
22,116.82,117.81,115.83,"1,161,071",04/08/2019,116.71
23,116.7,117.82,115.09,"2,470,976",04/05/2019,115.51
24,115.01,115.66,113.2,"1,727,964",04/04/2019,115.35
25,115.08,117.79,113.88,"1,752,965",04/03/2019,115.8
26,114.79,118.21,114.71,"2,699,521",04/02/2019,116.74
27,118.84,118.93,117.38,"1,109,067",04/01/2019,118.0
28,117.06,117.25,115.19,"1,115,866",03/29/2019,116.02
29,115.29,117.06,115.03,"657,092",03/28/2019,116.12
30,115.71,116.67,114.46,"819,533",03/27/2019,115.42
31,115.85,116.94,114.97,"960,982",03/26/2019,115.85
32,115.65,118.76,115.14,"1,314,564",03/25/2019,118.76
33,118.54,122.0,118.51,"1,094,532",03/22/2019,121.81
34,122.23,122.35,119.51,"818,483",03/21/2019,120.32
35,120.65,122.69,120.42,"1,510,540",03/20/2019,122.69
36,122.52,123.25,121.395,"1,288,984",03/19/2019,121.57
37,121.37,121.45,119.7246,"1,516,760",03/18/2019,119.81
38,119.26,119.65,117.74,"2,296,743",03/15/2019,118.04
39,117.72,118.32,116.52,"1,064,342",03/14/2019,117.46
40,117.47,118.11,115.79,"1,165,246",03/13/2019,116.28
41,115.61,115.92,113.99,"1,285,591",03/12/2019,113.99
42,113.48,113.6,112.09,"1,231,391",03/11/2019,112.29
43,111.86,112.47,110.52,"1,389,184",03/08/2019,112.13
44,112.28,113.96,111.7,"2,437,893",03/07/2019,113.34
45,113.51,117.38,113.08,"1,582,560",03/06/2019,116.97
46,117.16,120.93,116.84,"2,954,280",03/05/2019,120.4
47,120.1,124.71,119.75,"2,190,416",03/04/2019,124.53
48,124.53,128.5,124.04,"1,521,670",03/01/2019,127.61
49,127.16,128.455,126.59,"1,265,422",02/28/2019,127.28
50,127.42,127.44,125.8005,"1,432,237",02/27/2019,126.98
51,127.15,130.33,126.98,"2,037,861",02/26/2019,130.09
52,130.18,132.41,129.91,"1,437,131",02/25/2019,132.41
53,131.49,132.42,130.81,"1,303,737",02/22/2019,131.95
54,131.95,134.23,131.49,"1,353,830",02/21/2019,134.09
55,134.04,135.9,133.87,"1,149,542",02/20/2019,135.19
56,136.3,137.16,134.535,"1,260,435",02/19/2019,135.37
57,135.56,136.16,134.46,"1,072,244",02/15/2019,135.32
58,134.39,135.5099,132.205,"1,071,080",02/14/2019,133.56
59,134.17,135.3,133.63,"1,151,469",02/13/2019,134.3
60,134.0,134.49,128.87,"2,788,525",02/12/2019,131.66
61,130.43,130.89,128.21,"1,427,573",02/11/2019,128.74
62,128.49,130.58,127.54,"1,445,996",02/08/2019,130.15
63,130.6,133.49,130.29,"1,219,755",02/07/2019,132.81
64,132.62,133.22,131.0,"1,387,438",02/06/2019,131.34
65,131.77,133.75,131.54,"2,257,594",02/05/2019,132.56
66,132.26,132.26,127.65,"2,494,250",02/04/2019,127.69
