,Date,Open,High,Low,Close,Volume
4,10/31/2018,315.07,329.51,315.0,324.5,"1,042,267"
5,10/30/2018,286.68,312.8,285.1,310.41,"868,620"
6,10/29/2018,300.98,304.5,281.3,287.34,"956,244"
7,10/26/2018,295.71,302.879,287.28,295.37,"725,171"
8,10/25/2018,296.17,302.2,291.0,297.59,"599,716"
9,10/24/2018,306.76,309.45,291.07,291.4,"490,683"
10,10/23/2018,303.02,309.38,295.6,306.86,"505,613"
11,10/22/2018,305.99,318.14,301.95,313.56,"580,818"
12,10/19/2018,300.92,312.135,298.78,301.87,"418,437"
13,10/18/2018,313.18,317.25,297.0,298.76,"499,099"
14,10/17/2018,307.91,319.03,304.69,313.37,"536,868"
15,10/16/2018,297.2,309.3,296.01,308.6,"1,242,175"
16,10/15/2018,303.28,303.28,291.505,294.75,"1,290,665"
17,10/12/2018,311.94,314.21,295.4,303.42,"1,349,421"
18,10/11/2018,314.72,320.75,298.07,304.86,"943,689"
19,10/10/2018,336.39,338.71,314.5301,319.07,"833,120"
20,10/09/2018,337.47,341.495,333.865,340.06,"495,838"
21,10/08/2018,348.94,351.41,327.51,339.5,"1,093,889"
22,10/05/2018,340.62,349.945,330.29,335.64,"635,265"
23,10/04/2018,351.75,352.0,332.1605,339.46,"595,051"
24,10/03/2018,356.56,362.33,350.26,354.1,"716,752"
25,10/02/2018,334.59,354.49,332.82,353.9,"1,053,670"
26,10/01/2018,343.84,353.11,331.74,332.49,"879,860"
27,09/28/2018,337.74,344.649,336.5252,340.47,"487,249"
28,09/27/2018,333.31,346.1,325.09,340.08,"1,018,481"
29,09/26/2018,320.73,337.5,320.0,330.75,"949,206"
30,09/25/2018,333.26,333.89,318.02,319.62,"798,223"
31,09/24/2018,317.0,334.15,313.34,331.38,"1,041,249"
32,09/21/2018,324.42,330.11,319.3,319.68,"643,837"
33,09/20/2018,318.88,325.28,316.69,323.08,"520,634"
34,09/19/2018,315.5,319.5,310.6507,315.81,"795,635"
35,09/18/2018,323.15,331.99,314.5,315.08,"827,310"
36,09/17/2018,323.93,328.6941,317.11,322.26,"517,569"
37,09/14/2018,321.61,329.52,318.25,325.04,"743,676"
38,09/13/2018,320.31,332.831,319.6,320.67,"531,433"
39,09/12/2018,318.0,321.42,310.7935,316.9,"697,181"
40,09/11/2018,317.31,326.45,315.9731,318.73,"567,991"
41,09/10/2018,327.72,329.25,318.36,319.43,"426,159"
42,09/07/2018,320.0,332.5,317.77,326.5,"554,468"
43,09/06/2018,328.97,331.7,320.31,320.76,"992,924"
44,09/05/2018,339.91,340.6819,323.01,328.0,"1,269,158"
45,09/04/2018,340.0,345.6,336.97,342.27,"708,023"
46,08/31/2018,338.44,343.37,336.55,342.41,"883,608"
47,08/30/2018,375.41,375.41,339.3301,340.15,"1,830,646"
48,08/29/2018,379.4,381.01,374.0,377.44,"638,102"
49,08/28/2018,374.95,381.8989,372.28,378.18,"578,484"
50,08/27/2018,370.98,377.57,368.77,374.85,"658,263"
51,08/24/2018,350.07,373.115,349.17,367.54,"1,453,416"
52,08/23/2018,342.5,355.0,341.86,348.33,"653,954"
53,08/22/2018,332.92,345.98,328.0,344.93,"1,663,902"
54,08/21/2018,319.0,335.66,315.1526,328.45,"1,180,302"
55,08/20/2018,323.83,325.2055,315.25,319.75,"862,916"
56,08/17/2018,333.29,334.66,321.57,324.2,"859,965"
57,08/16/2018,349.04,351.0,333.61,334.8,"716,736"
58,08/15/2018,355.0,357.4893,339.94,344.79,"1,156,941"
59,08/14/2018,362.36,365.61,355.305,363.51,"267,538"
60,08/13/2018,371.95,371.95,357.09,358.86,"726,100"
61,08/10/2018,378.86,384.97,365.61,372.35,"986,389"
62,08/09/2018,337.88,394.92,337.19,384.39,"2,097,305"
63,08/08/2018,348.07,356.1327,343.0105,344.43,"671,384"
64,08/07/2018,349.52,351.51,343.23,347.42,"886,551"
65,08/06/2018,342.82,349.74,340.4,348.52,"339,870"
66,08/03/2018,340.89,344.11,336.5,343.88,"380,951"
67,08/02/2018,343.09,345.0,335.08,339.27,"661,694"
68,08/01/2018,342.06,353.26,339.8,346.14,"576,293"
69,07/31/2018,342.69,354.56,339.5177,342.91,"656,595"
