,Date,Open,High,Low,Close,Volume
4,01/31/2019,44.76,45.77,44.75,45.67,"6,478,430"
5,01/30/2019,44.95,45.48,44.35,45.23,"4,598,146"
6,01/29/2019,44.89,45.21,44.76,44.86,"3,427,381"
7,01/28/2019,45.05,45.37,44.63,45.13,"3,727,124"
8,01/25/2019,45.52,45.98,45.29,45.47,"4,281,841"
9,01/24/2019,44.51,45.24,44.39,45.02,"4,332,927"
10,01/23/2019,45.09,45.19,43.8,44.48,"6,537,432"
11,01/22/2019,44.98,45.19,44.605,44.87,"5,700,747"
12,01/18/2019,45.43,45.46,45.05,45.31,"6,446,186"
13,01/17/2019,44.7,45.29,44.26,45.05,"4,797,686"
14,01/16/2019,44.64,45.2865,44.29,44.87,"5,848,492"
15,01/15/2019,43.82,44.32,43.62,44.06,"4,117,839"
16,01/14/2019,43.3,44.1657,43.15,43.97,"3,942,381"
17,01/11/2019,42.99,43.7971,42.87,43.72,"3,563,547"
18,01/10/2019,43.37,43.77,42.93,43.37,"6,053,702"
19,01/09/2019,43.03,43.86,42.745,43.5,"6,868,186"
20,01/08/2019,42.96,43.3,42.26,42.77,"4,462,130"
21,01/07/2019,42.14,42.95,41.76,42.55,"5,553,045"
22,01/04/2019,41.7,42.55,41.64,42.28,"5,961,848"
23,01/03/2019,41.36,41.655,40.735,40.87,"6,614,979"
24,01/02/2019,40.61,41.78,40.25,41.67,"5,209,405"
25,12/31/2018,40.85,41.3,40.515,41.06,"4,665,204"
26,12/28/2018,41.09,41.23,40.345,40.62,"6,361,634"
27,12/27/2018,39.52,40.95,39.33,40.95,"10,413,570"
28,12/26/2018,38.33,40.24,37.76,40.19,"8,990,372"
29,12/24/2018,38.09,39.2355,37.91,38.24,"6,612,974"
30,12/21/2018,39.07,40.07,38.53,38.63,"12,359,570"
31,12/20/2018,39.09,40.15,38.95,39.35,"11,120,020"
32,12/19/2018,39.71,40.95,38.92,39.24,"11,306,790"
33,12/18/2018,39.08,40.07,39.04,39.62,"9,436,963"
34,12/17/2018,38.76,39.81,38.62,38.88,"10,067,930"
35,12/14/2018,38.86,39.88,38.81,38.89,"6,918,905"
36,12/13/2018,39.66,39.82,39.13,39.52,"7,424,233"
37,12/12/2018,39.85,40.31,39.41,39.57,"6,147,636"
38,12/11/2018,40.23,40.71,39.04,39.23,"7,954,868"
39,12/10/2018,40.5,40.65,38.9,39.61,"8,330,023"
40,12/07/2018,41.08,41.92,40.23,40.63,"8,767,855"
41,12/06/2018,41.58,41.59,40.125,41.17,"11,367,410"
42,12/04/2018,44.54,44.62,42.1,42.42,"9,797,379"
43,12/03/2018,45.3,45.85,44.51,44.82,"8,031,033"
44,11/30/2018,44.37,44.81,44.245,44.63,"6,116,123"
45,11/29/2018,44.64,45.07,44.28,44.39,"5,592,726"
46,11/28/2018,43.97,45.09,43.72,45.09,"6,869,615"
47,11/27/2018,43.62,44.36,43.6,44.01,"7,301,773"
48,11/26/2018,43.46,44.215,43.405,43.79,"6,395,892"
49,11/23/2018,42.43,43.35,42.41,42.8,"2,702,817"
50,11/21/2018,43.27,43.935,42.75,42.99,"6,577,766"
51,11/20/2018,43.29,43.33,42.23,42.84,"9,385,728"
52,11/19/2018,43.94,44.17,43.36,43.67,"7,892,766"
53,11/16/2018,44.54,44.7,43.82,43.96,"8,163,665"
54,11/15/2018,44.55,44.92,44.0243,44.8,"8,768,504"
55,11/14/2018,45.99,46.35,44.72,45.04,"6,878,889"
56,11/13/2018,45.16,46.17,45.07,45.46,"6,212,389"
57,11/12/2018,45.23,45.41,44.63,44.73,"5,472,592"
58,11/09/2018,45.28,45.62,44.8,45.19,"6,927,648"
59,11/08/2018,44.75,45.94,44.68,45.44,"7,667,240"
60,11/07/2018,44.96,45.42,44.315,45.18,"6,081,469"
61,11/06/2018,44.14,44.81,44.07,44.61,"8,116,169"
62,11/05/2018,43.25,44.785,43.19,44.59,"7,827,305"
63,11/02/2018,43.86,44.44,43.29,43.6,"9,434,156"
64,11/01/2018,41.54,42.0,41.08,41.94,"7,809,148"
65,10/31/2018,41.2,42.0,41.11,41.19,"8,065,591"
