,Date,Open,High,Low,Close,Volume
4,140.3,141.44,139.51,"946,347",03/19/2019,140.75
5,140.71,141.16,139.62,"700,636",03/18/2019,139.64
6,139.99,140.01,138.51,"1,412,356",03/15/2019,139.31
7,139.46,139.87,138.81,"631,539",03/14/2019,139.54
8,139.2,139.68,138.46,"1,025,789",03/13/2019,138.86
9,138.4,139.55,137.645,"1,091,423",03/12/2019,139.1
10,139.08,139.15,136.61,"843,203",03/11/2019,136.83
11,137.05,137.2,135.76,"731,745",03/08/2019,135.96
12,135.63,137.36,135.47,"927,363",03/07/2019,136.65
13,136.47,136.69,135.42,"551,178",03/06/2019,135.9
14,135.83,136.32,134.96,"1,164,315",03/05/2019,135.3
15,135.47,137.35,133.37,"763,035",03/04/2019,137.3
16,136.71,137.32,135.6,"744,362",03/01/2019,136.16
17,135.98,136.215,134.64,"819,787",02/28/2019,134.77
18,134.75,134.85,132.21,"762,069",02/27/2019,132.47
19,133.04,134.37,132.77,"743,154",02/26/2019,134.35
20,133.43,135.95,132.685,"1,344,089",02/25/2019,135.83
21,135.74,135.84,131.17,"1,957,271",02/22/2019,132.13
22,133.76,133.94,130.59,"1,743,026",02/21/2019,130.67
23,130.42,131.13,129.2314,"1,015,536",02/20/2019,129.51
24,129.69,130.715,128.4,"1,321,240",02/19/2019,128.69
25,128.47,129.24,128.12,"1,906,809",02/15/2019,128.43
26,127.4,128.3999,126.96,"929,720",02/14/2019,127.95
27,128.59,129.5,127.85,"967,674",02/13/2019,128.84
28,128.75,129.71,126.94,"1,305,384",02/12/2019,127.77
29,127.49,127.56,125.91,"1,253,818",02/11/2019,126.68
30,126.69,126.75,124.11,"1,368,675",02/08/2019,124.16
31,124.85,124.99,121.7,"1,100,230",02/07/2019,121.86
32,123.16,124.66,122.85,"988,881",02/06/2019,124.37
33,124.79,125.0,122.02,"1,993,564",02/05/2019,122.06
34,121.78,123.92,120.485,"2,184,339",02/04/2019,123.44
35,123.06,123.869,122.53,"1,411,242",02/01/2019,123.71
36,123.64,125.3,122.19,"2,147,608",01/31/2019,122.19
37,122.62,124.05,121.73,"1,591,357",01/30/2019,121.78
38,121.19,122.61,120.06,"1,624,050",01/29/2019,121.88
39,121.85,121.85,119.72,"2,239,348",01/28/2019,120.11
40,121.36,125.23,121.0,"3,040,281",01/25/2019,125.03
41,124.35,125.879,119.0,"7,639,710",01/24/2019,120.19
42,139.0,139.46,137.61,"1,155,306",01/23/2019,139.46
43,138.8,139.91,136.59,"1,727,853",01/22/2019,139.53
44,139.44,141.96,138.55,"1,604,150",01/18/2019,141.49
45,140.48,140.4969,138.61,"923,160",01/17/2019,139.54
46,139.57,141.24,139.04,"1,210,594",01/16/2019,140.74
47,140.79,141.76,139.07,"754,675",01/15/2019,139.91
48,139.39,139.94,138.3794,"966,427",01/14/2019,138.78
49,140.12,141.34,139.0,"949,036",01/11/2019,141.08
50,140.88,140.97,138.32,"1,234,493",01/10/2019,139.97
51,140.29,141.59,139.56,"1,045,846",01/09/2019,140.07
52,140.3,140.38,137.2814,"1,223,919",01/08/2019,137.92
53,137.84,140.15,136.29,"1,328,132",01/07/2019,136.7
54,136.67,138.67,136.09,"1,389,513",01/04/2019,136.68
55,136.26,138.1,135.525,"1,047,188",01/03/2019,135.67
56,135.62,138.15,134.485,"1,825,436",01/02/2019,137.78
57,139.24,139.84,137.8,"658,267",12/31/2018,139.44
58,139.01,140.58,137.44,"1,293,097",12/28/2018,140.12
59,140.04,140.1,135.19,"999,771",12/27/2018,137.33
60,138.34,138.34,134.02,"826,845",12/26/2018,134.58
61,134.05,138.18,134.05,"712,791",12/24/2018,138.04
62,138.14,143.86,137.77,"2,153,302",12/21/2018,138.99
63,139.05,143.1,137.55,"2,225,010",12/20/2018,141.39
64,141.95,148.61,141.69,"2,670,139",12/19/2018,147.06
