,Date,Open,High,Low,Close,Volume
4,218.88,219.67,217.62,"1,780,121",04/18/2019,217.98
5,217.64,219.33,217.175,"1,977,565",04/17/2019,217.63
6,216.9,217.67,215.48,"1,549,608",04/16/2019,216.59
7,215.83,217.36,214.9,"1,483,270",04/15/2019,216.84
8,217.42,217.49,214.35,"1,922,404",04/12/2019,215.1
9,213.53,213.71,211.44,"1,181,246",04/11/2019,211.71
10,212.11,212.71,210.72,"1,346,476",04/10/2019,212.42
11,211.96,214.57,211.82,"1,516,450",04/09/2019,214.42
12,215.02,215.07,213.47,"1,130,041",04/08/2019,214.71
13,215.41,216.49,214.8,"1,391,067",04/05/2019,215.88
14,215.03,215.27,212.325,"1,560,871",04/04/2019,213.5
15,213.13,213.93,212.44,"1,569,355",04/03/2019,212.95
16,212.13,212.7,211.0027,"1,409,956",04/02/2019,212.24
17,211.94,212.3901,209.255,"2,458,491",04/01/2019,209.89
18,207.78,209.495,206.2,"2,858,120",03/29/2019,209.29
19,208.53,208.74,206.64,"1,670,589",03/28/2019,208
20,207.16,207.942,205.1288,"2,000,075",03/27/2019,207.4
21,207.24,207.64,204.77,"1,895,561",03/26/2019,205
22,203.21,205.47,202.25,"2,020,649",03/25/2019,203.46
23,204.66,208.49,204.4704,"2,715,861",03/22/2019,208.29
24,209.61,210.16,205.97,"2,288,054",03/21/2019,206.8
25,208.3,210.51,207.29,"1,732,893",03/20/2019,209
26,209.02,210.54,208.3148,"2,338,547",03/19/2019,209.1
27,208.49,208.6,205.6119,"1,843,555",03/18/2019,208.44
28,208.08,208.66,206.79,"4,393,793",03/15/2019,208.4
29,207.38,207.45,205.73,"1,793,354",03/14/2019,206.7
30,206.66,207.3,205.63,"2,033,908",03/13/2019,206.83
31,205.8,208.39,205.375,"2,115,091",03/12/2019,207.84
32,207.1,207.1599,201.66,"2,384,636",03/11/2019,201.88
33,200.89,201.17,198,"1,724,487",03/08/2019,198.38
34,199.86,202.56,198.5,"3,339,598",03/07/2019,202.56
35,202.8,204.79,202.76,"1,825,273",03/06/2019,204.73
36,203.84,207.25,203.84,"2,674,619",03/05/2019,205.58
37,206.86,209.98,205.7384,"1,988,997",03/04/2019,208.99
38,207.49,209.76,206.9,"1,754,391",03/01/2019,208.81
39,207.39,209.05,206.96,"2,121,733",02/28/2019,209.05
40,209.03,209.69,208.16,"1,540,581",02/27/2019,209.6
41,209.38,211.59,209.37,"1,671,294",02/26/2019,210.58
42,210.58,211.35,210.34,"2,183,509",02/25/2019,210.47
43,209.35,209.66,207.15,"1,534,158",02/22/2019,207.77
44,207.77,209.11,207.25,"1,734,211",02/21/2019,208.16
45,208.53,208.97,207.32,"1,879,145",02/20/2019,208.93
46,208.41,209.15,207.39,"1,534,443",02/19/2019,207.91
47,208.86,208.97,206,"1,999,978",02/15/2019,206.46
48,204.93,207.12,204.05,"2,229,681",02/14/2019,206.59
49,209.72,210.4,206.59,"2,962,423",02/13/2019,207.09
50,206.57,206.79,202.19,"2,619,946",02/12/2019,202.87
51,200.91,201.2,199.64,"1,513,450",02/11/2019,200.93
52,199.82,199.85,197.9,"1,451,827",02/08/2019,199.22
53,199.84,202.4,198.855,"1,938,140",02/07/2019,201.02
54,202.57,203.08,200.25,"1,672,404",02/06/2019,201.22
55,201.12,201.13,199.7252,"1,941,605",02/05/2019,200.72
56,200.21,200.26,196.25,"1,967,144",02/04/2019,199.01
57,199.16,201.77,198.29,"2,231,389",02/01/2019,201.49
58,200.3,200.89,197.74,"3,337,686",01/31/2019,198.8
59,199.27,200.11,194.63,"2,168,074",01/30/2019,198.22
60,196.95,199.89,194.2,"4,303,450",01/29/2019,195.01
61,193.2,193.45,191.07,"3,156,508",01/28/2019,193.14
62,195.9,197.16,194.46,"2,318,872",01/25/2019,194.72
63,192.52,193.165,191.51,"1,582,804",01/24/2019,192.26
64,192.29,194,190.275,"1,652,932",01/23/2019,192.63
65,192.26,194.49,190.43,"2,691,506",01/22/2019,194.22
66,195.86,196.4,192.36,"2,726,384",01/18/2019,194.34
