,Date,Open,High,Low,Close,Volume
4,54.37,56.31,53.28,"17,793,100",04/18/2019,56.16
5,56.18,56.76,56.07,"5,845,126",04/17/2019,56.75
6,56.39,56.8023,56.015,"5,403,415",04/16/2019,56.7
7,56.94,57.11,56.5136,"4,666,188",04/15/2019,56.68
8,56.56,56.6,55.73,"4,688,872",04/12/2019,56.04
9,55.98,56.04,55.51,"5,256,485",04/11/2019,55.64
10,55.42,55.53,54.91,"5,664,560",04/10/2019,55.26
11,55.11,55.59,54.85,"5,996,118",04/09/2019,55.14
12,55.28,55.39,54.6,"5,607,050",04/08/2019,54.77
13,54.77,54.91,54.02,"7,743,295",04/05/2019,54.5
14,54.6,54.92,54.25,"8,452,015",04/04/2019,54.34
15,53.98,56.32,53.43,"18,078,540",04/03/2019,55.73
16,56.69,57.88,56.61,"8,445,774",04/02/2019,57.85
17,57.73,57.79,56.86,"6,781,321",04/01/2019,57.38
18,57.43,57.5,56.77,"8,953,305",03/29/2019,56.83
19,56.7,57.23,56.31,"8,714,207",03/28/2019,56.32
20,56.3,57.16,56.19,"7,206,553",03/27/2019,56.79
21,57.03,57.28,56.73,"6,448,695",03/26/2019,56.85
22,56.55,56.63,55.56,"8,620,355",03/25/2019,55.67
23,55.92,56.57,55.905,"8,826,032",03/22/2019,56.02
24,56.93,57.2,55.51,"10,411,080",03/21/2019,55.51
25,55.72,56.44,55.01,"16,467,710",03/20/2019,55.99
26,56.01,57.68,55.16,"16,018,580",03/19/2019,57.3
27,57.3,57.44,56.58,"8,271,769",03/18/2019,56.83
28,56.75,57.07,56.01,"24,579,630",03/15/2019,56.76
29,56.4,56.49,55.77,"11,882,310",03/14/2019,56.08
30,56.13,56.29,55.34,"10,956,280",03/13/2019,55.66
31,55.75,56.37,55.09,"15,563,390",03/12/2019,56.11
32,56.01,56.17,55.3,"11,703,350",03/11/2019,55.32
33,55.37,55.545,54.68,"13,409,670",03/08/2019,54.73
34,54.74,54.88,53.87,"20,073,890",03/07/2019,54.88
35,54.67,54.75,52.98,"13,330,470",03/06/2019,53.25
36,52.88,53.9,51.96,"9,411,322",03/05/2019,52.31
37,52.46,53.25,52.2199,"7,904,763",03/04/2019,52.95
38,52.75,52.94,52.13,"6,113,637",03/01/2019,52.67
39,52.41,52.65,51.87,"11,142,170",02/28/2019,52.41
40,52.32,52.75,51.71,"8,595,137",02/27/2019,52.4
41,52.1,52.31,51.84,"12,173,690",02/26/2019,51.92
42,51.84,52.32,51.51,"15,044,360",02/25/2019,52.05
43,51.5,51.54,50.4,"8,231,614",02/22/2019,50.65
44,50.37,50.8,50.01,"7,295,043",02/21/2019,50.39
45,50.51,50.96,49.15,"11,068,220",02/20/2019,49.23
46,48.99,49.375,48.36,"11,662,850",02/19/2019,48.82
47,48.74,49.4,48.74,"9,161,481",02/15/2019,49.29
48,49.14,49.4373,48.74,"7,401,326",02/14/2019,48.99
49,49.0,49.84,48.8255,"9,106,268",02/13/2019,49.77
50,49.66,49.73,48.95,"8,928,304",02/12/2019,48.97
51,48.89,48.98,48.34,"7,758,153",02/11/2019,48.92
52,48.84,48.865,47.83,"8,577,695",02/08/2019,48.59
53,48.72,49.39,48.28,"8,841,519",02/07/2019,49.16
54,49.27,49.37,48.735,"8,813,913",02/06/2019,49.16
55,49.04,49.15,48.62,"17,880,600",02/05/2019,49.12
56,49.11,49.2,48.63,"11,704,510",02/04/2019,48.9
57,49.2,49.63,48.8,"15,595,770",02/01/2019,49.53
58,49.35,49.665,47.6,"23,631,730",01/31/2019,49.17
59,47.8,47.81,45.605,"22,879,900",01/30/2019,46.17
60,45.91,46.06,45.36,"16,729,180",01/29/2019,45.69
61,45.3,45.5,43.97,"15,055,850",01/28/2019,44.58
62,44.24,44.6,43.6,"14,265,160",01/25/2019,43.72
63,43.33,44.56,42.4,"27,835,680",01/24/2019,44.56
64,44.7,45.22,44.51,"14,712,210",01/23/2019,45.01
65,44.97,47.49,44.57,"23,822,870",01/22/2019,47.36
66,48.31,48.5098,47.3,"13,828,970",01/18/2019,47.52
