,Date,Open,High,Low,Close,Volume
4,11/02/2018,32.37,32.52,31.59,31.91,"2,904,985"
5,11/01/2018,31.34,32.21,31.05,32.12,"2,934,751"
6,10/31/2018,31.15,31.58,30.89,30.94,"4,640,534"
7,10/30/2018,29.69,30.51,29.3,30.44,"5,367,974"
8,10/29/2018,30.28,30.51,29.46,29.63,"4,234,993"
9,10/26/2018,29.56,30.24,29.035,29.82,"4,814,463"
10,10/25/2018,29.76,30.28,29.63,30,"4,139,127"
11,10/24/2018,31.42,31.42,29.41,29.52,"6,630,011"
12,10/23/2018,32.07,32.07,30.79,31.41,"4,561,997"
13,10/22/2018,33.33,33.39,32.6,32.78,"3,110,861"
14,10/19/2018,32.87,33.615,32.87,33.16,"3,752,601"
15,10/18/2018,32.85,33.38,32.66,32.85,"3,176,149"
16,10/17/2018,33.04,33.21,32.25,33.05,"3,738,193"
17,10/16/2018,33.13,33.16,32.65,33.13,"5,391,502"
18,10/15/2018,32.83,33.185,32.4,32.92,"2,853,871"
19,10/12/2018,33.26,33.455,32.68,32.89,"3,173,896"
20,10/11/2018,32.51,33.205,32.235,32.69,"5,194,238"
21,10/10/2018,33.42,33.68,32.24,32.31,"4,605,779"
22,10/09/2018,33.53,33.8969,33.06,33.1,"3,291,418"
23,10/08/2018,33.11,33.87,32.92,33.72,"2,992,828"
24,10/05/2018,33.7,33.74,32.77,33.11,"4,127,401"
25,10/04/2018,33.64,34.01,33.55,33.78,"4,084,323"
26,10/03/2018,33.08,33.78,32.84,33.54,"5,111,743"
27,10/02/2018,33,33.53,32.92,33.05,"4,106,080"
28,10/01/2018,32.65,32.97,32.39,32.87,"2,488,361"
29,09/28/2018,32.29,32.65,32.07,32.48,"3,317,378"
30,09/27/2018,32.54,32.65,32.15,32.27,"2,531,526"
31,09/26/2018,32.65,32.905,32.38,32.55,"3,668,399"
32,09/25/2018,32,32.98,32,32.61,"3,466,671"
33,09/24/2018,32.35,32.48,31.94,31.99,"2,123,852"
34,09/21/2018,32.53,32.77,32.3,32.33,"5,813,292"
35,09/20/2018,32,32.46,31.955,32.31,"4,168,057"
36,09/19/2018,31.69,32.205,31.53,31.8,"3,760,547"
37,09/18/2018,32.2,32.32,31.36,31.49,"4,460,838"
38,09/17/2018,32.1,32.71,31.9,31.99,"7,030,225"
39,09/14/2018,30.58,30.9,30.515,30.79,"2,071,617"
40,09/13/2018,31.24,31.49,30.58,30.68,"1,923,832"
41,09/12/2018,30.98,31.41,30.915,31.12,"3,343,982"
42,09/11/2018,30.09,31.26,29.95,30.93,"4,625,369"
43,09/10/2018,30.08,30.49,30.02,30.3,"2,243,985"
44,09/07/2018,30.02,30.24,29.67,29.94,"3,202,412"
45,09/06/2018,30.54,30.705,29.99,30.28,"2,563,631"
46,09/05/2018,30.66,30.83,30.045,30.51,"2,895,770"
47,09/04/2018,31.17,31.29,30.655,30.83,"3,172,824"
48,08/31/2018,31.35,31.459,31.09,31.27,"3,263,279"
49,08/30/2018,31.42,31.7,31.251,31.33,"3,620,950"
50,08/29/2018,30.86,31.79,30.77,31.59,"5,628,764"
51,08/28/2018,30.79,31.2,30.62,30.84,"4,161,075"
52,08/27/2018,30.2,31.205,29.95,30.62,"5,932,640"
53,08/24/2018,29.65,29.85,29.47,29.64,"2,378,396"
54,08/23/2018,29.38,29.48,28.85,29.43,"3,902,286"
55,08/22/2018,29.59,29.67,29.24,29.48,"2,904,721"
56,08/21/2018,29.8,29.98,29.47,29.52,"3,595,942"
57,08/20/2018,29.92,30.35,29.66,29.76,"5,598,505"
58,08/17/2018,29.59,29.82,29.47,29.63,"3,392,530"
59,08/16/2018,30,30.11,29.59,29.63,"4,072,638"
60,08/15/2018,30.26,30.295,29.63,29.65,"4,217,691"
61,08/14/2018,30.5,31.01,30.43,30.64,"2,691,696"
62,08/13/2018,31.42,31.42,30.08,30.34,"4,995,280"
63,08/10/2018,31.85,32.015,31.46,31.49,"4,070,352"
64,08/09/2018,31.47,32.15,31.47,32.06,"3,573,375"
65,08/08/2018,31.96,32,31.125,31.54,"4,468,034"
66,08/07/2018,30.75,32.32,30.54,31.7,"10,136,350"
67,08/06/2018,30.3,30.36,29.87,30.1,"7,104,269"
68,08/03/2018,30.09,30.75,30.07,30.45,"5,979,336"
69,08/02/2018,29.81,30.2,29.54,30.09,"5,946,094"
