,Date,Open,High,Low,Close,Volume
4,59.96,60.18,59.22,"5,626,661",05/03/2019,58.69
5,58.69,60.6,58.18,"6,849,505",05/02/2019,59.95
6,59.95,61.73,59.95,"4,991,312",05/01/2019,60.87
7,60.87,62.2,60.82,"5,004,588",04/30/2019,61.48
8,60.99,61.37,60.27,"4,399,938",04/29/2019,60.5
9,60.39,61.17,60.0,"6,244,532",04/26/2019,60.29
10,60.65,61.47,59.55,"6,553,950",04/25/2019,59.76
11,59.5,61.35,59.46,"7,052,912",04/24/2019,61.05
12,61.06,61.515,60.39,"6,801,499",04/23/2019,61.29
13,61.13,61.395,60.27,"6,186,574",04/22/2019,60.36
14,59.81,60.815,59.69,"6,363,669",04/18/2019,60.25
15,60.24,61.14,60.18,"5,097,689",04/17/2019,60.7
16,60.02,60.6,59.49,"7,899,844",04/16/2019,60.49
17,60.54,61.78,60.29,"7,068,769",04/15/2019,61.49
18,61.59,63.95,61.4,"10,103,270",04/12/2019,63.82
19,63.11,64.53,63.055,"5,284,721",04/11/2019,63.85
20,63.6,63.99,62.05,"8,200,625",04/10/2019,62.35
21,62.16,63.4,61.88,"6,046,876",04/09/2019,63.03
22,63.36,63.67,62.64,"7,353,161",04/08/2019,63.58
23,63.47,63.5,61.39,"7,359,468",04/05/2019,61.39
24,61.35,61.88,60.21,"5,838,738",04/04/2019,60.43
25,60.38,61.16,60.13,"6,979,239",04/03/2019,60.38
26,59.92,60.88,59.3749,"7,279,466",04/02/2019,60.69
27,61.05,61.2458,59.72,"6,922,222",04/01/2019,60.46
28,59.85,61.53,59.71,"8,244,679",03/29/2019,61.4
29,60.95,62.28,60.6,"4,993,002",03/28/2019,61.79
30,62.19,62.51,61.38,"4,793,359",03/27/2019,61.7
31,61.96,62.83,61.24,"4,191,543",03/26/2019,61.82
32,61.17,61.44,60.36,"5,190,100",03/25/2019,61.13
33,61.3,62.4967,60.63,"4,664,623",03/22/2019,62.12
34,62.79,63.345,61.71,"6,306,667",03/21/2019,62.03
35,62.19,62.74,60.82,"8,134,484",03/20/2019,61.79
36,62.03,63.04,61.79,"6,219,458",03/19/2019,62.4
37,62.08,62.2,60.8,"7,547,302",03/18/2019,60.81
38,60.45,61.27,59.4,"9,173,787",03/15/2019,59.45
39,59.69,59.93,58.9,"5,473,419",03/14/2019,59.65
40,59.57,59.59,58.93,"6,190,709",03/13/2019,59.01
41,58.86,60.0,58.86,"5,849,105",03/12/2019,59.16
42,59.2,59.22,57.73,"6,670,432",03/11/2019,57.89
43,57.5,57.94,56.88,"7,629,982",03/08/2019,57.82
44,58.84,60.16,58.685,"5,830,549",03/07/2019,59.94
45,59.93,60.74,59.6,"8,212,419",03/06/2019,60.39
46,60.81,61.89,60.31,"6,958,504",03/05/2019,61.79
47,62.01,62.88,60.34,"7,025,329",03/04/2019,62.88
48,62.68,63.1999,62.12,"5,925,844",03/01/2019,62.12
49,62.01,63.44,61.64,"7,423,009",02/28/2019,63.38
50,63.4,64.86,63.33,"5,805,367",02/27/2019,64.65
51,64.59,65.31,64.54,"3,746,388",02/26/2019,64.78
52,64.75,65.23,64.45,"3,953,046",02/25/2019,64.97
53,65.02,65.861,64.77,"3,541,559",02/22/2019,65.28
54,64.66,65.98,64.47,"7,054,262",02/21/2019,65.01
55,65.11,65.95,64.48,"5,420,430",02/20/2019,64.99
56,65.01,65.42,64.26,"3,836,479",02/19/2019,64.5
57,65.15,65.46,64.54,"5,164,642",02/15/2019,64.9
58,64.04,64.72,63.04,"4,775,466",02/14/2019,63.35
59,63.65,63.81,61.85,"4,125,645",02/13/2019,62.05
60,61.87,62.89,61.71,"6,478,577",02/12/2019,62.31
61,61.72,63.44,61.22,"9,647,513",02/11/2019,62.44
62,62.72,64.1012,61.92,"8,275,953",02/08/2019,63.39
63,63.7,68.74,63.06,"9,494,374",02/07/2019,66.84
64,66.87,67.7861,66.69,"5,479,528",02/06/2019,66.9
65,67.18,67.18,65.8625,"5,270,996",02/05/2019,66.0
66,65.91,66.17,65.21,"5,534,763",02/04/2019,65.4
