,Date,Open,High,Low,Close,Volume
4,01/15/2019,42.21,42.99,42.03,42.88,"11,611,570"
5,01/14/2019,41.31,42.79,41.12,42.48,"12,334,610"
6,01/11/2019,41.28,41.87,40.96,41.74,"8,181,870"
7,01/10/2019,41.38,41.96,41.24,41.66,"7,410,920"
8,01/09/2019,41.91,42.21,41.25,41.74,"9,221,736"
9,01/08/2019,42.3,42.41,41.08,41.45,"11,251,200"
10,01/07/2019,41.51,42.16,40.98,41.71,"11,755,570"
11,01/04/2019,40.5,41.58,40.28,41.3,"14,368,460"
12,01/03/2019,40.22,40.22,39.25,39.68,"13,040,190"
13,01/02/2019,39.02,40.72,38.76,40.4,"10,611,620"
14,12/31/2018,39.67,40.08,39.065,39.65,"9,516,407"
15,12/28/2018,39.94,40.0,38.94,39.37,"12,854,150"
16,12/27/2018,38.48,39.77,38.33,39.66,"13,894,950"
17,12/26/2018,37.28,39.395,36.78,39.3,"16,648,330"
18,12/24/2018,37.61,38.0,36.74,37.01,"11,444,430"
19,12/21/2018,38.41,39.72,37.49,37.68,"21,528,140"
20,12/20/2018,38.89,39.66,38.56,38.91,"27,329,330"
21,12/19/2018,39.9,41.08,38.84,39.3,"19,387,360"
22,12/18/2018,39.95,40.82,39.64,39.89,"14,506,000"
23,12/17/2018,39.29,40.66,39.015,39.6,"15,774,020"
24,12/14/2018,40.07,40.94,39.53,39.64,"17,328,980"
25,12/13/2018,40.88,41.12,40.325,40.6,"15,703,170"
26,12/12/2018,41.11,41.76,40.8,40.81,"14,151,690"
27,12/11/2018,41.52,41.88,40.18,40.62,"13,508,950"
28,12/10/2018,41.09,41.42,39.555,40.71,"16,205,240"
29,12/07/2018,42.43,43.06,40.95,41.32,"15,499,360"
30,12/06/2018,41.65,42.73,40.98,42.61,"17,536,180"
31,12/04/2018,45.05,45.17,42.32,43.12,"18,396,620"
32,12/03/2018,45.07,46.14,45.0,45.41,"15,326,870"
33,11/30/2018,44.38,44.61,43.905,44.39,"11,281,330"
34,11/29/2018,44.9,45.085,44.32,44.51,"9,144,112"
35,11/28/2018,44.29,45.53,43.6722,45.31,"12,377,080"
36,11/27/2018,44.02,44.3987,43.83,44.05,"8,035,949"
37,11/26/2018,43.72,44.7,43.72,44.28,"8,833,791"
38,11/23/2018,43.28,43.61,43.045,43.08,"4,822,440"
39,11/21/2018,43.29,44.225,43.15,43.73,"7,961,388"
40,11/20/2018,43.89,44.01,42.54,43.1,"15,826,800"
41,11/19/2018,44.17,44.785,44.04,44.41,"9,741,832"
42,11/16/2018,43.99,44.335,43.47,44.13,"9,775,032"
43,11/15/2018,43.35,44.47,43.1,44.3,"14,057,440"
44,11/14/2018,45.09,46.75,43.05,43.85,"13,261,930"
45,11/13/2018,43.61,45.13,43.43,44.68,"12,038,560"
46,11/12/2018,45.52,45.85,43.92,44.13,"14,300,730"
47,11/09/2018,46.36,46.44,45.65,45.73,"9,988,108"
48,11/08/2018,46.33,46.85,46.2,46.43,"9,484,122"
49,11/07/2018,46.19,46.81,45.63,46.61,"9,840,530"
50,11/06/2018,45.78,46.07,45.285,45.72,"10,736,830"
51,11/05/2018,46.02,46.355,45.63,45.82,"12,230,180"
52,11/02/2018,46.5,46.95,45.535,45.95,"10,478,760"
53,11/01/2018,45.82,46.2,45.45,45.89,"8,678,825"
54,10/31/2018,45.14,46.34,45.11,45.66,"16,920,690"
55,10/30/2018,44.0,44.59,43.56,44.5,"14,778,730"
56,10/29/2018,44.59,45.075,43.29,43.95,"12,565,260"
57,10/26/2018,43.77,44.517,43.245,43.97,"12,993,080"
58,10/25/2018,43.96,44.96,43.95,44.55,"13,810,290"
59,10/24/2018,44.79,44.8,43.33,43.49,"15,062,400"
60,10/23/2018,44.02,44.81,43.3125,44.52,"15,093,010"
61,10/22/2018,46.43,46.72,45.09,45.11,"11,083,690"
62,10/19/2018,46.07,46.725,45.64,46.42,"14,930,950"
63,10/18/2018,46.91,47.49,45.75,46.03,"14,872,990"
64,10/17/2018,45.96,47.84,45.53,47.19,"22,121,410"
65,10/16/2018,45.74,46.2,44.48,45.94,"24,171,720"
66,10/15/2018,43.42,43.77,43.07,43.47,"11,708,790"
