,Date,Open,High,Low,Close,Volume
4,10/12/2018,162.03,162.05,155.36,158.52,"1,086,695"
5,10/11/2018,165.43,165.66,160.39,160.45,"1,301,075"
6,10/10/2018,169.5,170.94,165.67,165.82,"891,188"
7,10/09/2018,169.28,170.63,168.1201,169.33,"579,450"
8,10/08/2018,168.18,170.77,167.72,170.09,"803,647"
9,10/05/2018,169.94,170.42,168.15,168.31,"778,503"
10,10/04/2018,167.28,170.72,167.28,169.15,"754,786"
11,10/03/2018,166.06,168.5,165.4,167.16,"846,594"
12,10/02/2018,164.23,165.04,163.15,164.97,"692,180"
13,10/01/2018,166.19,166.39,163.98,164.69,"694,908"
14,09/28/2018,164.73,166.24,164.28,164.54,"921,125"
15,09/27/2018,167.24,167.35,165.36,165.6,"820,897"
16,09/26/2018,170.11,171.0,167.05,167.39,"1,008,752"
17,09/25/2018,171.05,171.05,168.23,168.59,"816,317"
18,09/24/2018,173.27,173.45,170.05,170.15,"793,547"
19,09/21/2018,172.65,173.76,172.52,173.0,"1,415,205"
20,09/20/2018,172.59,174.2199,171.92,172.88,"972,386"
21,09/19/2018,169.31,172.4,169.31,172.02,"714,641"
22,09/18/2018,169.48,169.73,168.27,169.11,"859,241"
23,09/17/2018,171.25,172.3,169.42,169.72,"846,303"
24,09/14/2018,171.45,172.305,170.9721,171.22,"690,414"
25,09/13/2018,174.98,174.98,170.75,171.01,"1,181,914"
26,09/12/2018,177.74,178.35,174.37,174.45,"815,157"
27,09/11/2018,178.0,179.82,177.43,178.89,"639,957"
28,09/10/2018,179.42,179.96,178.44,178.51,"806,524"
29,09/07/2018,179.59,179.59,177.98,178.81,"675,518"
30,09/06/2018,179.29,179.83,178.23,178.64,"756,391"
31,09/05/2018,179.28,180.77,178.875,179.73,"1,175,629"
32,09/04/2018,177.97,179.92,176.51,179.35,"829,693"
33,08/31/2018,176.7,177.27,175.08,177.15,"822,121"
34,08/30/2018,177.27,177.4,175.7725,176.36,"651,636"
35,08/29/2018,177.97,178.06,176.5794,177.59,"717,215"
36,08/28/2018,177.82,178.18,176.84,177.83,"898,424"
37,08/27/2018,176.95,178.12,176.33,177.28,"527,710"
38,08/24/2018,177.28,177.52,176.18,176.31,"555,613"
39,08/23/2018,176.87,177.32,176.08,176.57,"519,266"
40,08/22/2018,176.53,177.24,175.86,177.01,"346,947"
41,08/21/2018,175.61,178.2,175.18,177.08,"886,988"
42,08/20/2018,176.26,176.75,174.76,175.54,"848,497"
43,08/17/2018,176.8,177.83,175.6,176.5,"892,227"
44,08/16/2018,174.62,177.63,174.47,176.93,"565,635"
45,08/15/2018,173.69,174.86,172.84,173.65,"727,768"
46,08/14/2018,173.54,175.97,172.98,175.06,"863,314"
47,08/13/2018,173.72,175.0,172.7,173.03,"622,587"
48,08/10/2018,173.9,174.81,172.56,173.96,"745,706"
49,08/09/2018,176.91,177.06,175.24,175.94,"410,348"
50,08/08/2018,175.76,177.76,174.65,177.15,"418,868"
51,08/07/2018,175.5,176.96,175.43,175.58,"381,474"
52,08/06/2018,174.55,175.31,172.96,175.18,"664,254"
53,08/03/2018,174.21,174.97,173.12,174.43,"672,621"
54,08/02/2018,172.34,175.19,171.86,174.65,"676,821"
55,08/01/2018,174.29,175.48,172.69,173.56,"741,994"
56,07/31/2018,176.07,176.07,173.22,173.35,"616,772"
57,07/30/2018,175.88,177.4,175.43,175.65,"730,516"
58,07/27/2018,173.39,175.72,172.22,175.6,"1,029,457"
59,07/26/2018,172.72,174.13,172.48,172.96,"1,455,780"
60,07/25/2018,173.11,173.47,170.8201,172.21,"1,184,170"
61,07/24/2018,174.85,175.39,172.44,173.22,"895,992"
62,07/23/2018,172.96,174.8,172.66,174.63,"939,056"
63,07/20/2018,172.68,174.24,171.71,173.0,"1,287,080"
64,07/19/2018,174.4,174.58,171.5,172.77,"905,979"
65,07/18/2018,167.94,175.35,166.08,174.48,"1,737,890"
66,07/17/2018,168.37,169.91,168.01,168.5,"1,266,639"
67,07/16/2018,166.85,169.665,166.85,168.12,"1,517,575"
68,07/13/2018,168.57,169.71,165.53,166.45,"2,204,828"
69,07/12/2018,172.18,172.255,168.257,168.84,"1,742,215"
