,Date,Open,High,Low,Close,Volume
4,762.43,762.9,750.7134,"92,324",05/03/2019,751.0
5,753.2,753.45,737.48,"134,752",05/02/2019,738.18
6,739.16,747.96,736.17,"107,653",05/01/2019,745.26
7,745.26,747.165,741.44,"103,917",04/30/2019,741.93
8,741.52,745.56,733.071,"80,509",04/29/2019,740.41
9,736.95,737.23,725.69,"52,656",04/26/2019,731.04
10,731.01,732.17,721.15,"123,093",04/25/2019,723.65
11,725.53,732.17,715.27,"99,747",04/24/2019,725.35
12,723.62,730.1,709.72,"232,925",04/23/2019,726.97
13,734.19,734.75,722.87,"122,067",04/22/2019,722.87
14,728.73,732.05,716.0,"143,191",04/18/2019,718.09
15,715.22,739.37,707.68,"198,279",04/17/2019,737.0
16,732.17,750.0,729.26,"101,850",04/16/2019,749.87
17,744.34,747.54,742.53,"109,277",04/15/2019,745.87
18,742.35,750.0,738.33,"104,027",04/12/2019,745.34
19,740.75,741.4,734.525,"102,119",04/11/2019,740.38
20,737.97,745.37,737.0,"111,482",04/10/2019,737.0
21,733.99,739.07,731.62,"82,533",04/09/2019,736.11
22,738.37,740.035,723.81,"72,687",04/08/2019,733.31
23,734.84,739.96,729.06,"89,997",04/05/2019,732.88
24,727.2,736.26,721.735,"121,029",04/04/2019,732.61
25,732.73,740.81,729.385,"113,602",04/03/2019,737.61
26,734.45,736.88,729.995,"173,078",04/02/2019,733.63
27,730.34,736.095,723.4,"101,881",04/01/2019,729.12
28,723.0,724.27,710.78,"173,458",03/29/2019,710.82
29,703.78,708.02,698.17,"112,902",03/28/2019,704.47
30,702.71,723.86,702.11,"144,659",03/27/2019,719.03
31,716.4,720.4,708.68,"92,869",03/26/2019,711.51
32,708.6,714.17,698.92,"121,707",03/25/2019,698.92
33,702.07,726.75,701.02,"180,092",03/22/2019,721.36
34,729.72,732.46,711.28,"111,857",03/21/2019,711.28
35,712.88,720.02,706.64,"107,790",03/20/2019,716.19
36,715.74,719.58,709.68,"114,314",03/19/2019,709.68
37,706.84,710.0,701.1,"118,027",03/18/2019,708.68
38,708.58,709.58,699.46,"217,564",03/15/2019,700.06
39,698.68,699.0,687.89,"135,271",03/14/2019,689.63
40,689.95,696.375,685.96,"123,704",03/13/2019,693.3
41,691.48,694.32,686.8,"95,907",03/12/2019,691.61
42,688.93,689.59,681.08,"106,785",03/11/2019,681.08
43,680.95,681.24,672.27,"88,275",03/08/2019,680.0
44,683.84,684.965,677.19,"112,452",03/07/2019,681.63
45,681.94,693.33,680.7,"111,225",03/06/2019,693.33
46,693.41,694.8,683.74,"106,716",03/05/2019,689.48
47,689.19,700.84,685.825,"112,170",03/04/2019,699.36
48,698.76,701.25,684.34,"137,297",03/01/2019,684.34
49,680.91,687.84,679.83,"198,757",02/28/2019,685.13
50,686.0,688.52,672.65,"109,501",02/27/2019,674.82
51,676.98,688.47,676.88,"104,223",02/26/2019,685.42
52,689.97,694.0,679.48,"141,935",02/25/2019,680.0
53,678.83,679.05,673.96,"127,887",02/22/2019,674.0
54,674.21,675.6,666.89,"132,243",02/21/2019,673.05
55,673.05,675.485,669.84,"128,053",02/20/2019,671.45
56,671.86,673.255,666.47,"128,716",02/19/2019,666.47
57,668.86,673.74,665.58,"168,252",02/15/2019,670.28
58,662.91,671.21,662.19,"150,742",02/14/2019,665.24
59,668.61,674.05,667.19,"130,261",02/13/2019,670.0
60,672.49,673.065,663.07,"150,787",02/12/2019,664.0
61,662.49,669.55,658.24,"150,758",02/11/2019,658.24
62,662.3,666.455,648.45,"289,761",02/08/2019,666.2
63,648.13,655.7,642.06,"147,793",02/07/2019,650.53
64,655.15,659.33,648.16,"103,823",02/06/2019,650.0
65,652.84,656.75,643.34,"102,700",02/05/2019,643.4
66,642.52,646.54,635.28,"113,839",02/04/2019,644.88
