,Date,Open,High,Low,Close,Volume
4,09/13/2018,42.3,44.4948,42.3,43.62,"59,736,110"
5,09/12/2018,41.24,42.18,40.68,41.74,"66,708,200"
6,09/11/2018,43.65,43.75,42.35,43.6,"48,902,580"
7,09/10/2018,45.25,45.38,44.39,44.9,"32,662,320"
8,09/07/2018,45.14,46.46,44.65,44.86,"46,727,300"
9,09/06/2018,48.2,48.45,44.06,44.65,"94,159,450"
10,09/05/2018,51.39,51.6,49.07,49.54,"39,016,690"
11,09/04/2018,52.135,52.3,50.7146,51.93,"28,916,600"
12,08/31/2018,52.7,53.23,52.22,52.52,"29,512,410"
13,08/30/2018,51.56,53.68,51.4,52.76,"32,379,120"
14,08/29/2018,52.09,52.16,51.3,51.83,"31,345,740"
15,08/28/2018,52.42,52.56,51.47,52.34,"26,103,960"
16,08/27/2018,51.35,52.45,51.17,52.07,"29,094,150"
17,08/24/2018,49.92,50.82,49.92,50.7,"24,654,280"
18,08/23/2018,50.05,50.24,49.4,49.7,"26,777,800"
19,08/22/2018,50.38,50.65,49.87,50.24,"26,661,340"
20,08/21/2018,48.9,50.37,48.87,49.94,"38,193,660"
21,08/20/2018,47.4,48.61,46.4743,48.07,"32,836,700"
22,08/17/2018,46.21,47.36,45.62,47.11,"34,304,420"
23,08/16/2018,48.2,48.31,46.9641,47.1,"32,997,010"
24,08/15/2018,49.83,49.86,47.14,47.49,"57,276,590"
25,08/14/2018,51.73,51.77,50.011,50.62,"31,895,030"
26,08/13/2018,51.61,52.06,51.275,51.34,"24,244,460"
27,08/10/2018,51.25,51.95,51.02,51.37,"31,288,350"
28,08/09/2018,52.65,52.85,51.93,52.26,"34,376,640"
29,08/08/2018,52.84,53.53,52.4642,53.39,"17,991,880"
30,08/07/2018,52.94,53.44,52.7,53.04,"21,815,230"
31,08/06/2018,52.22,52.81,51.5,52.67,"28,746,180"
32,08/03/2018,53.3,53.4,52.26,52.81,"22,864,100"
33,08/02/2018,51.7,53.55,51.38,53.4,"28,558,220"
34,08/01/2018,52.66,53.58,52.17,52.29,"28,160,740"
35,07/31/2018,53.78,54.22,52.77,52.79,"29,057,510"
36,07/30/2018,54.19,54.25,52.42,53.01,"25,632,300"
37,07/27/2018,54.46,54.63,53.11,53.96,"30,033,130"
38,07/26/2018,53.6,54.74,53.45,53.76,"28,495,760"
39,07/25/2018,52.63,54.22,52.3,53.39,"39,620,450"
40,07/24/2018,55.0,55.4,52.94,53.17,"38,939,780"
41,07/23/2018,53.51,54.58,52.219,54.29,"42,264,600"
42,07/20/2018,56.08,56.14,54.83,55.02,"32,579,980"
43,07/19/2018,57.25,57.555,55.67,56.22,"39,086,860"
44,07/18/2018,57.25,58.15,56.92,57.45,"33,604,480"
45,07/17/2018,55.83,57.13,55.5,56.96,"24,679,290"
46,07/16/2018,56.6,57.18,56.06,56.15,"25,605,260"
47,07/13/2018,55.51,56.59,55.32,56.35,"28,791,500"
48,07/12/2018,54.65,55.66,54.35,55.45,"29,433,950"
49,07/11/2018,54.39,55.0,53.765,54.18,"38,552,440"
50,07/10/2018,54.66,55.9,54.35,55.74,"34,371,250"
51,07/09/2018,53.8,54.5,53.11,54.31,"32,422,460"
52,07/06/2018,52.54,53.41,51.98,53.23,"31,634,520"
53,07/05/2018,52.85,53.31,51.94,52.84,"50,867,100"
54,07/03/2018,54.55,54.79,50.1,51.48,"52,190,190"
55,07/02/2018,51.52,54.53,51.32,54.48,"38,773,560"
56,06/29/2018,53.69,53.85,52.4,52.44,"32,210,360"
57,06/28/2018,52.0,53.305,51.79,53.14,"36,811,500"
58,06/27/2018,55.0,55.35,52.16,52.26,"52,789,680"
59,06/26/2018,54.41,54.77,53.61,54.59,"41,469,530"
60,06/25/2018,55.54,55.64,52.41,53.16,"72,021,180"
61,06/22/2018,60.2,60.41,57.02,57.1,"62,799,070"
62,06/21/2018,61.46,61.83,59.09,59.44,"70,140,330"
63,06/20/2018,60.13,61.12,58.8,58.95,"55,632,990"
64,06/19/2018,57.64,59.46,57.11,59.25,"43,354,940"
65,06/18/2018,57.6,58.6,56.87,58.45,"36,792,170"
66,06/15/2018,58.53,59.1,57.3,58.23,"45,430,160"
67,06/14/2018,60.55,60.57,58.67,59.18,"43,330,070"
68,06/13/2018,60.3,61.27,60.02,60.05,"33,206,860"
