,Date,Open,High,Low,Close,Volume
4,189.36,190.6784,189.24,"1,667,675",04/18/2019,189.42
5,189.65,190.55,189.0369,"1,685,520",04/17/2019,189.75
6,189.52,192.31,189.42,"1,630,804",04/16/2019,191.06
7,191.16,192.07,190.68,"1,468,190",04/15/2019,191.11
8,190.85,191.05,188.45,"1,192,137",04/12/2019,189.37
9,190.04,190.18,188.4,"1,365,135",04/11/2019,188.62
10,188.62,191.42,188.4,"1,291,185",04/10/2019,189.75
11,189.71,189.94,188.53,"1,654,266",04/09/2019,188.64
12,188.64,189.82,187.83,"1,443,222",04/08/2019,189.44
13,190.08,190.34,188,"1,613,173",04/05/2019,189.38
14,188.4,190.04,187.43,"1,750,973",04/04/2019,189.98
15,189.31,190.28,187.89,"2,050,746",04/03/2019,189.11
16,189.48,190.9989,188.71,"2,487,048",04/02/2019,190.71
17,190.49,193.75,190.21,"2,345,530",04/01/2019,193.42
18,193.32,193.47,191.3,"2,683,913",03/29/2019,191.93
19,191.92,194.39,191.32,"1,786,491",03/28/2019,193.91
20,193.92,195.3,192.8747,"1,409,098",03/27/2019,195.25
21,195,195.33,193.02,"1,523,279",03/26/2019,193.82
22,193.61,195.1,193.55,"1,292,627",03/25/2019,194.45
23,193.93,195.55,192.25,"2,367,376",03/22/2019,192.25
24,191.91,192.28,189.85,"1,677,033",03/21/2019,190.29
25,189.87,191.17,187.84,"2,167,279",03/20/2019,189.04
26,188.5,190.61,187.79,"2,007,494",03/19/2019,190.53
27,190.87,191.98,190.13,"1,867,325",03/18/2019,191.47
28,191.24,191.94,190.01,"3,600,542",03/15/2019,190.76
29,190.98,192.165,190.21,"1,453,608",03/14/2019,191.16
30,190.97,191.52,189.46,"1,226,729",03/13/2019,189.87
31,190.89,191.36,189.43,"1,785,146",03/12/2019,190
32,189.5,189.78,188.46,"1,783,892",03/11/2019,188.61
33,188.7,189.43,186.92,"1,743,203",03/08/2019,188.61
34,187.93,189.13,187.38,"2,352,782",03/07/2019,188.26
35,187.57,188.965,186.9796,"1,788,943",03/06/2019,188.06
36,188.32,189.21,188.02,"1,905,536",03/05/2019,188.37
37,188.24,188.55,186.57,"2,149,552",03/04/2019,188.23
38,187.56,188.58,186.59,"1,716,417",03/01/2019,187.52
39,187.72,188.74,186.06,"3,113,520",02/28/2019,187.01
40,186.81,187.49,186.08,"1,822,016",02/27/2019,186.58
41,188.23,189.015,187.1488,"1,911,070",02/26/2019,188.18
42,187.88,189.39,186.31,"1,888,858",02/25/2019,188.45
43,188.13,188.14,185.76,"1,683,772",02/22/2019,186.83
44,186.56,186.87,184.56,"1,956,232",02/21/2019,184.89
45,185.64,186.1,184.04,"2,292,507",02/20/2019,185.08
46,185.37,185.81,183.4,"2,443,531",02/19/2019,184.13
47,184.04,185.11,183.3,"2,203,311",02/15/2019,184.61
48,182.61,184.44,182.54,"1,597,471",02/14/2019,183.36
49,182.85,183.86,182.43,"1,430,126",02/13/2019,183.06
50,183.27,184.41,181.68,"1,743,084",02/12/2019,183
51,183.01,183.93,182.32,"1,850,162",02/11/2019,182.42
52,183.01,183.37,181.02,"1,828,516",02/08/2019,181.21
53,181.35,181.45,177.88,"2,127,634",02/07/2019,178
54,178.1,179.24,177.6,"1,661,801",02/06/2019,178.73
55,178.17,178.7,176.766,"1,970,203",02/05/2019,177.57
56,178.1,178.19,176.1309,"2,645,333",02/04/2019,177.11
57,177.82,179.12,176.5,"2,216,618",02/01/2019,178.37
58,178.98,179.29,173.35,"3,120,352",01/31/2019,173.44
59,173.59,174.63,172.1,"2,085,477",01/30/2019,172.24
60,172.86,173.43,171.74,"1,771,604",01/29/2019,173.08
61,172.47,176.11,171.77,"2,990,662",01/28/2019,176.11
62,174.2,179.49,173.92,"3,813,617",01/25/2019,178.5
63,180.28,180.88,177.96,"2,453,148",01/24/2019,179.26
64,179.38,179.46,176.19,"2,272,261",01/23/2019,177.94
65,177.38,177.95,175.235,"2,074,390",01/22/2019,175.43
66,176.09,176.612,175.11,"1,852,488",01/18/2019,176.4
