,Date,Open,High,Low,Close,Volume
4,25.39,25.59,25.14,"3,560,109",04/26/2019,25.42
5,25.34,25.49,25.1,"2,961,376",04/25/2019,25.4
6,25.6,25.73,25.27,"2,068,285",04/24/2019,25.62
7,25.57,26.11,25.52,"3,854,844",04/23/2019,25.99
8,26.04,26.29,26,"2,450,834",04/22/2019,26.16
9,26.23,26.5,25.89,"2,915,155",04/18/2019,26.24
10,26.26,26.38,25.935,"3,029,626",04/17/2019,26.14
11,26.14,26.85,26.06,"3,166,221",04/16/2019,26.54
12,26.5,27.03,26.475,"4,635,362",04/15/2019,26.73
13,26.64,27.1,26.64,"3,303,840",04/12/2019,26.97
14,26.87,27.28,26.38,"3,843,063",04/11/2019,26.7
15,26.54,26.63,25.98,"2,270,082",04/10/2019,26.25
16,26.26,26.84,25.72,"7,697,051",04/09/2019,25.86
17,26.02,26.14,25.52,"4,416,290",04/08/2019,26.1
18,26.21,26.55,26.17,"4,071,111",04/05/2019,26.45
19,26.25,26.66,25.98,"6,399,706",04/04/2019,26
20,26,26.12,24.245,"10,541,200",04/03/2019,24.32
21,24.25,24.65,24.25,"3,298,596",04/02/2019,24.29
22,24.28,24.44,23.72,"4,990,230",04/01/2019,23.83
23,23.67,24.09,23.5,"10,097,950",03/29/2019,23.88
24,23.66,24.6,23.6,"18,931,460",03/28/2019,24.49
25,26.63,27.33,26.45,"6,581,668",03/27/2019,27.15
26,27.06,27.07,26.825,"1,542,878",03/26/2019,26.9
27,26.53,26.88,26.44,"2,403,425",03/25/2019,26.81
28,26.86,27.36,26.72,"2,032,514",03/22/2019,27.3
29,27.42,27.5,26.55,"1,900,791",03/21/2019,26.71
30,26.91,27.23,26.75,"2,164,775",03/20/2019,27.16
31,27.09,27.57,27.04,"2,608,515",03/19/2019,27.34
32,27.26,27.31,26.95,"1,843,485",03/18/2019,27.02
33,26.95,27.35,26.8,"4,996,833",03/15/2019,27.29
34,27.32,27.35,27.02,"3,382,781",03/14/2019,27.08
35,27.07,27.25,26.87,"3,284,573",03/13/2019,26.98
36,26.92,27,26.605,"2,810,211",03/12/2019,26.79
37,26.65,26.74,26,"2,148,177",03/11/2019,26.08
38,26.03,26.03,25.68,"1,764,802",03/08/2019,25.82
39,26.13,26.32,25.89,"3,038,277",03/07/2019,26.16
40,26.25,26.49,26.17,"3,857,328",03/06/2019,26.44
41,26.71,27.21,26.34,"3,786,315",03/05/2019,27.21
42,27.18,27.49,26.8412,"5,646,653",03/04/2019,27.22
43,26.98,27.43,26.2,"8,429,214",03/01/2019,26.29
44,26.2,26.72,25.04,"6,448,818",02/28/2019,25.3
45,25.35,25.61,25.2,"4,081,736",02/27/2019,25.5
46,25.49,25.85,25.42,"3,065,390",02/26/2019,25.69
47,25.67,26.33,25.63,"3,397,437",02/25/2019,26.27
48,26.1,26.13,25.9,"2,820,041",02/22/2019,26.02
49,25.87,26,25.775,"3,013,634",02/21/2019,25.9
50,25.85,26.05,25.76,"3,192,002",02/20/2019,26
51,25.95,26.23,25.95,"3,189,291",02/19/2019,26.2
52,26.3,26.355,26.095,"3,248,286",02/15/2019,26.2
53,26.08,26.28,25.815,"3,795,212",02/14/2019,25.96
54,26.05,26.255,25.96,"3,580,048",02/13/2019,26.08
55,25.97,26.25,25.95,"4,774,728",02/12/2019,26.12
56,26.12,26.39,26.09,"2,723,318",02/11/2019,26.34
57,26.3,26.65,25.58,"5,681,174",02/08/2019,25.75
58,25.55,25.64,25.26,"3,456,805",02/07/2019,25.45
59,25.73,25.89,25.67,"2,461,868",02/06/2019,25.74
60,25.79,25.84,25.655,"1,836,525",02/05/2019,25.7
61,25.69,25.81,25.62,"3,045,225",02/04/2019,25.62
62,25.58,25.81,25.46,"1,980,352",02/01/2019,25.725
63,25.68,25.92,25.49,"2,682,862",01/31/2019,25.59
64,25.6,25.755,25.13,"2,177,980",01/30/2019,25.54
65,25.48,25.93,25.44,"2,345,691",01/29/2019,25.76
66,25.82,25.855,25.39,"1,520,825",01/28/2019,25.43
