,Date,Open,High,Low,Close,Volume
4,281.16,282.6,278.11,"545,573",04/18/2019,279.27
5,278.77,283.8,278.68,"665,792",04/17/2019,283.46
6,281.61,282.27,279.66,"608,792",04/16/2019,280.5
7,280.22,283.64,280.2,"474,381",04/15/2019,282.92
8,283.05,283.35,278.26,"1,108,692",04/12/2019,278.26
9,277.39,277.92,271.52,"661,871",04/11/2019,272.05
10,270.53,273.87,269.42,"774,476",04/10/2019,272.98
11,273.47,276.22,272.7,"482,371",04/09/2019,275.27
12,276.9,277.22,273.48,"607,553",04/08/2019,275.0
13,276.3,276.36,272.22,"734,388",04/05/2019,274.8
14,271.01,273.1,266.74,"1,128,611",04/04/2019,267.51
15,266.76,273.88,264.5,"1,321,537",04/03/2019,273.88
16,273.33,275.54,272.6,"539,770",04/02/2019,274.35
17,274.11,275.62,271.13,"738,695",04/01/2019,271.13
18,269.6,270.65,268.07,"934,956",03/29/2019,268.84
19,267.0,267.58,263.82,"1,080,003",03/28/2019,265.14
20,263.92,268.5,263.29,"797,986",03/27/2019,265.81
21,265.85,271.36,263.92,"994,830",03/26/2019,270.6
22,268.6,270.0246,266.85,"557,316",03/25/2019,269.01
23,268.36,271.99,267.2,"830,114",03/22/2019,271.99
24,272.48,273.71,269.22,"521,203",03/21/2019,269.33
25,270.46,272.77,268.51,"869,093",03/20/2019,271.01
26,271.01,278.65,270.57,"1,025,694",03/19/2019,276.05
27,274.89,275.82,270.62,"1,203,952",03/18/2019,271.39
28,271.21,275.51,270.08,"2,701,634",03/15/2019,274.3
29,274.75,280.21,274.315,"803,982",03/14/2019,278.44
30,279.16,280.63,274.41,"896,085",03/13/2019,275.02
31,275.17,280.0,274.41,"1,013,425",03/12/2019,279.41
32,279.22,279.37,272.58,"740,779",03/11/2019,273.96
33,275.96,276.17,272.41,"636,735",03/08/2019,275.51
34,276.44,280.01,273.04,"1,307,074",03/07/2019,280.01
35,280.46,284.95,280.38,"547,183",03/06/2019,283.31
36,282.87,284.96,282.3,"646,837",03/05/2019,283.78
37,283.1,290.33,282.1,"703,958",03/04/2019,287.54
38,287.0,291.35,285.618,"787,467",03/01/2019,291.0
39,289.96,291.55,286.0,"1,037,788",02/28/2019,286.2
40,286.77,287.36,284.3796,"808,963",02/27/2019,285.7
41,286.55,289.03,285.78,"530,262",02/26/2019,286.73
42,287.05,290.17,286.53,"548,309",02/25/2019,290.0
43,288.71,288.9,286.0,"613,753",02/22/2019,288.0
44,287.5,288.51,285.6,"607,247",02/21/2019,288.38
45,288.22,288.43,286.31,"1,025,223",02/20/2019,287.84
46,287.35,287.72,284.58,"651,049",02/19/2019,285.99
47,286.98,287.07,282.55,"928,636",02/15/2019,283.41
48,280.6,282.03,279.12,"806,292",02/14/2019,281.6
49,283.3,286.08,282.765,"643,250",02/13/2019,285.95
50,284.08,284.93,281.54,"679,292",02/12/2019,282.77
51,281.47,283.11,280.46,"1,169,673",02/11/2019,280.91
52,280.62,280.71,276.54,"705,893",02/08/2019,277.44
53,278.53,281.16,275.7715,"817,232",02/07/2019,279.51
54,280.41,281.64,278.205,"888,538",02/06/2019,278.4
55,278.46,281.2,274.66,"839,913",02/05/2019,280.0
56,278.73,278.91,272.63,"1,314,168",02/04/2019,272.98
57,272.96,278.97,272.54,"1,580,108",02/01/2019,276.91
58,275.55,284.55,269.5,"1,989,665",01/31/2019,271.67
59,280.82,283.17,276.13,"1,259,067",01/30/2019,280.53
60,280.13,281.49,273.36,"1,555,018",01/29/2019,274.23
61,274.3,274.5,267.875,"761,900",01/28/2019,269.83
62,272.84,274.25,270.9994,"966,338",01/25/2019,273.28
63,269.82,271.7,266.905,"856,053",01/24/2019,270.66
64,270.23,273.38,266.0,"1,027,434",01/23/2019,266.92
65,264.73,268.27,262.77,"529,957",01/22/2019,266.91
66,267.75,270.5,265.593,"1,505,130",01/18/2019,266.31
