,Date,Open,High,Low,Close,Volume
4,11/09/2018,202.4,209.32,201.04,205.67,"10,299,100"
5,11/08/2018,211.4,211.43,203.83,205.99,"12,757,730"
6,11/07/2018,213.75,217.41,211.18,213.79,"12,054,920"
7,11/06/2018,211.45,214.85,209.5648,211.06,"7,454,036"
8,11/05/2018,214.39,215.33,205.28,211.77,"9,472,615"
9,11/02/2018,217.73,222.0,210.2108,214.92,"11,114,150"
10,11/01/2018,212.3,218.49,207.19,218.11,"14,049,310"
11,10/31/2018,209.65,212.59,204.01,210.83,"18,515,470"
12,10/30/2018,186.55,203.4,185.62,203.0,"20,109,580"
13,10/29/2018,203.99,204.13,176.01,185.62,"18,910,670"
14,10/26/2018,198.31,204.842,193.12,198.29,"16,609,660"
15,10/25/2018,195.47,209.75,193.6815,207.84,"23,707,420"
16,10/24/2018,219.51,221.39,198.85,199.41,"21,916,270"
17,10/23/2018,220.43,224.19,216.71,221.06,"15,587,150"
18,10/22/2018,231.28,235.32,227.07,231.22,"9,205,612"
19,10/19/2018,241.76,242.55,227.7,229.17,"15,323,210"
20,10/18/2018,245.86,247.41,237.09,239.53,"13,066,440"
21,10/17/2018,248.34,249.88,241.08,243.06,"8,225,703"
22,10/16/2018,239.93,246.28,237.94,245.83,"10,180,740"
23,10/15/2018,246.0,246.0,235.34,235.38,"11,211,740"
24,10/12/2018,245.5066,249.5412,239.65,246.54,"15,121,060"
25,10/11/2018,242.17,247.56,234.261,235.13,"18,063,810"
26,10/10/2018,261.26,263.11,245.6,245.69,"16,970,790"
27,10/09/2018,264.94,268.76,262.8,265.54,"6,832,411"
28,10/08/2018,266.5,271.16,260.08,265.77,"10,197,000"
29,10/05/2018,278.29,280.8,267.54,269.86,"10,648,470"
30,10/04/2018,285.27,286.25,276.18,279.29,"9,765,506"
31,10/03/2018,289.32,289.62,282.53,286.73,"8,007,264"
32,10/02/2018,288.25,292.76,285.58,286.48,"9,578,570"
33,10/01/2018,284.16,292.06,282.6,289.36,"15,449,620"
34,09/28/2018,272.73,281.9152,271.6,281.02,"17,709,440"
35,09/27/2018,268.34,269.2,266.1295,267.4,"5,355,734"
36,09/26/2018,268.61,270.24,266.28,266.92,"6,703,440"
37,09/25/2018,268.37,269.42,264.91,268.41,"6,982,105"
38,09/24/2018,262.2,265.84,258.68,265.7,"7,338,846"
39,09/21/2018,266.76,268.6,262.11,263.45,"10,810,840"
40,09/20/2018,267.05,268.76,264.1,266.28,"10,748,300"
41,09/19/2018,270.273,272.699,268.25,271.98,"5,586,932"
42,09/18/2018,274.09,278.24,270.75,271.02,"7,480,150"
43,09/17/2018,275.402,277.38,273.15,273.93,"5,114,584"
44,09/14/2018,274.99,279.1,273.5,276.43,"9,643,641"
45,09/13/2018,270.86,275.0,270.161,271.34,"7,620,646"
46,09/12/2018,271.19,271.98,261.92,268.2,"10,464,790"
47,09/11/2018,272.86,276.3999,272.02,272.8,"6,069,344"
48,09/10/2018,272.77,275.93,271.0,274.73,"5,499,810"
49,09/07/2018,269.0,276.93,267.19,271.86,"7,380,320"
50,09/06/2018,277.76,277.86,271.391,272.72,"8,062,587"
51,09/05/2018,282.99,284.42,275.15,278.42,"9,820,991"
52,09/04/2018,280.15,285.22,279.0,283.7,"9,786,503"
53,08/31/2018,277.0,281.2,276.6,280.68,"7,652,371"
54,08/30/2018,277.23,281.717,276.32,277.81,"8,636,618"
55,08/29/2018,273.92,279.5,273.08,278.49,"10,472,850"
56,08/28/2018,275.66,276.58,269.53,274.38,"11,865,880"
57,08/27/2018,273.42,278.9,272.145,275.9,"12,605,800"
58,08/24/2018,267.18,272.81,267.0,272.22,"13,274,550"
59,08/23/2018,261.26,269.48,260.7012,266.84,"17,982,880"
60,08/22/2018,252.0,263.02,251.86,262.82,"18,677,870"
61,08/21/2018,248.5,253.5,247.7,253.32,"16,708,670"
62,08/20/2018,243.18,253.2,238.72,247.84,"21,327,460"
63,08/17/2018,252.94,252.97,243.73,244.82,"28,534,440"
64,08/16/2018,261.9,262.0,255.01,257.44,"19,284,410"
65,08/15/2018,262.27,263.639,255.9,259.08,"14,725,470"
66,08/14/2018,260.38,262.0,257.02,261.43,"11,455,960"
67,08/13/2018,255.14,261.0,255.07,256.12,"9,340,989"
68,08/10/2018,253.15,256.1,252.7,254.79,"6,386,582"
69,08/09/2018,259.14,259.25,256.15,256.46,"5,053,904"
