,Date,Open,High,Low,Close,Volume
4,10/30/2018,61.3,61.99,60.87,61.4,"3,897,395"
5,10/29/2018,59.94,61.34,59.92,61.3,"3,261,683"
6,10/26/2018,60.06,60.35,58.9,59.73,"2,888,137"
7,10/25/2018,59.51,60.54,59.2172,60.24,"2,416,690"
8,10/24/2018,58.51,60.19,58.32,59.8,"3,076,709"
9,10/23/2018,57.5,58.83,57.5,58.47,"1,945,898"
10,10/22/2018,58.6,58.92,57.65,57.71,"1,553,106"
11,10/19/2018,58.0,58.69,58.0,58.5,"1,538,223"
12,10/18/2018,58.08,58.45,57.74,57.91,"1,726,756"
13,10/17/2018,57.41,58.31,57.19,58.04,"3,030,734"
14,10/16/2018,56.43,57.71,56.16,57.55,"1,937,674"
15,10/15/2018,55.77,56.77,55.75,56.17,"2,179,957"
16,10/12/2018,56.22,56.425,55.55,55.85,"2,230,106"
17,10/11/2018,57.54,57.64,55.91,55.96,"2,755,144"
18,10/10/2018,58.31,58.654,57.29,57.31,"2,403,670"
19,10/09/2018,58.16,58.78,57.94,58.57,"2,969,239"
20,10/08/2018,57.07,58.5025,57.07,58.08,"3,215,801"
21,10/05/2018,56.65,57.213,56.6,57.06,"3,752,027"
22,10/04/2018,56.39,56.68,55.9153,56.54,"3,995,600"
23,10/03/2018,57.0,57.32,56.21,56.76,"4,740,987"
24,10/02/2018,56.62,57.0,56.46,56.81,"2,133,961"
25,10/01/2018,56.6,57.21,56.42,56.6,"2,832,534"
26,09/28/2018,56.12,56.95,56.06,56.89,"2,177,184"
27,09/27/2018,55.88,56.43,55.84,56.12,"1,174,735"
28,09/26/2018,56.44,56.65,55.78,55.82,"1,351,207"
29,09/25/2018,56.36,56.8,56.1,56.46,"1,540,049"
30,09/24/2018,57.0,57.02,55.98,56.13,"1,754,668"
31,09/21/2018,57.25,57.511,56.91,56.99,"3,667,759"
32,09/20/2018,56.64,57.33,56.28,57.27,"1,446,494"
33,09/19/2018,57.66,57.69,56.51,56.65,"2,052,376"
34,09/18/2018,58.1,58.217,57.21,57.51,"1,816,455"
35,09/17/2018,57.71,58.175,57.3,58.17,"5,074,696"
36,09/14/2018,57.9,57.9,56.96,57.66,"2,074,580"
37,09/13/2018,58.36,58.49,58.06,58.14,"1,499,956"
38,09/12/2018,58.07,58.461,57.8929,58.11,"941,210"
39,09/11/2018,58.19,58.46,57.91,58.01,"1,167,881"
40,09/10/2018,58.35,58.7,58.23,58.35,"990,546"
41,09/07/2018,58.37,58.48,57.98,58.14,"1,614,256"
42,09/06/2018,58.76,59.0,58.64,58.79,"1,478,291"
43,09/05/2018,58.19,58.91,57.98,58.63,"1,446,593"
44,09/04/2018,58.54,58.83,58.12,58.37,"1,316,843"
45,08/31/2018,58.4,58.62,58.179,58.57,"1,250,923"
46,08/30/2018,58.74,58.78,58.3048,58.42,"903,341"
47,08/29/2018,58.9,58.9,58.37,58.52,"1,367,805"
48,08/28/2018,58.46,59.08,58.28,59.07,"1,140,860"
49,08/27/2018,58.73,58.77,57.96,58.37,"1,195,650"
50,08/24/2018,58.28,58.7,58.14,58.6,"735,663"
51,08/23/2018,58.5,58.6352,58.26,58.45,"945,361"
52,08/22/2018,58.68,58.8,58.15,58.48,"876,324"
53,08/21/2018,58.74,58.75,58.26,58.6,"1,354,572"
54,08/20/2018,58.94,59.24,58.699,58.78,"1,077,122"
55,08/17/2018,58.16,58.9,57.94,58.85,"1,518,212"
56,08/16/2018,57.64,58.24,57.5,58.2,"1,206,494"
57,08/15/2018,57.08,57.665,56.99,57.61,"1,247,366"
58,08/14/2018,56.78,57.24,56.5855,57.08,"1,333,769"
59,08/13/2018,56.61,56.8,56.48,56.72,"959,171"
60,08/10/2018,56.91,57.23,56.51,56.51,"970,311"
61,08/09/2018,57.22,57.3127,56.89,56.98,"1,290,759"
62,08/08/2018,57.3,57.38,56.95,57.15,"1,185,768"
63,08/07/2018,57.61,57.61,56.93,57.25,"1,527,954"
64,08/06/2018,57.79,57.88,57.38,57.61,"1,653,885"
65,08/03/2018,56.96,57.74,56.91,57.67,"1,468,270"
66,08/02/2018,55.88,57.18,55.731,56.91,"2,264,343"
67,08/01/2018,55.33,56.07,55.01,55.98,"2,043,428"
68,07/31/2018,55.3,56.19,55.2,55.77,"3,650,458"
69,07/30/2018,55.02,55.495,54.68,55.37,"1,460,245"
