,Date,Open,High,Low,Close,Volume
4,399.46,402.61,397.23,"774,519",04/18/2019,401.0
5,404.27,408.2,403.12,"502,298",04/17/2019,407.42
6,408.49,414.63,406.29,"572,533",04/16/2019,410.08
7,408.67,409.71,404.2,"457,022",04/15/2019,405.34
8,406.32,408.84,404.11,"490,069",04/12/2019,407.85
9,407.85,409.33,403.19,"551,244",04/11/2019,406.26
10,405.01,405.14,398.88,"424,541",04/10/2019,401.46
11,399.91,401.46,397.5512,"377,332",04/09/2019,400.67
12,401.99,404.16,397.4515,"496,464",04/08/2019,400.76
13,401.13,403.79,398.17,"486,557",04/05/2019,399.63
14,398.08,398.41,394.0,"337,973",04/04/2019,397.0
15,396.4,398.0743,394.16,"578,995",04/03/2019,396.37
16,394.33,395.05,390.54,"518,782",04/02/2019,393.0
17,391.54,394.42,388.85,"725,519",04/01/2019,391.4
18,388.3,391.78,387.6343,"797,075",03/29/2019,389.64
19,388.47,390.36,384.08,"429,445",03/28/2019,388.77
20,386.89,388.23,381.98,"423,626",03/27/2019,385.38
21,384.68,387.8009,382.64,"433,533",03/26/2019,387.11
22,385.89,387.11,377.36,"487,201",03/25/2019,381.5
23,376.3,385.805,375.98,"457,822",03/22/2019,383.44
24,384.61,385.0,373.25,"514,385",03/21/2019,375.19
25,375.48,378.02,371.26,"453,136",03/20/2019,372.97
26,374.21,379.39,373.02,"429,827",03/19/2019,375.82
27,375.8,378.33,368.96,"653,195",03/18/2019,369.26
28,370.02,371.06,363.27,"1,154,705",03/15/2019,368.86
29,368.16,368.48,362.785,"687,091",03/14/2019,366.03
30,367.33,369.6,365.01,"572,449",03/13/2019,366.95
31,365.51,368.36,361.54,"514,343",03/12/2019,367.35
32,366.34,367.7073,362.555,"494,237",03/11/2019,365.0
33,364.1,368.03,362.21,"488,997",03/08/2019,368.0
34,369.41,372.63,368.18,"421,193",03/07/2019,371.585
35,372.36,376.73,371.2244,"500,117",03/06/2019,376.02
36,374.8,377.69,369.6513,"557,142",03/05/2019,371.98
37,370.48,376.0,366.79,"701,080",03/04/2019,371.46
38,371.09,374.805,366.96,"574,906",03/01/2019,373.1
39,371.96,372.7,363.6,"796,357",02/28/2019,364.28
40,367.96,379.25,366.95,"666,164",02/27/2019,378.28
41,378.04,383.8,376.115,"861,632",02/26/2019,381.0
42,375.16,384.9999,372.91,"754,395",02/25/2019,384.38
43,383.99,385.9,380.8617,"479,995",02/22/2019,382.41
44,380.5,383.15,378.57,"450,912",02/21/2019,382.39
45,383.58,386.13,379.0,"518,626",02/20/2019,383.58
46,384.54,394.42,382.08,"631,999",02/19/2019,388.27
47,388.0,388.51,382.07,"674,661",02/15/2019,386.11
48,383.05,383.68,372.865,"622,377",02/14/2019,376.31
49,377.42,379.91,375.125,"725,434",02/13/2019,379.39
50,378.49,378.64,369.06,"1,032,755",02/12/2019,369.27
51,366.68,368.725,358.89,"890,016",02/11/2019,359.99
52,360.23,365.39,357.76,"1,358,672",02/08/2019,362.53
53,365.46,366.18,353.7,"1,751,015",02/07/2019,361.6
54,353.62,359.0,352.31,"881,937",02/06/2019,356.58
55,358.21,359.77,354.35,"752,189",02/05/2019,356.19
56,356.17,356.48,345.5,"737,727",02/04/2019,348.22
57,346.75,348.685,342.7725,"899,330",02/01/2019,346.08
58,344.66,347.72,340.001,"804,750",01/31/2019,346.91
59,345.68,346.16,337.26,"585,788",01/30/2019,339.42
60,339.24,339.89,333.44,"515,783",01/29/2019,334.73
61,335.67,340.34,333.11,"620,129",01/28/2019,336.16
62,337.44,342.8092,331.34,"750,974",01/25/2019,341.67
63,339.94,348.84,339.49,"624,275",01/24/2019,348.81
64,347.9,349.18,342.51,"401,341",01/23/2019,345.0
65,345.45,352.63,343.2582,"582,654",01/22/2019,349.16
66,351.5,353.735,345.89,"576,119",01/18/2019,350.73
