,Date,Open,High,Low,Close,Volume
4,09/26/2018,73.87,74.23,73.31,73.59,"1,977,692"
5,09/25/2018,74.81,75.73,72.79,73.72,"5,242,054"
6,09/24/2018,74.71,74.98,74.23,74.54,"1,548,205"
7,09/21/2018,75.05,75.57,74.7,75.25,"4,011,154"
8,09/20/2018,74.05,74.8,74.03,74.76,"925,111"
9,09/19/2018,74.64,74.7803,73.63,73.99,"1,281,729"
10,09/18/2018,74.36,74.85,74.34,74.63,"1,228,445"
11,09/17/2018,74.38,74.54,74.02,74.23,"1,215,622"
12,09/14/2018,74.83,74.83,74.285,74.38,"1,010,454"
13,09/13/2018,74.66,74.81,74.38,74.64,"1,406,543"
14,09/12/2018,74.48,74.51,73.73,74.12,"1,362,368"
15,09/11/2018,74.1,74.61,74.0,74.55,"1,026,997"
16,09/10/2018,74.92,74.92,73.94,74.21,"1,283,917"
17,09/07/2018,74.36,74.67,73.92,74.04,"1,463,579"
18,09/06/2018,73.63,74.74,73.3504,74.61,"1,799,833"
19,09/05/2018,73.07,73.9,72.79,73.82,"2,105,147"
20,09/04/2018,73.16,73.225,72.29,73.08,"1,527,705"
21,08/31/2018,71.86,73.36,71.86,73.25,"1,546,921"
22,08/30/2018,72.53,73.13,72.53,72.87,"1,053,753"
23,08/29/2018,72.29,72.97,72.16,72.9,"1,074,056"
24,08/28/2018,70.83,72.83,70.83,72.39,"1,067,535"
25,08/27/2018,73.25,73.4,72.51,72.63,"1,296,906"
26,08/24/2018,72.99,73.04,72.32,72.99,"1,119,662"
27,08/23/2018,72.56,72.92,72.43,72.74,"1,386,059"
28,08/22/2018,72.27,72.7,72.02,72.59,"1,027,361"
29,08/21/2018,72.66,72.99,72.36,72.51,"1,978,226"
30,08/20/2018,72.5,72.69,71.74,72.34,"1,496,849"
31,08/17/2018,71.77,72.42,71.56,72.32,"2,924,548"
32,08/16/2018,71.55,71.98,71.18,71.89,"1,182,957"
33,08/15/2018,70.51,71.23,70.31,71.14,"1,570,367"
34,08/14/2018,69.86,71.24,69.81,70.93,"1,958,051"
35,08/13/2018,71.25,71.7,70.91,71.16,"1,530,474"
36,08/10/2018,70.9,71.44,70.86,71.02,"1,118,618"
37,08/09/2018,71.23,71.67,71.12,71.25,"988,243"
38,08/08/2018,71.03,71.23,70.89,71.1,"1,241,206"
39,08/07/2018,70.41,71.27,70.35,71.19,"1,667,537"
40,08/06/2018,69.83,70.42,69.595,70.4,"1,347,952"
41,08/03/2018,69.44,69.74,69.13,69.74,"1,204,394"
42,08/02/2018,68.49,69.475,68.2,69.31,"1,525,030"
43,08/01/2018,68.97,69.1275,68.1,68.67,"1,717,489"
44,07/31/2018,68.98,69.085,68.37,69.02,"3,448,155"
45,07/30/2018,70.94,71.01,68.98,69.18,"1,971,842"
46,07/27/2018,71.75,71.85,70.4555,70.93,"2,097,545"
47,07/26/2018,72.21,72.51,71.43,71.69,"1,875,320"
48,07/25/2018,71.2,72.07,71.2,72.0,"2,328,631"
49,07/24/2018,71.15,71.25,70.72,71.22,"1,881,015"
50,07/23/2018,70.48,70.98,70.42,70.86,"2,167,869"
51,07/20/2018,70.44,70.92,70.13,70.55,"1,437,718"
52,07/19/2018,69.82,70.65,69.72,70.49,"1,372,636"
53,07/18/2018,70.46,70.46,69.6,69.9,"1,616,976"
54,07/17/2018,69.74,70.57,69.74,70.46,"1,759,009"
55,07/16/2018,70.86,70.99,69.831,69.98,"2,505,247"
56,07/13/2018,70.28,70.62,70.08,70.54,"2,169,665"
57,07/12/2018,70.13,70.42,69.8575,70.37,"1,850,008"
58,07/11/2018,68.06,69.79,68.06,69.54,"1,570,392"
59,07/10/2018,69.92,70.095,69.44,69.69,"1,275,960"
60,07/09/2018,70.33,70.33,69.65,69.98,"2,441,125"
61,07/06/2018,69.0,69.84,68.9796,69.79,"2,590,146"
62,07/05/2018,67.74,69.14,67.67,69.08,"2,495,234"
63,07/03/2018,68.18,68.84,67.62,67.78,"1,620,535"
64,07/02/2018,67.8,68.65,67.24,68.04,"3,214,107"
65,06/29/2018,67.74,69.15,67.31,68.35,"4,189,720"
66,06/28/2018,67.37,68.4,67.37,67.96,"4,872,579"
67,06/27/2018,69.26,69.26,66.65,66.89,"4,439,227"
68,06/26/2018,70.0,70.01,68.9,69.0,"2,557,541"
