,Date,Open,High,Low,Close,Volume
4,08/28/2018,23.77,23.9,23.35,23.68,"1,864,376"
5,08/27/2018,23.55,23.91,23.47,23.63,"2,025,812"
6,08/24/2018,23.58,23.648,23.13,23.41,"1,468,990"
7,08/23/2018,23.56,23.68,23.24,23.5,"1,489,973"
8,08/22/2018,23.98,24.1,23.5,23.72,"1,314,190"
9,08/21/2018,23.74,24.0,23.555,23.98,"1,613,640"
10,08/20/2018,23.65,24.08,23.47,23.65,"1,434,899"
11,08/17/2018,23.03,23.76,22.92,23.53,"1,545,279"
12,08/16/2018,23.15,23.44,23.08,23.09,"1,100,374"
13,08/15/2018,22.87,23.17,22.55,23.14,"1,119,598"
14,08/14/2018,23.06,23.32,22.8231,22.86,"1,591,208"
15,08/13/2018,22.38,23.2489,22.14,22.9,"1,846,310"
16,08/10/2018,22.51,22.8,21.96,22.45,"1,369,246"
17,08/09/2018,22.63,23.04,22.5,22.6,"1,734,832"
18,08/08/2018,22.75,23.04,22.45,22.51,"2,117,855"
19,08/07/2018,24.39,24.39,22.37,22.625,"4,272,632"
20,08/06/2018,24.59,25.22,24.53,24.99,"1,891,008"
21,08/03/2018,24.08,24.59,24.08,24.54,"1,269,695"
22,08/02/2018,24.22,24.25,23.59,24.0,"1,056,511"
23,08/01/2018,24.44,24.46,24.14,24.21,"1,259,200"
24,07/31/2018,24.4,24.64,24.04,24.52,"2,037,456"
25,07/30/2018,23.72,24.42,23.61,24.27,"1,977,362"
26,07/27/2018,23.46,23.89,23.05,23.77,"2,572,832"
27,07/26/2018,23.91,24.2977,23.24,23.4,"2,433,158"
28,07/25/2018,24.37,24.46,23.26,23.86,"1,794,072"
29,07/24/2018,24.29,24.77,24.13,24.36,"3,101,469"
30,07/23/2018,23.67,24.86,23.53,24.27,"3,066,223"
31,07/20/2018,23.05,23.75,22.91,23.64,"3,707,509"
32,07/19/2018,22.35,23.48,22.0,22.98,"3,875,567"
33,07/18/2018,22.65,22.7,22.13,22.28,"2,249,235"
34,07/17/2018,22.55,22.83,22.45,22.75,"1,417,696"
35,07/16/2018,22.95,22.98,22.4301,22.53,"1,753,015"
36,07/13/2018,22.84,23.305,22.78,22.92,"1,158,703"
37,07/12/2018,22.54,23.04,22.27,22.87,"1,433,976"
38,07/11/2018,23.19,23.35,22.3701,22.76,"2,676,674"
39,07/10/2018,23.4,23.5295,22.73,23.16,"2,009,214"
40,07/09/2018,23.2,23.755,23.06,23.26,"2,209,264"
41,07/06/2018,22.85,23.39,22.78,23.08,"1,971,363"
42,07/05/2018,22.96,23.12,22.31,22.75,"3,975,419"
43,07/03/2018,22.6,23.15,22.44,22.88,"1,345,496"
44,07/02/2018,22.64,22.65,22.08,22.48,"2,348,459"
45,06/29/2018,23.13,23.555,22.6,22.67,"2,251,703"
46,06/28/2018,23.63,23.63,22.32,23.06,"3,993,457"
47,06/27/2018,23.77,23.94,23.425,23.75,"2,790,328"
48,06/26/2018,24.25,24.4,23.58,23.75,"2,646,014"
49,06/25/2018,23.66,25.31,23.66,24.12,"3,293,478"
50,06/22/2018,23.0,24.9,22.9,24.62,"13,419,770"
51,06/21/2018,24.15,25.25,22.49,23.28,"8,470,980"
52,06/20/2018,22.43,22.72,22.19,22.53,"2,835,740"
53,06/19/2018,21.97,22.7,21.84,22.46,"2,697,480"
54,06/18/2018,22.15,22.32,21.3,21.82,"3,926,639"
55,06/15/2018,22.19,22.45,22.01,22.38,"2,019,669"
56,06/14/2018,22.3,22.58,21.88,22.33,"1,452,227"
57,06/13/2018,23.16,23.16,22.275,22.3,"1,319,411"
58,06/12/2018,22.32,22.59,22.18,22.46,"1,144,114"
59,06/11/2018,21.75,22.45,21.74,22.22,"1,143,514"
60,06/08/2018,21.48,21.92,21.4,21.78,"1,384,292"
61,06/07/2018,21.41,21.55,21.14,21.44,"1,509,908"
62,06/06/2018,21.62,21.6589,21.08,21.5,"1,316,153"
63,06/05/2018,21.29,21.53,21.105,21.3,"954,185"
64,06/04/2018,21.0,21.4264,20.9,21.24,"1,317,689"
65,06/01/2018,21.06,21.32,20.85,20.98,"1,253,665"
66,05/31/2018,21.6,21.6,20.57,20.92,"2,677,291"
67,05/30/2018,21.29,21.54,21.05,21.44,"1,095,460"
68,05/29/2018,21.47,21.5,20.805,21.18,"1,407,224"
